case	backpressure	cycles	first_output	source_wait	output_stall	gate_decisions
integer_trained/s2b0/v0/p0/h0/signed	0	2759	2111	1569	0	30720
integer_trained/s2b0/v0/p0/h0/exact_row	0	3387	2823	2300	0	30720
integer_trained/s2b0/v0/p0/h0/onehot7	0	2783	2059	1498	0	30720
integer_trained/s2b0/v1/p32/h7/signed	0	2303	1655	1116	0	30720
integer_trained/s2b0/v1/p32/h7/exact_row	0	2581	2017	1497	0	30720
integer_trained/s2b0/v1/p32/h7/onehot7	0	2377	1653	1095	0	30720
integer_trained/s2b0/v2/p1184/h15/signed	0	1757	1433	891	0	15360
integer_trained/s2b0/v2/p1184/h15/exact_row	0	2018	1736	1216	0	15360
integer_trained/s2b0/v2/p1184/h15/onehot7	0	1762	1400	839	0	15360
integer_trained/s2b0/v3/p576/h3/signed	0	2712	2064	1522	0	30720
integer_trained/s2b0/v3/p576/h3/exact_row	0	3466	2902	2381	0	30720
integer_trained/s2b0/v3/p576/h3/onehot7	0	2789	2065	1505	0	30720
integer_trained/s2b1/v0/p0/h0/signed	0	2658	2010	1467	0	30720
integer_trained/s2b1/v0/p0/h0/exact_row	0	2795	2143	1600	0	30720
integer_trained/s2b1/v0/p0/h0/onehot7	0	2703	1963	1398	0	30720
integer_trained/s2b1/v1/p32/h7/signed	0	2409	1761	1220	0	30720
integer_trained/s2b1/v1/p32/h7/exact_row	0	2549	1897	1354	0	30720
integer_trained/s2b1/v1/p32/h7/onehot7	0	2453	1713	1149	0	30720
integer_trained/s2b1/v2/p1184/h15/signed	0	1661	1337	798	0	15360
integer_trained/s2b1/v2/p1184/h15/exact_row	0	1697	1371	831	0	15360
integer_trained/s2b1/v2/p1184/h15/onehot7	0	1692	1322	760	0	15360
integer_trained/s2b1/v3/p576/h3/signed	0	2819	2171	1628	0	30720
integer_trained/s2b1/v3/p576/h3/exact_row	0	3014	2362	1817	0	30720
integer_trained/s2b1/v3/p576/h3/onehot7	0	2836	2096	1531	0	30720
integer_trained/s2b2/v0/p0/h0/signed	0	2686	2074	1539	0	30720
integer_trained/s2b2/v0/p0/h0/exact_row	0	3046	2462	1935	0	30720
integer_trained/s2b2/v0/p0/h0/onehot7	0	2764	2060	1502	0	30720
integer_trained/s2b2/v1/p32/h7/signed	0	2509	1897	1364	0	30720
integer_trained/s2b2/v1/p32/h7/exact_row	0	2800	2216	1691	0	30720
integer_trained/s2b2/v1/p32/h7/onehot7	0	2563	1859	1303	0	30720
integer_trained/s2b2/v2/p1184/h15/signed	0	1775	1469	939	0	15360
integer_trained/s2b2/v2/p1184/h15/exact_row	0	1914	1622	1099	0	15360
