MODEL_LOADED 105 12
R0_QUALITY parent_fp32 1 1.3208328825980986
R0_QUALITY parent_fp32 2 1.5989339563836142
R0_QUALITY parent_fp32 3 1.3969570918936618
R0_QUALITY parent_fp32 4 1.2170101951698549
R0_QUALITY parent_fp32 5 1.128324056853175
R0_QUALITY parent_fp32 6 1.1502821975902011
R0_QUALITY parent_fp32 7 1.1376646996549873
R0_QUALITY parent_fp32 8 1.1213807855389104
R0_QUALITY parent_fp32 9 1.0962897978320953
R0_QUALITY parent_fp32 10 1.157519653249069
R0_QUALITY dense_q16 1 1.3972593238786637
R0_QUALITY dense_q16 2 1.630361030862439
R0_QUALITY dense_q16 3 1.440209069008861
R0_QUALITY dense_q16 4 1.2484419955124335
R0_QUALITY dense_q16 5 1.152119170093521
R0_QUALITY dense_q16 6 1.180181070550265
R0_QUALITY dense_q16 7 1.1559875026453703
R0_QUALITY dense_q16 8 1.141123774347813
R0_QUALITY dense_q16 9 1.1113124590052357
R0_QUALITY dense_q16 10 1.163296947981814
R0_QUALITY physical25_q16 1 1.2165850682346118
R0_QUALITY physical25_q16 2 1.5314395677167902
R0_QUALITY physical25_q16 3 1.378460385167059
R0_QUALITY physical25_q16 4 1.2100628790673906
R0_QUALITY physical25_q16 5 1.1292524363923548
R0_QUALITY physical25_q16 6 1.166210593715461
R0_QUALITY physical25_q16 7 1.1640112232958248
R0_QUALITY physical25_q16 8 1.159821589847796
R0_QUALITY physical25_q16 9 1.1342281996434418
R0_QUALITY physical25_q16 10 1.1906838362998358
R0_QUALITY magnitude25_q16 1 1.2806982012872323
R0_QUALITY magnitude25_q16 2 1.5511327473910614
R0_QUALITY magnitude25_q16 3 1.4363960083864242
R0_QUALITY magnitude25_q16 4 1.2471656392970307
R0_QUALITY magnitude25_q16 5 1.1429984143685483
R0_QUALITY magnitude25_q16 6 1.1871024190622512
R0_QUALITY magnitude25_q16 7 1.171636001059954
R0_QUALITY magnitude25_q16 8 1.140290015753593
R0_QUALITY magnitude25_q16 9 1.1271028311095863
R0_QUALITY magnitude25_q16 10 1.18599666968428
R0_QUALITY coordinate25_q16 1 1.333475318763621
R0_QUALITY coordinate25_q16 2 1.6042535164205856
R0_QUALITY coordinate25_q16 3 1.3973844092938899
R0_QUALITY coordinate25_q16 4 1.219957045298763
R0_QUALITY coordinate25_q16 5 1.1290758812391586
R0_QUALITY coordinate25_q16 6 1.168236408983281
R0_QUALITY coordinate25_q16 7 1.1500334544162654
R0_QUALITY coordinate25_q16 8 1.1356039178091537
R0_QUALITY coordinate25_q16 9 1.1091606225795907
R0_QUALITY coordinate25_q16 10 1.1721160357095002
