fixture,kind,stress,cycles,configuration_cycles,coefficient_bytes,weight_requests,weight_responses,cr_bytes,cache_hits,alu_vector_cycles,half_zero_scan_cycles,input_stall,output_stall,request_stall,values_checked,mismatches
synthetic_zero,direct,0,1643,81,165888,0,0,0,0,480,0,0,0,0,3840,0
synthetic_zero,direct,1,2124,81,165888,0,0,0,0,480,0,12,469,0,3840,0
synthetic_zero,wino,0,1706,144,442368,0,0,0,0,480,0,0,0,0,3840,0
synthetic_zero,wino,1,2187,144,442368,0,0,0,0,480,0,12,469,0,3840,0
synthetic_zero,masked_wino,0,1706,144,442368,0,0,0,0,480,0,0,0,0,3840,0
synthetic_zero,masked_wino,1,2187,144,442368,0,0,0,0,480,0,12,469,0,3840,0
synthetic_zero,masked_expanded,0,2138,576,1769472,0,0,0,0,480,0,0,0,0,3840,0
synthetic_zero,masked_expanded,1,2619,576,1769472,0,0,0,0,480,0,12,469,0,3840,0
synthetic_dense,direct,0,442283,81,165888,5184,5184,165888,0,415200,0,0,0,0,3840,0
synthetic_dense,direct,1,459360,81,165888,5184,5184,165888,0,415200,0,12,476,1037,3840,0
synthetic_dense,wino,0,34634,144,442368,1152,1152,36864,0,18720,0,0,0,0,3840,0
synthetic_dense,wino,1,38574,144,442368,1152,1152,36864,0,18720,0,12,469,3,3840,0
synthetic_dense,masked_wino,0,32474,144,442368,1152,1152,36864,0,18720,0,0,0,0,3840,0
synthetic_dense,masked_wino,1,36565,144,442368,1152,1152,36864,0,18720,0,12,477,146,3840,0
synthetic_dense,masked_expanded,0,509594,576,1769472,32256,32256,1032192,4608,369120,576,0,0,0,3840,0
synthetic_dense,masked_expanded,1,615479,576,1769472,32256,32256,1032192,4608,369120,576,12,475,8630,3840,0
synthetic_sparse,direct,0,38759,81,165888,4038,4038,129216,0,16260,0,0,0,0,3840,0
synthetic_sparse,direct,1,51980,81,165888,4038,4038,129216,0,16260,0,12,479,616,3840,0
synthetic_sparse,wino,0,87566,144,442368,11232,11232,359424,2928,31980,0,0,0,0,3840,0
synthetic_sparse,wino,1,124952,144,442368,11232,11232,359424,2928,31980,0,12,474,3204,3840,0
synthetic_sparse,masked_wino,0,69014,144,442368,9066,9066,290112,1446,25392,90,0,0,0,3840,0
synthetic_sparse,masked_wino,1,98953,144,442368,9066,9066,290112,1446,25392,90,12,474,2255,3840,0
synthetic_sparse,masked_expanded,0,74138,576,1769472,10968,10968,350976,504,14328,174,0,0,0,3840,0
synthetic_sparse,masked_expanded,1,109908,576,1769472,10968,10968,350976,504,14328,174,12,473,2381,3840,0
real_00,direct,0,15359,81,165888,810,810,25920,0,5772,0,0,0,0,3840,0
real_00,direct,1,18403,81,165888,810,810,25920,0,5772,0,12,474,128,3840,0
real_00,wino,0,35019,144,442368,2850,2850,91200,606,12176,0,0,0,0,3840,0
real_00,wino,1,44719,144,442368,2850,2850,91200,606,12176,0,12,470,668,3840,0
real_00,masked_wino,0,29244,144,442368,2299,2299,73568,381,10546,127,0,0,0,3840,0
real_00,masked_wino,1,37132,144,442368,2299,2299,73568,381,10546,127,12,474,505,3840,0
real_00,masked_expanded,0,36380,576,1769472,2298,2298,73536,114,5772,0,0,0,0,3840,0
real_00,masked_expanded,1,44251,576,1769472,2298,2298,73536,114,5772,0,12,473,492,3840,0
real_01,direct,0,25811,81,165888,1740,1740,55680,0,12504,0,0,0,0,3840,0
real_01,direct,1,31741,81,165888,1740,1740,55680,0,12504,0,12,476,222,3840,0
real_01,wino,0,52352,144,442368,5334,5334,170688,1338,19740,0,0,0,0,3840,0
real_01,wino,1,70018,144,442368,5334,5334,170688,1338,19740,0,12,474,1178,3840,0
real_01,masked_wino,0,43325,144,442368,4356,4356,139392,868,16662,325,0,0,0,3840,0
real_01,masked_wino,1,57758,144,442368,4356,4356,139392,868,16662,325,12,477,876,3840,0
real_01,masked_expanded,0,53690,576,1769472,5238,5238,167616,306,12504,0,0,0,0,3840,0
real_01,masked_expanded,1,71071,576,1769472,5238,5238,167616,306,12504,0,12,473,1182,3840,0
real_02,direct,0,6935,81,165888,18,18,576,0,516,0,0,0,0,3840,0
real_02,direct,1,7475,81,165888,18,18,576,0,516,0,12,472,2,3840,0
real_02,wino,0,15640,144,442368,48,48,1536,0,3472,0,0,0,0,3840,0
real_02,wino,1,16297,144,442368,48,48,1536,0,3472,0,12,474,27,3840,0
real_02,masked_wino,0,13671,144,442368,37,37,1184,0,3461,1,0,0,0,3840,0
real_02,masked_wino,1,14281,144,442368,37,37,1184,0,3461,1,12,474,13,3840,0
real_02,masked_expanded,0,23036,576,1769472,36,36,1152,0,516,0,0,0,0,3840,0
real_02,masked_expanded,1,23639,576,1769472,36,36,1152,0,516,0,12,476,7,3840,0
real_03,direct,0,10811,81,165888,480,480,15360,0,2544,0,0,0,0,3840,0
real_03,direct,1,12785,81,165888,480,480,15360,0,2544,0,12,478,44,3840,0
real_03,wino,0,23570,144,442368,1380,1380,44160,252,6384,0,0,0,0,3840,0
real_03,wino,1,28609,144,442368,1380,1380,44160,252,6384,0,12,472,415,3840,0
real_03,masked_wino,0,20190,144,442368,1127,1127,36064,160,5928,67,0,0,0,3840,0
real_03,masked_wino,1,24260,144,442368,1127,1127,36064,160,5928,67,12,474,203,3840,0
real_03,masked_expanded,0,29588,576,1769472,1308,1308,41856,48,2544,0,0,0,0,3840,0
real_03,masked_expanded,1,34243,576,1769472,1308,1308,41856,48,2544,0,12,473,246,3840,0
real_04,direct,0,20975,81,165888,1422,1422,45504,0,8940,0,0,0,0,3840,0
real_04,direct,1,25920,81,165888,1422,1422,45504,0,8940,0,12,468,199,3840,0
real_04,wino,0,42918,144,442368,4194,4194,134208,870,14996,0,0,0,0,3840,0
real_04,wino,1,56885,144,442368,4194,4194,134208,870,14996,0,12,472,901,3840,0
real_04,masked_wino,0,35596,144,442368,3390,3390,108480,539,12853,170,0,0,0,3840,0
real_04,masked_wino,1,47057,144,442368,3390,3390,108480,539,12853,170,12,477,802,3840,0
real_04,masked_expanded,0,45614,576,1769472,3954,3954,126528,294,8940,0,0,0,0,3840,0
real_04,masked_expanded,1,58941,576,1769472,3954,3954,126528,294,8940,0,12,474,979,3840,0
real_05,direct,0,15395,81,165888,990,990,31680,0,5088,0,0,0,0,3840,0
real_05,direct,1,18961,81,165888,990,990,31680,0,5088,0,12,473,111,3840,0
real_05,wino,0,33281,144,442368,2982,2982,95424,486,10152,0,0,0,0,3840,0
real_05,wino,1,43378,144,442368,2982,2982,95424,486,10152,0,12,465,674,3840,0
real_05,masked_wino,0,28052,144,442368,2450,2450,78400,286,8968,119,0,0,0,3840,0
real_05,masked_wino,1,36421,144,442368,2450,2450,78400,286,8968,119,12,477,530,3840,0
real_05,masked_expanded,0,37010,576,1769472,2658,2658,85056,150,5088,0,0,0,0,3840,0
real_05,masked_expanded,1,45986,576,1769472,2658,2658,85056,150,5088,0,12,473,517,3840,0
real_06,direct,0,50303,81,165888,3678,3678,117696,0,29244,0,0,0,0,3840,0
real_06,direct,1,62388,81,165888,3678,3678,117696,0,29244,0,12,471,568,3840,0
real_06,wino,0,80910,144,442368,9768,9768,312576,2520,31040,0,0,0,0,3840,0
real_06,wino,1,112867,144,442368,9768,9768,312576,2520,31040,0,12,476,2165,3840,0
real_06,masked_wino,0,65977,144,442368,7991,7991,255712,1530,25574,494,0,0,0,3840,0
real_06,masked_wino,1,92273,144,442368,7991,7991,255712,1530,25574,494,12,468,1843,3840,0
real_06,masked_expanded,0,104798,576,1769472,14520,14520,464640,1560,29244,0,0,0,0,3840,0
real_06,masked_expanded,1,152132,576,1769472,14520,14520,464640,1560,29244,0,12,473,3289,3840,0
real_07,direct,0,33359,81,165888,2652,2652,84864,0,16404,0,0,0,0,3840,0
