fixture,kind,stress,cycles,configuration_cycles,coefficient_bytes,weight_requests,weight_responses,cr_bytes,cache_hits,alu_vector_cycles,half_zero_scan_cycles,input_stall,output_stall,request_stall,values_checked,mismatches
synthetic_zero,direct,0,1643,81,165888,0,0,0,0,480,0,0,0,0,3840,0
synthetic_zero,direct,1,2124,81,165888,0,0,0,0,480,0,12,469,0,3840,0
synthetic_zero,wino,0,1706,144,442368,0,0,0,0,480,0,0,0,0,3840,0
synthetic_zero,wino,1,2187,144,442368,0,0,0,0,480,0,12,469,0,3840,0
synthetic_zero,masked_wino,0,1706,144,442368,0,0,0,0,480,0,0,0,0,3840,0
synthetic_zero,masked_wino,1,2187,144,442368,0,0,0,0,480,0,12,469,0,3840,0
synthetic_zero,masked_expanded,0,2138,576,1769472,0,0,0,0,480,0,0,0,0,3840,0
synthetic_zero,masked_expanded,1,2619,576,1769472,0,0,0,0,480,0,12,469,0,3840,0
synthetic_dense,direct,0,442283,81,165888,5184,5184,165888,0,415200,0,0,0,0,3840,0
synthetic_dense,direct,1,459360,81,165888,5184,5184,165888,0,415200,0,12,476,1037,3840,0
synthetic_dense,wino,0,34634,144,442368,1152,1152,36864,0,18720,0,0,0,0,3840,0
synthetic_dense,wino,1,38574,144,442368,1152,1152,36864,0,18720,0,12,469,3,3840,0
synthetic_dense,masked_wino,0,34634,144,442368,1152,1152,36864,0,18720,0,0,0,0,3840,0
synthetic_dense,masked_wino,1,38574,144,442368,1152,1152,36864,0,18720,0,12,469,3,3840,0
synthetic_dense,masked_expanded,0,527450,576,1769472,32256,32256,1032192,4608,369120,18432,0,0,0,3840,0
synthetic_dense,masked_expanded,1,627595,576,1769472,32256,32256,1032192,4608,369120,18432,12,479,2886,3840,0
synthetic_sparse,direct,0,38759,81,165888,4038,4038,129216,0,16260,0,0,0,0,3840,0
synthetic_sparse,direct,1,51980,81,165888,4038,4038,129216,0,16260,0,12,479,616,3840,0
synthetic_sparse,wino,0,87566,144,442368,11232,11232,359424,2928,31980,0,0,0,0,3840,0
synthetic_sparse,wino,1,124952,144,442368,11232,11232,359424,2928,31980,0,12,474,3204,3840,0
synthetic_sparse,masked_wino,0,71174,144,442368,9066,9066,290112,1446,25392,1824,0,0,0,3840,0
synthetic_sparse,masked_wino,1,101178,144,442368,9066,9066,290112,1446,25392,1824,12,472,2322,3840,0
synthetic_sparse,masked_expanded,0,91994,576,1769472,10968,10968,350976,504,14328,6408,0,0,0,3840,0
synthetic_sparse,masked_expanded,1,127953,576,1769472,10968,10968,350976,504,14328,6408,12,473,2570,3840,0
real_00,direct,0,15359,81,165888,810,810,25920,0,5772,0,0,0,0,3840,0
real_00,direct,1,18403,81,165888,810,810,25920,0,5772,0,12,474,128,3840,0
real_00,wino,0,35019,144,442368,2850,2850,91200,606,12176,0,0,0,0,3840,0
real_00,wino,1,44719,144,442368,2850,2850,91200,606,12176,0,12,470,668,3840,0
real_00,masked_wino,0,31164,144,442368,2299,2299,73568,381,10546,474,0,0,0,3840,0
real_00,masked_wino,1,39011,144,442368,2299,2299,73568,381,10546,474,12,475,463,3840,0
real_00,masked_expanded,0,52508,576,1769472,2298,2298,73536,114,5772,810,0,0,0,3840,0
real_00,masked_expanded,1,60462,576,1769472,2298,2298,73536,114,5772,810,12,470,578,3840,0
real_01,direct,0,25811,81,165888,1740,1740,55680,0,12504,0,0,0,0,3840,0
real_01,direct,1,31741,81,165888,1740,1740,55680,0,12504,0,12,476,222,3840,0
real_01,wino,0,52352,144,442368,5334,5334,170688,1338,19740,0,0,0,0,3840,0
real_01,wino,1,70018,144,442368,5334,5334,170688,1338,19740,0,12,474,1178,3840,0
real_01,masked_wino,0,45245,144,442368,4356,4356,139392,868,16662,950,0,0,0,3840,0
real_01,masked_wino,1,59679,144,442368,4356,4356,139392,868,16662,950,12,476,878,3840,0
real_01,masked_expanded,0,69818,576,1769472,5238,5238,167616,306,12504,1404,0,0,0,3840,0
real_01,masked_expanded,1,87145,576,1769472,5238,5238,167616,306,12504,1404,12,472,1129,3840,0
real_02,direct,0,6935,81,165888,18,18,576,0,516,0,0,0,0,3840,0
real_02,direct,1,7475,81,165888,18,18,576,0,516,0,12,472,2,3840,0
real_02,wino,0,15640,144,442368,48,48,1536,0,3472,0,0,0,0,3840,0
real_02,wino,1,16297,144,442368,48,48,1536,0,3472,0,12,474,27,3840,0
real_02,masked_wino,0,15591,144,442368,37,37,1184,0,3461,6,0,0,0,3840,0
real_02,masked_wino,1,16207,144,442368,37,37,1184,0,3461,6,12,474,19,3840,0
real_02,masked_expanded,0,39164,576,1769472,36,36,1152,0,516,30,0,0,0,3840,0
real_02,masked_expanded,1,39769,576,1769472,36,36,1152,0,516,30,12,471,14,3840,0
real_03,direct,0,10811,81,165888,480,480,15360,0,2544,0,0,0,0,3840,0
real_03,direct,1,12785,81,165888,480,480,15360,0,2544,0,12,478,44,3840,0
real_03,wino,0,23570,144,442368,1380,1380,44160,252,6384,0,0,0,0,3840,0
real_03,wino,1,28609,144,442368,1380,1380,44160,252,6384,0,12,472,415,3840,0
real_03,masked_wino,0,22110,144,442368,1127,1127,36064,160,5928,220,0,0,0,3840,0
real_03,masked_wino,1,26233,144,442368,1127,1127,36064,160,5928,220,12,479,251,3840,0
real_03,masked_expanded,0,45716,576,1769472,1308,1308,41856,48,2544,354,0,0,0,3840,0
real_03,masked_expanded,1,50517,576,1769472,1308,1308,41856,48,2544,354,12,472,393,3840,0
real_04,direct,0,20975,81,165888,1422,1422,45504,0,8940,0,0,0,0,3840,0
real_04,direct,1,25920,81,165888,1422,1422,45504,0,8940,0,12,468,199,3840,0
real_04,wino,0,42918,144,442368,4194,4194,134208,870,14996,0,0,0,0,3840,0
real_04,wino,1,56885,144,442368,4194,4194,134208,870,14996,0,12,472,901,3840,0
real_04,masked_wino,0,37516,144,442368,3390,3390,108480,539,12853,686,0,0,0,3840,0
real_04,masked_wino,1,48911,144,442368,3390,3390,108480,539,12853,686,12,474,739,3840,0
real_04,masked_expanded,0,61742,576,1769472,3954,3954,126528,294,8940,1980,0,0,0,3840,0
real_04,masked_expanded,1,75051,576,1769472,3954,3954,126528,294,8940,1980,12,474,961,3840,0
real_05,direct,0,15395,81,165888,990,990,31680,0,5088,0,0,0,0,3840,0
real_05,direct,1,18961,81,165888,990,990,31680,0,5088,0,12,473,111,3840,0
real_05,wino,0,33281,144,442368,2982,2982,95424,486,10152,0,0,0,0,3840,0
real_05,wino,1,43378,144,442368,2982,2982,95424,486,10152,0,12,465,674,3840,0
real_05,masked_wino,0,29972,144,442368,2450,2450,78400,286,8968,448,0,0,0,3840,0
real_05,masked_wino,1,38365,144,442368,2450,2450,78400,286,8968,448,12,472,559,3840,0
real_05,masked_expanded,0,53138,576,1769472,2658,2658,85056,150,5088,1596,0,0,0,3840,0
real_05,masked_expanded,1,62197,576,1769472,2658,2658,85056,150,5088,1596,12,472,601,3840,0
real_06,direct,0,50303,81,165888,3678,3678,117696,0,29244,0,0,0,0,3840,0
real_06,direct,1,62388,81,165888,3678,3678,117696,0,29244,0,12,471,568,3840,0
real_06,wino,0,80910,144,442368,9768,9768,312576,2520,31040,0,0,0,0,3840,0
real_06,wino,1,112867,144,442368,9768,9768,312576,2520,31040,0,12,476,2165,3840,0
real_06,masked_wino,0,67897,144,442368,7991,7991,255712,1530,25574,1720,0,0,0,3840,0
real_06,masked_wino,1,93996,144,442368,7991,7991,255712,1530,25574,1720,12,473,1641,3840,0
real_06,masked_expanded,0,120926,576,1769472,14520,14520,464640,1560,29244,6120,0,0,0,3840,0
real_06,masked_expanded,1,168449,576,1769472,14520,14520,464640,1560,29244,6120,12,474,3477,3840,0
