MODEL_LOADED 105 12
CIN_RETIRE_AEE parent_fp32 1 1.3208328825980986
CIN_RETIRE_AEE parent_fp32 2 1.5989339563836142
CIN_RETIRE_AEE parent_fp32 3 1.3969570918936618
CIN_RETIRE_AEE parent_fp32 4 1.2170101951698549
CIN_RETIRE_AEE parent_fp32 5 1.128324056853175
CIN_RETIRE_AEE parent_fp32 6 1.1502821975902011
CIN_RETIRE_AEE parent_fp32 7 1.1376646996549873
CIN_RETIRE_AEE parent_fp32 8 1.1213807855389104
CIN_RETIRE_AEE parent_fp32 9 1.0962897978320953
CIN_RETIRE_AEE parent_fp32 10 1.157519653249069
CIN_RETIRE_AEE dense_q16 1 1.3972593238786637
CIN_RETIRE_AEE dense_q16 2 1.630361030862439
CIN_RETIRE_AEE dense_q16 3 1.440209069008861
CIN_RETIRE_AEE dense_q16 4 1.2484419955124335
CIN_RETIRE_AEE dense_q16 5 1.152119170093521
CIN_RETIRE_AEE dense_q16 6 1.180181070550265
CIN_RETIRE_AEE dense_q16 7 1.1559875026453703
CIN_RETIRE_AEE dense_q16 8 1.141123774347813
CIN_RETIRE_AEE dense_q16 9 1.1113124590052357
CIN_RETIRE_AEE dense_q16 10 1.163296947981814
CIN_RETIRE_AEE block_magnitude25 1 1.2806982012872323
CIN_RETIRE_AEE block_magnitude25 2 1.5511327473910614
CIN_RETIRE_AEE block_magnitude25 3 1.4363960083864242
CIN_RETIRE_AEE block_magnitude25 4 1.2471656392970307
CIN_RETIRE_AEE block_magnitude25 5 1.1429984143685483
CIN_RETIRE_AEE block_magnitude25 6 1.1871024190622512
CIN_RETIRE_AEE block_magnitude25 7 1.171636001059954
CIN_RETIRE_AEE block_magnitude25 8 1.140290015753593
CIN_RETIRE_AEE block_magnitude25 9 1.1271028311095863
CIN_RETIRE_AEE block_magnitude25 10 1.18599666968428
CIN_RETIRE_AEE cin_magnitude25 1 1.4902578086571094
CIN_RETIRE_AEE cin_magnitude25 2 1.7856103165871051
CIN_RETIRE_AEE cin_magnitude25 3 1.5975727913757982
CIN_RETIRE_AEE cin_magnitude25 4 1.3766333904972101
CIN_RETIRE_AEE cin_magnitude25 5 1.2827668412200355
CIN_RETIRE_AEE cin_magnitude25 6 1.336292942546195
CIN_RETIRE_AEE cin_magnitude25 7 1.3012523025743328
CIN_RETIRE_AEE cin_magnitude25 8 1.2504429642836876
CIN_RETIRE_AEE cin_magnitude25 9 1.255320140345535
CIN_RETIRE_AEE cin_magnitude25 10 1.3115772136838026
CIN_RETIRE_AEE cin_fullcost25 1 1.4059076474403207
CIN_RETIRE_AEE cin_fullcost25 2 1.6178856853656007
CIN_RETIRE_AEE cin_fullcost25 3 1.478041658778366
CIN_RETIRE_AEE cin_fullcost25 4 1.2910883216749816
CIN_RETIRE_AEE cin_fullcost25 5 1.2056657915426752
CIN_RETIRE_AEE cin_fullcost25 6 1.2473363866266232
CIN_RETIRE_AEE cin_fullcost25 7 1.2325663155736577
CIN_RETIRE_AEE cin_fullcost25 8 1.2116737545280092
CIN_RETIRE_AEE cin_fullcost25 9 1.2171195223930484
CIN_RETIRE_AEE cin_fullcost25 10 1.2603504201296971
CIN_RETIRE_AEE fusion72 1 1.4082466399275395
CIN_RETIRE_AEE fusion72 2 1.6696466877290825
CIN_RETIRE_AEE fusion72 3 1.4709995420357507
CIN_RETIRE_AEE fusion72 4 1.2889543155433798
CIN_RETIRE_AEE fusion72 5 1.1955563096199793
CIN_RETIRE_AEE fusion72 6 1.2166272899774087
CIN_RETIRE_AEE fusion72 7 1.1895712320536715
CIN_RETIRE_AEE fusion72 8 1.16106275721791
CIN_RETIRE_AEE fusion72 9 1.154856411563588
CIN_RETIRE_AEE fusion72 10 1.2010505064282313
