arm,mode,core_cycles,fresh_source_origin_cycles,source_words,weight_words,psum_updates,sum_issues,pattern_copies,stressed_core_cycles
dense,3,415024,427320,9600,41088,73428,2496,0,433149
dense,5,391120,403416,9600,41088,73428,2496,0,408283
dense,4,422008,434304,9600,41088,67068,7572,40596,439399
block_magnitude25,3,323132,335428,9600,30977,55378,1862,0,337408
block_magnitude25,5,303052,315348,9600,30977,55378,1862,0,316707
block_magnitude25,4,326364,338660,9600,30977,50635,5628,30538,340202
cin_magnitude25,3,320116,332412,7200,31560,56472,2172,0,334420
cin_magnitude25,5,302380,314676,7200,31560,56472,2172,0,316095
cin_magnitude25,4,325960,338256,7200,31560,51528,6096,30960,339746
cin_fullcost25,3,312796,325092,7200,30840,54816,2052,0,326965
cin_fullcost25,5,294316,306612,7200,30840,54816,2052,0,307711
cin_fullcost25,4,316660,328956,7200,30840,49548,6192,30468,330286
mixed_retirement25,3,321196,333492,9600,30765,55064,1935,0,335630
mixed_retirement25,5,300848,313144,9600,30765,55064,1935,0,314382
mixed_retirement25,4,323513,335809,9600,30765,50029,5959,30381,337288
