fixture,kind,stress,cycles,configuration_cycles,coefficient_bytes,weight_requests,weight_responses,cr_bytes,cache_hits,alu_vector_cycles,half_zero_scan_cycles,input_stall,output_stall,request_stall,values_checked,mismatches,wall_seconds
real_00,direct,0,15359,81,165888,810,810,25920,0,5772,0,0,0,0,3840,0,0.021558336913585663
real_00,direct,1,18403,81,165888,810,810,25920,0,5772,0,12,474,128,3840,0,0.026559900492429733
real_00,one_axis,0,29525,108,248832,1494,1494,47808,654,7744,0,0,0,0,3840,0,0.038719325326383114
real_00,one_axis,1,34729,108,248832,1494,1494,47808,654,7744,0,12,472,238,3840,0,0.04851653054356575
real_01,direct,0,25811,81,165888,1740,1740,55680,0,12504,0,0,0,0,3840,0,0.03497146349400282
real_01,direct,1,31741,81,165888,1740,1740,55680,0,12504,0,12,476,222,3840,0,0.04216307774186134
real_01,one_axis,0,44552,108,248832,3138,3138,100416,1734,15420,0,0,0,0,3840,0,0.05728040914982557
real_01,one_axis,1,55033,108,248832,3138,3138,100416,1734,15420,0,12,468,587,3840,0,0.06925564538687468
real_02,direct,0,6935,81,165888,18,18,576,0,516,0,0,0,0,3840,0,0.011001469567418098
real_02,direct,1,7475,81,165888,18,18,576,0,516,0,12,472,2,3840,0,0.011450961232185364
real_02,one_axis,0,17246,108,248832,36,36,1152,0,1508,0,0,0,0,3840,0,0.022813879884779453
real_02,one_axis,1,17845,108,248832,36,36,1152,0,1508,0,12,471,8,3840,0,0.02357518393546343
real_03,direct,0,10811,81,165888,480,480,15360,0,2544,0,0,0,0,3840,0,0.01582245994359255
real_03,direct,1,12785,81,165888,480,480,15360,0,2544,0,12,478,44,3840,0,0.017895663157105446
real_03,one_axis,0,22856,108,248832,888,888,28416,324,3672,0,0,0,0,3840,0,0.029553089290857315
real_03,one_axis,1,26197,108,248832,888,888,28416,324,3672,0,12,475,190,3840,0,0.033092034980654716
real_04,direct,0,20975,81,165888,1422,1422,45504,0,8940,0,0,0,0,3840,0,0.02841633465141058
real_04,direct,1,25920,81,165888,1422,1422,45504,0,8940,0,12,468,199,3840,0,0.03378080856055021
real_04,one_axis,0,37040,108,248832,2598,2598,83136,1206,10588,0,0,0,0,3840,0,0.047918133437633514
real_04,one_axis,1,45700,108,248832,2598,2598,83136,1206,10588,0,12,479,375,3840,0,0.05730425380170345
real_05,direct,0,15395,81,165888,990,990,31680,0,5088,0,0,0,0,3840,0,0.02155322954058647
real_05,direct,1,18961,81,165888,990,990,31680,0,5088,0,12,473,111,3840,0,0.025805466808378696
real_05,one_axis,0,30143,108,248832,1848,1848,59136,720,7020,0,0,0,0,3840,0,0.03879976738244295
real_05,one_axis,1,36482,108,248832,1848,1848,59136,720,7020,0,12,486,297,3840,0,0.045902788639068604
