arm,mode,tiles,total_cycles,core_cycles,static_weight_words,static_mask_words,source_load_words,external_source_words,padding_words,origin_words,source_load_stalls,parameter_stalls,core_source_words,core_weight_words,core_psum_reads,core_psum_writes,core_update_issues,core_sum_issues,core_merge_issues,output_beats,core_source_stalls,core_weight_stalls,core_output_stalls,checked_outputs,wall_seconds
dense_q16,5,64,5549649,5440496,10368,288,98304,85344,12960,64,0,0,85344,566508,1137828,1137828,1107108,41148,0,30720,0,0,0,245760,0.764005
dense_q16,5,64,5538993,5440496,0,0,98304,85344,12960,64,0,0,85344,566508,1137828,1137828,1107108,41148,0,30720,0,0,0,245760,0.774424
dense_q16,5,64,5793324,5668043,10368,288,98304,85344,12960,64,15462,666,85344,566508,1137828,1137828,1107108,41148,0,30720,7946,204238,15363,245760,0.832324
dense_q16,5,64,5782007,5668046,0,0,98304,85344,12960,64,15464,0,85344,566508,1137828,1137828,1107108,41148,0,30720,7952,204221,15377,245760,0.812162
dense_q16,6,64,5231769,5122616,10368,288,98304,85344,12960,64,0,0,85344,566508,1033560,1033560,1002840,145416,104268,30720,0,0,0,245760,0.734467
dense_q16,6,64,5221113,5122616,0,0,98304,85344,12960,64,0,0,85344,566508,1033560,1033560,1002840,145416,104268,30720,0,0,0,245760,0.733961
dense_q16,6,64,5470434,5345136,10368,288,98304,85344,12960,64,15479,666,85344,566508,1033560,1033560,1002840,145416,104268,30720,7890,199263,15367,245760,0.791275
dense_q16,6,64,5459114,5345167,0,0,98304,85344,12960,64,15450,0,85344,566508,1033560,1033560,1002840,145416,104268,30720,7873,199304,15374,245760,0.788795
block_magnitude25,5,64,4310417,4201264,10368,288,98304,85344,12960,64,0,0,85344,430313,874094,874094,843374,31348,0,30720,0,0,0,245760,0.594198
block_magnitude25,5,64,4299761,4201264,0,0,98304,85344,12960,64,0,0,85344,430313,874094,874094,843374,31348,0,30720,0,0,0,245760,0.592605
block_magnitude25,5,64,4504574,4379277,10368,288,98304,85344,12960,64,15478,666,85344,430313,874094,874094,843374,31348,0,30720,8029,154601,15383,245760,0.635306
block_magnitude25,5,64,4493254,4379304,0,0,98304,85344,12960,64,15453,0,85344,430313,874094,874094,843374,31348,0,30720,8063,154604,15373,245760,0.632905
block_magnitude25,6,64,4066298,3957145,10368,288,98304,85344,12960,64,0,0,85344,430313,793797,793797,763077,111645,80297,30720,0,0,0,245760,0.571325
block_magnitude25,6,64,4055642,3957145,0,0,98304,85344,12960,64,0,0,85344,430313,793797,793797,763077,111645,80297,30720,0,0,0,245760,0.636964
block_magnitude25,6,64,4257234,4131936,10368,288,98304,85344,12960,64,15479,666,85344,430313,793797,793797,763077,111645,80297,30720,7893,151534,15364,245760,0.627014
block_magnitude25,6,64,4245917,4131955,0,0,98304,85344,12960,64,15465,0,85344,430313,793797,793797,763077,111645,80297,30720,7883,151549,15378,245760,0.725666
cin_fullcost25,5,64,4167609,4058456,10368,288,98304,85344,12960,64,0,0,64008,422520,851364,851364,820644,30216,0,30720,0,0,0,245760,0.609068
cin_fullcost25,5,64,4156953,4058456,0,0,98304,85344,12960,64,0,0,64008,422520,851364,851364,820644,30216,0,30720,0,0,0,245760,0.630942
cin_fullcost25,5,64,4354832,4229557,10368,288,98304,85344,12960,64,15456,666,64008,422520,851364,851364,820644,30216,0,30720,5964,149755,15382,245760,0.628014
cin_fullcost25,5,64,4343457,4229494,0,0,98304,85344,12960,64,15466,0,64008,422520,851364,851364,820644,30216,0,30720,6025,149642,15371,245760,0.615617
cin_fullcost25,6,64,3913209,3804056,10368,288,98304,85344,12960,64,0,0,64008,422520,766644,766644,735924,114936,84720,30720,0,0,0,245760,0.552139
cin_fullcost25,6,64,3902553,3804056,0,0,98304,85344,12960,64,0,0,64008,422520,766644,766644,735924,114936,84720,30720,0,0,0,245760,0.548287
cin_fullcost25,6,64,4096249,3970950,10368,288,98304,85344,12960,64,15480,666,64008,422520,766644,766644,735924,114936,84720,30720,5991,145528,15375,245760,0.594563
cin_fullcost25,6,64,4084929,3970966,0,0,98304,85344,12960,64,15466,0,64008,422520,766644,766644,735924,114936,84720,30720,6027,145513,15370,245760,0.590722
