function,implementation,workload,backpressure,cold_component_cycles,valid825_frame_AEE,valid825_pixel_AEE,evidence
spatial_q11,expanded_OS,sequences,False,1182084,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
spatial_q11,ordinary_factor,sequences,False,980690,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
spatial_q11,general_Winograd,sequences,False,978062,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
spatial_q11,expanded_OS,sequences,True,1422253,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
spatial_q11,ordinary_factor,sequences,True,1025097,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
spatial_q11,general_Winograd,sequences,True,1024872,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
moment,ordinary_factor,sequences,False,980690,1.2965040894397417,1.2280668950509641,spatial_winograd/pruned_replay/comparison.json
moment,general_Winograd,sequences,False,908354,1.2965040894397417,1.2280668950509641,spatial_winograd/pruned_replay/comparison.json
moment,ordinary_factor,sequences,True,1025097,1.2965040894397417,1.2280668950509641,spatial_winograd/pruned_replay/comparison.json
moment,general_Winograd,sequences,True,953063,1.2965040894397417,1.2280668950509641,spatial_winograd/pruned_replay/comparison.json
native_tap,ordinary_factor,sequences,False,849931,1.2859525683870776,1.2217265438507465,spatial_winograd/pruned_replay/comparison.json
native_tap,general_Winograd,sequences,False,937429,1.2859525683870776,1.2217265438507465,spatial_winograd/pruned_replay/comparison.json
native_tap,ordinary_factor,sequences,True,892884,1.2859525683870776,1.2217265438507465,spatial_winograd/pruned_replay/comparison.json
native_tap,general_Winograd,sequences,True,983159,1.2859525683870776,1.2217265438507465,spatial_winograd/pruned_replay/comparison.json
moment,three_product,sequences,False,865250,1.2965040894397417,1.2280668950509641,spatial_moment3/comparison.json
moment,three_product,sequences,True,909776,1.2965040894397417,1.2280668950509641,spatial_moment3/comparison.json
unconstrained,three_product,sequences,False,865250,1.2583431021574247,1.1916563897482657,spatial_moment3/unconstrained/SUMMARY.json
unconstrained,three_product,sequences,True,909776,1.2583431021574247,1.1916563897482657,spatial_moment3/unconstrained/SUMMARY.json
moment,source_box_two_tap,sequences,False,883130,1.2965040894397417,1.2280668950509641,spatial_box2/SUMMARY.json
moment,source_box_two_tap,sequences,True,925841,1.2965040894397417,1.2280668950509641,spatial_box2/SUMMARY.json
spatial_q11,expanded_OS,held,False,2601944,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
spatial_q11,ordinary_factor,held,False,2334322,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
spatial_q11,general_Winograd,held,False,2183350,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
spatial_q11,expanded_OS,held,True,3192075,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
spatial_q11,ordinary_factor,held,True,2418895,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
spatial_q11,general_Winograd,held,True,2273392,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
moment,ordinary_factor,held,False,2334322,1.2965040894397417,1.2280668950509641,spatial_winograd/pruned_replay/comparison.json
moment,general_Winograd,held,False,1975186,1.2965040894397417,1.2280668950509641,spatial_winograd/pruned_replay/comparison.json
moment,ordinary_factor,held,True,2418895,1.2965040894397417,1.2280668950509641,spatial_winograd/pruned_replay/comparison.json
moment,general_Winograd,held,True,2060295,1.2965040894397417,1.2280668950509641,spatial_winograd/pruned_replay/comparison.json
native_tap,ordinary_factor,held,False,1942296,1.2859525683870776,1.2217265438507465,spatial_winograd/pruned_replay/comparison.json
native_tap,general_Winograd,held,False,2066038,1.2859525683870776,1.2217265438507465,spatial_winograd/pruned_replay/comparison.json
native_tap,ordinary_factor,held,True,2023740,1.2859525683870776,1.2217265438507465,spatial_winograd/pruned_replay/comparison.json
native_tap,general_Winograd,held,True,2153800,1.2859525683870776,1.2217265438507465,spatial_winograd/pruned_replay/comparison.json
moment,three_product,held,False,1898706,1.2965040894397417,1.2280668950509641,spatial_moment3/comparison.json
moment,three_product,held,True,1983266,1.2965040894397417,1.2280668950509641,spatial_moment3/comparison.json
unconstrained,three_product,held,False,1898706,1.2583431021574247,1.1916563897482657,spatial_moment3/unconstrained/SUMMARY.json
unconstrained,three_product,held,True,1983266,1.2583431021574247,1.1916563897482657,spatial_moment3/unconstrained/SUMMARY.json
moment,source_box_two_tap,held,False,2036236,1.2965040894397417,1.2280668950509641,spatial_box2/SUMMARY.json
moment,source_box_two_tap,held,True,2116792,1.2965040894397417,1.2280668950509641,spatial_box2/SUMMARY.json
spatial_q11,expanded_OS,disjoint,False,3006212,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
spatial_q11,ordinary_factor,disjoint,False,2510814,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
spatial_q11,general_Winograd,disjoint,False,2324802,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
spatial_q11,expanded_OS,disjoint,True,3744251,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
spatial_q11,ordinary_factor,disjoint,True,2598908,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
spatial_q11,general_Winograd,disjoint,True,2418406,1.2544305372701712,1.1930135413322505,spatial_winograd/comparison.json
moment,ordinary_factor,disjoint,False,2510814,1.2965040894397417,1.2280668950509641,spatial_winograd/pruned_replay/comparison.json
moment,general_Winograd,disjoint,False,2107026,1.2965040894397417,1.2280668950509641,spatial_winograd/pruned_replay/comparison.json
moment,ordinary_factor,disjoint,True,2598908,1.2965040894397417,1.2280668950509641,spatial_winograd/pruned_replay/comparison.json
moment,general_Winograd,disjoint,True,2195989,1.2965040894397417,1.2280668950509641,spatial_winograd/pruned_replay/comparison.json
native_tap,ordinary_factor,disjoint,False,2095294,1.2859525683870776,1.2217265438507465,spatial_winograd/pruned_replay/comparison.json
native_tap,general_Winograd,disjoint,False,2202605,1.2859525683870776,1.2217265438507465,spatial_winograd/pruned_replay/comparison.json
native_tap,ordinary_factor,disjoint,True,2180333,1.2859525683870776,1.2217265438507465,spatial_winograd/pruned_replay/comparison.json
native_tap,general_Winograd,disjoint,True,2293713,1.2859525683870776,1.2217265438507465,spatial_winograd/pruned_replay/comparison.json
moment,three_product,disjoint,False,2030546,1.2965040894397417,1.2280668950509641,spatial_moment3/comparison.json
moment,three_product,disjoint,True,2118691,1.2965040894397417,1.2280668950509641,spatial_moment3/comparison.json
unconstrained,three_product,disjoint,False,2030546,1.2583431021574247,1.1916563897482657,spatial_moment3/unconstrained/SUMMARY.json
unconstrained,three_product,disjoint,True,2118691,1.2583431021574247,1.1916563897482657,spatial_moment3/unconstrained/SUMMARY.json
moment,source_box_two_tap,disjoint,False,2191506,1.2965040894397417,1.2280668950509641,spatial_box2/SUMMARY.json
moment,source_box_two_tap,disjoint,True,2276349,1.2965040894397417,1.2280668950509641,spatial_box2/SUMMARY.json
