og,rank,moment_component,m1_weighted_squared_error,m2_weighted_squared_error,moment_integer_squared_error,native_tap,native_weighted_squared_error
0,0,2,2.3205043187241037e-06,3.0735366842867874e-07,577114,0,6.356477632123731e-07
0,1,2,6.545394015123165e-06,9.109790317396708e-07,1142615,0,1.8382975414091554e-06
0,2,2,2.457879417993802e-06,4.4376319211233127e-07,1104975,2,6.725141797440343e-07
0,3,2,3.530955351462964e-06,6.312156037956589e-07,1255676,2,1.0021798358795913e-06
0,4,2,1.6355578882943983e-06,1.706709769342129e-07,418754,1,6.116227539846911e-07
0,5,2,1.4861017896139402e-06,1.410271126729745e-07,360260,0,3.454376670911173e-07
0,6,2,2.9711532957009732e-06,5.681876136313313e-07,568786,2,7.763112121966943e-07
0,7,2,5.759698964662511e-07,5.901270361271033e-08,124959,2,2.2568827138375585e-07
0,8,2,1.3175609637267495e-06,3.6898082021987733e-07,509139,1,2.8492651605919904e-07
0,9,2,5.906447939890202e-07,2.7317849719284136e-07,554802,1,9.482313657733142e-08
0,10,2,1.3082708099266076e-06,1.9098948150272103e-07,431209,2,4.6648928211796615e-07
0,11,2,7.080818462795154e-07,8.931685127262259e-08,188446,0,3.751076335797295e-07
0,12,2,6.770855141232366e-07,1.9119423016257045e-07,398491,2,1.3196541733133076e-07
0,13,2,2.761017170546502e-06,6.673467571545211e-07,1522462,1,7.703073335799784e-07
0,14,2,4.3763456339585134e-07,6.586836219492702e-08,148328,2,2.1165829130150087e-07
0,15,2,1.3991646979571252e-06,1.8248155555744906e-07,514916,1,5.332886581032436e-07
1,0,2,1.1077916757186609e-06,1.6979204306026733e-07,432993,1,3.714307049160668e-07
1,1,2,7.82384667096209e-06,1.167397928817413e-06,1719605,1,2.536151483258019e-06
1,2,2,4.627695089919252e-06,5.246124568276157e-07,1164233,2,1.3669680030945218e-06
1,3,2,3.639229323405567e-06,7.794130078055416e-07,2065998,1,1.0166470987763693e-06
1,4,2,3.0668396212850914e-06,3.2964944178493747e-07,690850,0,8.32702875669637e-07
1,5,2,1.987852058649118e-06,2.3024080388802974e-07,433440,2,6.871774897978925e-07
1,6,2,2.9044106862522197e-07,1.6566488625317953e-07,421810,0,1.3244549472975924e-07
1,7,2,4.372877550341286e-07,1.341193737877045e-07,369651,1,1.5535621181966854e-07
1,8,2,8.815055117339754e-07,1.368239409961517e-07,279821,1,2.6660230252105963e-07
1,9,2,4.893733554625638e-07,7.706655253084751e-08,243952,1,1.840950167192075e-07
1,10,2,2.238731766167589e-06,3.0999780596876304e-07,641847,1,7.305706871121113e-07
1,11,2,1.737806699461394e-06,3.586965093380263e-07,532452,1,6.311103924028973e-07
1,12,2,1.460525362486004e-06,1.691344722347169e-07,306568,2,3.542314254286718e-07
1,13,2,6.733290208506251e-07,2.2034705221048235e-07,330578,1,1.971804991002633e-07
1,14,2,7.577623440248619e-07,1.298177220804735e-07,267657,2,2.368869529204717e-07
1,15,2,7.376730967609087e-07,2.832997867603287e-07,676902,0,3.9575730540720723e-07
