case,real,mode,bp,cycles,source_to_gate,boot_cycles,fc_cycles,psn_cycles,words,coeff_words,updates,mac,jobs,zero_jobs,bank_skips,psn_wait,peak_words,peak_desc,out_stall,bank_req_stall
real_v0_tile0_h0,1,0,0,7937,7172,764,3099,3753,748,366,3092,2660,61,0,0,0,24,4,0,0
real_v0_tile0_h0,1,0,1,8811,7372,1438,3103,3896,748,366,3092,2660,61,0,0,0,24,4,143,198
real_v0_tile0_h0,1,1,0,5791,5002,788,929,3753,1366,972,914,2660,81,0,0,0,24,2,0,0
real_v0_tile0_h0,1,1,1,6776,5292,1483,1021,3898,1366,972,914,2660,81,0,0,0,24,2,145,429
real_v0_tile0_h0,1,2,0,5783,4994,788,921,3753,1042,648,914,2660,81,0,0,0,24,3,0,0
real_v0_tile0_h0,1,2,1,6688,5204,1483,935,3896,1042,648,914,2660,81,0,0,0,24,3,143,301
real_v0_tile0_h0,1,3,0,5795,4994,800,921,3753,1048,648,914,2660,81,0,0,0,24,3,0,0
real_v0_tile0_h0,1,3,1,6710,5195,1513,933,3889,1048,648,914,2660,81,0,0,0,24,3,136,322
real_v0_tile0_h0,1,4,0,5789,4994,794,921,3753,1045,648,914,2660,81,0,0,0,24,3,0,0
real_v0_tile0_h0,1,4,1,6688,5196,1491,934,3888,1045,648,914,2660,81,0,0,0,24,3,135,321
real_v0_tile0_h1,1,0,0,7937,7172,764,3099,3753,748,366,3092,2660,61,0,0,0,24,4,0,0
real_v0_tile0_h1,1,0,1,8811,7366,1443,3102,3891,748,366,3092,2660,61,0,0,0,24,4,138,239
real_v0_tile0_h1,1,1,0,5791,5002,788,929,3753,1366,972,914,2660,81,0,0,0,24,2,0,0
real_v0_tile0_h1,1,1,1,6776,5287,1488,1020,3894,1366,972,914,2660,81,0,0,0,24,2,141,405
real_v0_tile0_h1,1,2,0,5783,4994,788,921,3753,1042,648,914,2660,81,0,0,0,24,3,0,0
real_v0_tile0_h1,1,2,1,6688,5199,1488,935,3891,1042,648,914,2660,81,0,0,0,24,3,138,332
real_v0_tile0_h1,1,3,0,5795,4994,800,921,3753,1048,648,914,2660,81,0,0,0,24,3,0,0
real_v0_tile0_h1,1,3,1,6710,5202,1506,935,3894,1048,648,914,2660,81,0,0,0,24,3,141,306
real_v0_tile0_h1,1,4,0,5789,4994,794,921,3753,1045,648,914,2660,81,0,0,0,24,3,0,0
real_v0_tile0_h1,1,4,1,6699,5198,1499,935,3890,1045,648,914,2660,81,0,0,0,24,3,137,320
real_v0_tile0_h2,1,0,0,7937,7172,764,3099,3753,748,366,3092,2660,61,0,0,0,24,4,0,0
real_v0_tile0_h2,1,0,1,8800,7368,1431,3103,3892,748,366,3092,2660,61,0,0,0,24,4,139,250
real_v0_tile0_h2,1,1,0,5791,5002,788,929,3753,1366,972,914,2660,81,0,0,0,24,2,0,0
real_v0_tile0_h2,1,1,1,6765,5288,1476,1019,3896,1366,972,914,2660,81,0,0,0,24,2,143,404
real_v0_tile0_h2,1,2,0,5783,4994,788,921,3753,1042,648,914,2660,81,0,0,0,24,3,0,0
real_v0_tile0_h2,1,2,1,6677,5200,1476,935,3892,1042,648,914,2660,81,0,0,0,24,3,139,340
real_v0_tile0_h2,1,3,0,5795,4994,800,921,3753,1048,648,914,2660,81,0,0,0,24,3,0,0
real_v0_tile0_h2,1,3,1,6699,5197,1501,934,3890,1048,648,914,2660,81,0,0,0,24,3,137,305
real_v0_tile0_h2,1,4,0,5789,4994,794,921,3753,1045,648,914,2660,81,0,0,0,24,3,0,0
real_v0_tile0_h2,1,4,1,6688,5201,1486,937,3891,1045,648,914,2660,81,0,0,0,24,3,138,311
real_v0_tile0_h3,1,0,0,7937,7172,764,3099,3753,748,366,3092,2660,61,0,0,0,24,4,0,0
real_v0_tile0_h3,1,0,1,8800,7364,1435,3102,3888,748,366,3092,2660,61,0,0,0,24,4,135,204
real_v0_tile0_h3,1,1,0,5791,5002,788,929,3753,1366,972,914,2660,81,0,0,0,24,2,0,0
real_v0_tile0_h3,1,1,1,6765,5284,1480,1019,3892,1366,972,914,2660,81,0,0,0,24,2,139,415
real_v0_tile0_h3,1,2,0,5783,4994,788,921,3753,1042,648,914,2660,81,0,0,0,24,3,0,0
real_v0_tile0_h3,1,2,1,6677,5196,1480,934,3889,1042,648,914,2660,81,0,0,0,24,3,136,323
real_v0_tile0_h3,1,3,0,5795,4994,800,921,3753,1048,648,914,2660,81,0,0,0,24,3,0,0
real_v0_tile0_h3,1,3,1,6710,5206,1503,935,3898,1048,648,914,2660,81,0,0,0,24,3,145,329
real_v0_tile0_h3,1,4,0,5789,4994,794,921,3753,1045,648,914,2660,81,0,0,0,24,3,0,0
real_v0_tile0_h3,1,4,1,6688,5198,1489,934,3891,1045,648,914,2660,81,0,0,0,24,3,138,315
real_v0_tile199_h0,1,0,0,8612,7847,764,3587,3940,766,384,3580,2840,64,0,0,0,24,4,0,0
real_v0_tile199_h0,1,0,1,9470,8031,1438,3591,4067,766,384,3580,2840,64,0,0,0,24,4,127,214
real_v0_tile199_h0,1,1,0,6084,5295,788,1035,3940,1426,1032,1027,2840,86,0,0,0,24,2,0,0
real_v0_tile199_h0,1,1,1,7039,5555,1483,1111,4071,1426,1032,1027,2840,86,0,0,0,24,2,131,473
real_v0_tile199_h0,1,2,0,6083,5294,788,1034,3940,1082,688,1027,2840,86,0,0,0,24,3,0,0
real_v0_tile199_h0,1,2,1,6962,5478,1483,1039,4066,1082,688,1027,2840,86,0,0,0,24,3,126,359
real_v0_tile199_h0,1,3,0,6095,5294,800,1034,3940,1088,688,1027,2840,86,0,0,0,24,3,0,0
real_v0_tile199_h0,1,3,1,6995,5480,1513,1038,4069,1088,688,1027,2840,86,0,0,0,24,3,129,357
real_v0_tile199_h0,1,4,0,6089,5294,794,1034,3940,1085,688,1027,2840,86,0,0,0,24,3,0,0
real_v0_tile199_h0,1,4,1,6973,5481,1491,1038,4069,1085,688,1027,2840,86,0,0,0,24,3,129,295
real_v0_tile199_h1,1,0,0,8612,7847,764,3587,3940,766,384,3580,2840,64,0,0,0,24,4,0,0
real_v0_tile199_h1,1,0,1,9481,8036,1443,3590,4073,766,384,3580,2840,64,0,0,0,24,4,133,226
real_v0_tile199_h1,1,1,0,6084,5295,788,1035,3940,1426,1032,1027,2840,86,0,0,0,24,2,0,0
real_v0_tile199_h1,1,1,1,7039,5550,1488,1112,4065,1426,1032,1027,2840,86,0,0,0,24,2,125,433
real_v0_tile199_h1,1,2,0,6083,5294,788,1034,3940,1082,688,1027,2840,86,0,0,0,24,3,0,0
real_v0_tile199_h1,1,2,1,6973,5484,1488,1039,4072,1082,688,1027,2840,86,0,0,0,24,3,132,320
real_v0_tile199_h1,1,3,0,6095,5294,800,1034,3940,1088,688,1027,2840,86,0,0,0,24,3,0,0
real_v0_tile199_h1,1,3,1,6985,5477,1506,1039,4065,1088,688,1027,2840,86,0,0,0,24,3,125,352
real_v0_tile199_h1,1,4,0,6089,5294,794,1034,3940,1085,688,1027,2840,86,0,0,0,24,3,0,0
real_v0_tile199_h1,1,4,1,6984,5483,1499,1039,4071,1085,688,1027,2840,86,0,0,0,24,3,131,315
real_v0_tile199_h2,1,0,0,8612,7847,764,3587,3940,766,384,3580,2840,64,0,0,0,24,4,0,0
real_v0_tile199_h2,1,0,1,9470,8038,1431,3591,4074,766,384,3580,2840,64,0,0,0,24,4,134,218
real_v0_tile199_h2,1,1,0,6084,5295,788,1035,3940,1426,1032,1027,2840,86,0,0,0,24,2,0,0
real_v0_tile199_h2,1,1,1,7028,5551,1476,1112,4066,1426,1032,1027,2840,86,0,0,0,24,2,126,455
real_v0_tile199_h2,1,2,0,6083,5294,788,1034,3940,1082,688,1027,2840,86,0,0,0,24,3,0,0
real_v0_tile199_h2,1,2,1,6962,5485,1476,1039,4073,1082,688,1027,2840,86,0,0,0,24,3,133,305
real_v0_tile199_h2,1,3,0,6095,5294,800,1034,3940,1088,688,1027,2840,86,0,0,0,24,3,0,0
real_v0_tile199_h2,1,3,1,6984,5482,1501,1038,4071,1088,688,1027,2840,86,0,0,0,24,3,131,285
real_v0_tile199_h2,1,4,0,6089,5294,794,1034,3940,1085,688,1027,2840,86,0,0,0,24,3,0,0
real_v0_tile199_h2,1,4,1,6973,5486,1486,1039,4074,1085,688,1027,2840,86,0,0,0,24,3,134,344
real_v0_tile199_h3,1,0,0,8612,7847,764,3587,3940,766,384,3580,2840,64,0,0,0,24,4,0,0
real_v0_tile199_h3,1,0,1,9470,8034,1435,3590,4070,766,384,3580,2840,64,0,0,0,24,4,130,219
real_v0_tile199_h3,1,1,0,6084,5295,788,1035,3940,1426,1032,1027,2840,86,0,0,0,24,2,0,0
real_v0_tile199_h3,1,1,1,7028,5547,1480,1108,4066,1426,1032,1027,2840,86,0,0,0,24,2,126,414
real_v0_tile199_h3,1,2,0,6083,5294,788,1034,3940,1082,688,1027,2840,86,0,0,0,24,3,0,0
real_v0_tile199_h3,1,2,1,6962,5481,1480,1038,4070,1082,688,1027,2840,86,0,0,0,24,3,130,291
real_v0_tile199_h3,1,3,0,6095,5294,800,1034,3940,1088,688,1027,2840,86,0,0,0,24,3,0,0
real_v0_tile199_h3,1,3,1,6984,5480,1503,1040,4067,1088,688,1027,2840,86,0,0,0,24,3,127,362
real_v0_tile199_h3,1,4,0,6089,5294,794,1034,3940,1085,688,1027,2840,86,0,0,0,24,3,0,0
real_v0_tile199_h3,1,4,1,6973,5483,1489,1038,4072,1085,688,1027,2840,86,0,0,0,24,3,132,284
real_v0_tile399_h0,1,0,0,7965,7200,764,3294,3586,766,384,3287,2490,64,0,0,0,24,4,0,0
real_v0_tile399_h0,1,0,1,8839,7400,1438,3298,3729,766,384,3287,2490,64,0,0,0,24,4,143,221
real_v0_tile399_h0,1,1,0,5634,4845,788,939,3586,1462,1068,929,2490,89,0,0,0,24,2,0,0
real_v0_tile399_h0,1,1,1,6617,5133,1483,1028,3732,1462,1068,929,2490,89,0,0,0,24,2,146,461
real_v0_tile399_h0,1,2,0,5631,4842,788,936,3586,1106,712,929,2490,89,0,0,0,24,3,0,0
real_v0_tile399_h0,1,2,1,6540,5056,1483,949,3734,1106,712,929,2490,89,0,0,0,24,3,148,339
real_v0_tile399_h0,1,3,0,5643,4842,800,936,3586,1112,712,929,2490,89,0,0,0,24,3,0,0
real_v0_tile399_h0,1,3,1,6562,5047,1513,946,3728,1112,712,929,2490,89,0,0,0,24,3,142,375
real_v0_tile399_h0,1,4,0,5637,4842,794,936,3586,1109,712,929,2490,89,0,0,0,24,3,0,0
real_v0_tile399_h0,1,4,1,6540,5048,1491,947,3727,1109,712,929,2490,89,0,0,0,24,3,141,350
real_v0_tile399_h1,1,0,0,7965,7200,764,3294,3586,766,384,3287,2490,64,0,0,0,24,4,0,0
real_v0_tile399_h1,1,0,1,8850,7405,1443,3297,3735,766,384,3287,2490,64,0,0,0,24,4,149,192
real_v0_tile399_h1,1,1,0,5634,4845,788,939,3586,1462,1068,929,2490,89,0,0,0,24,2,0,0
