function,case,real,mode,bp,pass,hblocks,cycles_to_last_gate,cycles_to_done,first_X_request_to_last_gate,dictionary_load_cycles,source_phase_cycles,backend_phase_cycles,backend_boot_cycles,backend_fc_cycles,backend_psn_cycles,words,bytes,dictionary_words,source_config_words,source_X_words,source_graph_words,source_prefetch_words,backend_config_words,backend_coeff_words,source_produced_pairs,source_scalar_mac,backend_vector_mac,backend_vector_updates,bridge_writes,bridge_reads,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,backend_mode,frontier,source_channel_refs
adapt_response_class,train0,1,1,0,0,4,61672,61674,61584,24,41856,19792,3176,2880,12448,8928,142848,12,960,4096,0,3712,1588,2272,20480,204800,8240,2852,1920,1280,0,0,1,12,12,32,39904,1920,4,4456,15332,1,4,0,2048
adapt_response_class,train0,1,1,1,0,4,67843,67845,67679,52,44598,23193,5969,2920,13016,8928,142848,12,960,4096,0,3712,1588,2272,20480,204800,8240,2852,1920,1280,2877,568,1,16,36,32,42646,1920,4,7249,15940,1,4,0,2048
adapt_response_class,train0,1,2,0,0,4,56125,56127,56053,24,36309,19792,3176,2880,12448,11717,187472,12,672,3380,3793,3481,1588,2272,16900,169000,8240,2852,1920,1280,0,0,1,12,12,32,34357,1920,4,4456,15332,1,4,0,1690
adapt_response_class,train0,1,2,1,0,4,67029,67031,66889,52,43788,23189,5970,2920,13011,11717,187472,12,672,3380,3793,3481,1588,2272,16900,169000,8240,2852,1920,1280,3650,563,1,16,36,32,41836,1920,4,7250,15935,1,4,0,1690
adapt_response_class,train0,1,2,0,0,4,52947,52949,52875,24,33131,19792,3176,2880,12448,11998,191968,12,672,3404,4050,3593,1588,2272,13384,133840,8240,2852,1920,1280,0,0,1,12,12,32,31179,1920,4,4456,15332,1,4,1,2079
adapt_response_class,train0,1,2,1,0,4,63564,63566,63424,52,40330,23182,5963,2920,13011,11992,191872,12,672,3404,4044,3591,1588,2272,13384,133840,8240,2852,1920,1280,3862,563,1,16,36,32,38378,1920,4,7243,15935,1,4,1,2079
adapt_response_class,train0,1,3,0,0,4,55194,55196,55122,24,35378,19792,3176,2880,12448,11724,187584,12,672,3284,3896,3587,1588,2272,16420,164200,8240,2852,1920,1280,0,0,1,12,12,32,33426,1920,4,4456,15332,1,4,0,1642
adapt_response_class,train0,1,3,1,0,4,66061,66063,65920,52,42844,23165,5949,2919,13009,11724,187584,12,672,3284,3896,3587,1588,2272,16420,164200,8240,2852,1920,1280,3807,561,1,16,36,32,40892,1920,4,7229,15932,1,4,0,1642
adapt_response_class,train0,1,3,0,0,4,52750,52752,52678,24,32934,19792,3176,2880,12448,11987,191792,12,672,3308,4135,3682,1588,2272,13227,132270,8240,2852,1920,1280,0,0,1,12,12,32,30982,1920,4,4456,15332,1,4,1,2014
adapt_response_class,train0,1,3,1,0,4,63256,63258,63115,52,40020,23184,5961,2922,13013,11987,191792,12,672,3308,4135,3682,1588,2272,13227,132270,8240,2852,1920,1280,3997,565,1,16,36,32,38068,1920,4,7241,15939,1,4,1,2014
adapt_response_class,train1,1,1,0,0,4,62264,62266,62176,24,41856,20384,3176,2800,13120,8800,140800,12,960,4096,0,3712,1588,2144,20480,204800,8920,2772,1920,1280,0,0,1,12,12,32,39904,1920,4,4456,15924,1,4,0,2048
adapt_response_class,train1,1,1,1,0,4,68448,68450,68284,52,44598,23798,5968,2887,13655,8800,140800,12,960,4096,0,3712,1588,2144,20480,204800,8920,2772,1920,1280,2750,535,1,16,36,32,42646,1920,4,7248,16546,1,4,0,2048
adapt_response_class,train1,1,2,0,0,4,56312,56314,56240,24,35904,20384,3176,2800,13120,11535,184560,12,672,3338,3781,3453,1588,2144,16690,166900,8920,2772,1920,1280,0,0,1,12,12,32,33952,1920,4,4456,15924,1,4,0,1669
adapt_response_class,train1,1,2,1,0,4,67161,67163,67021,52,43317,23792,5946,2888,13670,11531,184496,12,672,3338,3777,3452,1588,2144,16690,166900,8920,2772,1920,1280,3576,550,1,16,36,32,41365,1920,4,7226,16562,1,4,0,1669
adapt_response_class,train1,1,2,0,0,4,53313,53315,53241,24,32905,20384,3176,2800,13120,11821,189136,12,672,3366,4039,3569,1588,2144,13408,134080,8920,2772,1920,1280,0,0,1,12,12,32,30953,1920,4,4456,15924,1,4,1,2062
adapt_response_class,train1,1,2,1,0,4,63894,63898,63754,52,40079,23763,5936,2888,13651,11811,188976,12,672,3366,4029,3565,1588,2144,13408,134080,8920,2772,1920,1280,3696,531,1,16,36,32,38127,1920,4,7216,16543,3,4,1,2062
adapt_response_class,train1,1,3,0,0,4,55432,55434,55360,24,35024,20384,3176,2800,13120,11503,184048,12,672,3248,3839,3529,1588,2144,16240,162400,8920,2772,1920,1280,0,0,1,12,12,32,33072,1920,4,4456,15924,1,4,0,1624
adapt_response_class,train1,1,3,1,0,4,66215,66217,66074,52,42388,23775,5937,2888,13662,11502,184032,12,672,3248,3838,3529,1588,2144,16240,162400,8920,2772,1920,1280,3488,542,1,16,36,32,40436,1920,4,7217,16554,1,4,0,1624
adapt_response_class,train1,1,3,0,0,4,53188,53190,53116,24,32780,20384,3176,2800,13120,11751,188016,12,672,3276,4059,3617,1588,2144,13257,132570,8920,2772,1920,1280,0,0,1,12,12,32,30828,1920,4,4456,15924,1,4,1,1990
adapt_response_class,train1,1,3,1,0,4,63685,63687,63544,52,39842,23791,5955,2887,13661,11748,187968,12,672,3276,4056,3617,1588,2144,13257,132570,8920,2772,1920,1280,3796,541,1,16,36,32,37890,1920,4,7235,16552,1,4,1,1990
adapt_response_class,train2,1,1,0,0,4,65376,65378,65288,24,41856,23496,3176,3604,15428,9056,144896,12,960,4096,0,3712,1588,2400,20480,204800,11080,3576,1920,1280,0,0,1,12,12,32,39904,1920,4,4456,19036,1,4,0,2048
adapt_response_class,train2,1,1,1,0,4,71471,71473,71307,52,44598,26821,5973,3622,15938,9056,144896,12,960,4096,0,3712,1588,2400,20480,204800,11080,3576,1920,1280,2953,510,1,16,36,32,42646,1920,4,7253,19564,1,4,0,2048
adapt_response_class,train2,1,2,0,0,4,61690,61692,61618,24,38170,23496,3176,3604,15428,12662,202592,12,672,3560,4430,4018,1588,2400,17800,178000,11080,3576,1920,1280,0,0,1,12,12,32,36218,1920,4,4456,19036,1,4,0,1780
adapt_response_class,train2,1,2,1,0,4,73072,73076,72932,52,46229,26791,5952,3622,15929,12660,202560,12,672,3560,4428,4017,1588,2400,17800,178000,11080,3576,1920,1280,4198,501,1,16,36,32,44277,1920,4,7232,19555,3,4,0,1780
adapt_response_class,train2,1,2,0,0,4,58169,58171,58097,24,34649,23496,3176,3604,15428,13099,209584,12,672,3608,4819,4206,1588,2400,13677,136770,11080,3576,1920,1280,0,0,1,12,12,32,32697,1920,4,4456,19036,1,4,1,2260
adapt_response_class,train2,1,2,1,0,4,69261,69263,69121,52,42404,26805,5965,3622,15930,13088,209408,12,672,3608,4808,4203,1588,2400,13677,136770,11080,3576,1920,1280,4221,502,1,16,36,32,40452,1920,4,7245,19556,1,4,1,2260
adapt_response_class,train2,1,3,0,0,4,61188,61190,61116,24,37668,23496,3176,3604,15428,12667,202672,12,672,3508,4487,4059,1588,2400,17540,175400,11080,3576,1920,1280,0,0,1,12,12,32,35716,1920,4,4456,19036,1,4,0,1754
adapt_response_class,train2,1,3,1,0,4,72659,72661,72518,52,45798,26809,5961,3624,15936,12667,202672,12,672,3508,4487,4060,1588,2400,17540,175400,11080,3576,1920,1280,4148,508,1,16,36,32,43846,1920,4,7241,19564,1,4,0,1754
adapt_response_class,train2,1,3,0,0,4,58080,58082,58008,24,34560,23496,3176,3604,15428,13057,208912,12,672,3552,4833,4223,1588,2400,13574,135740,11080,3576,1920,1280,0,0,1,12,12,32,32608,1920,4,4456,19036,1,4,1,2226
adapt_response_class,train2,1,3,1,0,4,69068,69072,68927,52,42224,26792,5949,3622,15933,13052,208832,12,672,3552,4828,4225,1588,2400,13574,135740,11080,3576,1920,1280,4296,505,1,16,36,32,40272,1920,4,7229,19559,3,4,1,2226
