function,case,real,mode,bp,pass,hblocks,cycles_to_last_gate,cycles_to_done,first_X_request_to_last_gate,dictionary_load_cycles,source_phase_cycles,backend_phase_cycles,backend_boot_cycles,backend_fc_cycles,backend_psn_cycles,words,bytes,dictionary_words,source_config_words,source_X_words,source_graph_words,source_prefetch_words,backend_config_words,backend_coeff_words,source_produced_pairs,source_scalar_mac,backend_vector_mac,backend_vector_updates,bridge_writes,bridge_reads,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,backend_mode,frontier,source_channel_refs
response_class,train0,1,1,0,0,4,61672,61674,61584,24,41856,19792,3176,2880,12448,8928,142848,12,960,4096,0,3712,1588,2272,20480,204800,8240,2852,1920,1280,0,0,1,12,12,32,39904,1920,4,4456,15332,1,4,0,2048
response_class,train0,1,1,1,0,4,67843,67845,67679,52,44598,23193,5969,2922,13014,8928,142848,12,960,4096,0,3712,1588,2272,20480,204800,8240,2852,1920,1280,2851,566,1,16,36,32,42646,1920,4,7249,15940,1,4,0,2048
response_class,train0,1,2,0,0,4,56125,56127,56053,24,36309,19792,3176,2880,12448,11717,187472,12,672,3380,3793,3481,1588,2272,16900,169000,8240,2852,1920,1280,0,0,1,12,12,32,34357,1920,4,4456,15332,1,4,0,1690
response_class,train0,1,2,1,0,4,67029,67031,66889,52,43788,23189,5970,2922,13009,11717,187472,12,672,3380,3793,3481,1588,2272,16900,169000,8240,2852,1920,1280,3624,561,1,16,36,32,41836,1920,4,7250,15935,1,4,0,1690
response_class,train0,1,2,0,0,4,52947,52949,52875,24,33131,19792,3176,2880,12448,11998,191968,12,672,3404,4050,3593,1588,2272,13384,133840,8240,2852,1920,1280,0,0,1,12,12,32,31179,1920,4,4456,15332,1,4,1,2079
response_class,train0,1,2,1,0,4,63564,63566,63424,52,40330,23182,5963,2922,13009,11992,191872,12,672,3404,4044,3591,1588,2272,13384,133840,8240,2852,1920,1280,3836,561,1,16,36,32,38378,1920,4,7243,15935,1,4,1,2079
response_class,train0,1,3,0,0,4,56087,56089,56015,24,36271,19792,3176,2880,12448,11670,186720,12,672,3376,3750,3436,1588,2272,16880,168800,8240,2852,1920,1280,0,0,1,12,12,32,34319,1920,4,4456,15332,1,4,0,1688
response_class,train0,1,3,1,0,4,67128,67130,66990,52,43897,23179,5966,2917,13008,11670,186720,12,672,3376,3750,3436,1588,2272,16880,168800,8240,2852,1920,1280,3666,560,1,16,36,32,41945,1920,4,7246,15929,1,4,0,1688
response_class,train0,1,3,0,0,4,52861,52863,52789,24,33045,19792,3176,2880,12448,11963,191408,12,672,3400,4019,3558,1588,2272,13357,133570,8240,2852,1920,1280,0,0,1,12,12,32,31093,1920,4,4456,15332,1,4,1,2067
response_class,train0,1,3,1,0,4,63663,63665,63525,52,40416,23195,5971,2921,13015,11955,191280,12,672,3400,4011,3556,1588,2272,13357,133570,8240,2852,1920,1280,3856,567,1,16,36,32,38464,1920,4,7251,15940,1,4,1,2067
response_class,train1,1,1,0,0,4,62264,62266,62176,24,41856,20384,3176,2800,13120,8832,141312,12,960,4096,0,3712,1588,2176,20480,204800,8920,2772,1920,1280,0,0,1,12,12,32,39904,1920,4,4456,15924,1,4,0,2048
response_class,train1,1,1,1,0,4,68448,68450,68284,52,44598,23798,5968,2887,13655,8832,141312,12,960,4096,0,3712,1588,2176,20480,204800,8920,2772,1920,1280,2766,535,1,16,36,32,42646,1920,4,7248,16546,1,4,0,2048
response_class,train1,1,2,0,0,4,56312,56314,56240,24,35904,20384,3176,2800,13120,11567,185072,12,672,3338,3781,3453,1588,2176,16690,166900,8920,2772,1920,1280,0,0,1,12,12,32,33952,1920,4,4456,15924,1,4,0,1669
response_class,train1,1,2,1,0,4,67172,67174,67032,52,43317,23803,5946,2890,13679,11563,185008,12,672,3338,3777,3452,1588,2176,16690,166900,8920,2772,1920,1280,3541,559,1,16,36,32,41365,1920,4,7226,16573,1,4,0,1669
response_class,train1,1,2,0,0,4,53313,53315,53241,24,32905,20384,3176,2800,13120,11853,189648,12,672,3366,4039,3569,1588,2176,13408,134080,8920,2772,1920,1280,0,0,1,12,12,32,30953,1920,4,4456,15924,1,4,1,2062
response_class,train1,1,2,1,0,4,63894,63898,63754,52,40079,23763,5925,2890,13660,11843,189488,12,672,3366,4029,3565,1588,2176,13408,134080,8920,2772,1920,1280,3680,540,1,16,36,32,38127,1920,4,7205,16554,3,4,1,2062
response_class,train1,1,3,0,0,4,56226,56228,56154,24,35818,20384,3176,2800,13120,11469,183504,12,672,3330,3691,3360,1588,2176,16650,166500,8920,2772,1920,1280,0,0,1,12,12,32,33866,1920,4,4456,15924,1,4,0,1665
response_class,train1,1,3,1,0,4,67304,67306,67166,52,43452,23800,5955,2890,13667,11469,183504,12,672,3330,3691,3360,1588,2176,16650,166500,8920,2772,1920,1280,3455,547,1,16,36,32,41500,1920,4,7235,16561,1,4,0,1665
response_class,train1,1,3,0,0,4,53211,53213,53139,24,32803,20384,3176,2800,13120,11757,188112,12,672,3358,3951,3484,1588,2176,13389,133890,8920,2772,1920,1280,0,0,1,12,12,32,30851,1920,4,4456,15924,1,4,1,2052
response_class,train1,1,3,1,0,4,63894,63898,63756,52,40067,23775,5933,2893,13661,11750,188000,12,672,3358,3944,3482,1588,2176,13389,133890,8920,2772,1920,1280,3723,541,1,16,36,32,38115,1920,4,7213,16558,3,4,1,2052
response_class,train2,1,1,0,0,4,65376,65378,65288,24,41856,23496,3176,3604,15428,9088,145408,12,960,4096,0,3712,1588,2432,20480,204800,11080,3576,1920,1280,0,0,1,12,12,32,39904,1920,4,4456,19036,1,4,0,2048
response_class,train2,1,1,1,0,4,71493,71495,71329,52,44598,26843,5987,3627,15941,9088,145408,12,960,4096,0,3712,1588,2432,20480,204800,11080,3576,1920,1280,2957,513,1,16,36,32,42646,1920,4,7267,19572,1,4,0,2048
response_class,train2,1,2,0,0,4,61690,61692,61618,24,38170,23496,3176,3604,15428,12694,203104,12,672,3560,4430,4018,1588,2432,17800,178000,11080,3576,1920,1280,0,0,1,12,12,32,36218,1920,4,4456,19036,1,4,0,1780
response_class,train2,1,2,1,0,4,73072,73076,72932,52,46229,26791,5951,3624,15928,12692,203072,12,672,3560,4428,4017,1588,2432,17800,178000,11080,3576,1920,1280,4185,500,1,16,36,32,44277,1920,4,7231,19556,3,4,0,1780
response_class,train2,1,2,0,0,4,58169,58171,58097,24,34649,23496,3176,3604,15428,13131,210096,12,672,3608,4819,4206,1588,2432,13677,136770,11080,3576,1920,1280,0,0,1,12,12,32,32697,1920,4,4456,19036,1,4,1,2260
response_class,train2,1,2,1,0,4,69283,69285,69143,52,42404,26827,5978,3627,15934,13120,209920,12,672,3608,4808,4203,1588,2432,13677,136770,11080,3576,1920,1280,4222,506,1,16,36,32,40452,1920,4,7258,19565,1,4,1,2260
response_class,train2,1,3,0,0,4,61523,61525,61451,24,38003,23496,3176,3604,15428,12608,201728,12,672,3542,4362,3932,1588,2432,17710,177100,11080,3576,1920,1280,0,0,1,12,12,32,36051,1920,4,4456,19036,1,4,0,1771
response_class,train2,1,3,1,0,4,73022,73024,72884,52,46139,26831,5979,3627,15937,12607,201712,12,672,3542,4361,3933,1588,2432,17710,177100,11080,3576,1920,1280,4006,509,1,16,36,32,44187,1920,4,7259,19568,1,4,0,1771
response_class,train2,1,3,0,0,4,57903,57905,57831,24,34383,23496,3176,3604,15428,12977,207632,12,672,3590,4683,4087,1588,2432,13645,136450,11080,3576,1920,1280,0,0,1,12,12,32,32431,1920,4,4456,19036,1,4,1,2240
response_class,train2,1,3,1,0,4,68969,68971,68831,52,42108,26809,5961,3628,15932,12971,207536,12,672,3590,4677,4087,1588,2432,13645,136450,11080,3576,1920,1280,4193,504,1,16,36,32,40156,1920,4,7241,19564,1,4,1,2240
response_class,train3,1,1,0,0,4,65000,65002,64912,24,41856,23120,3176,3204,15452,9056,144896,12,960,4096,0,3712,1588,2400,20480,204800,11080,3176,1920,1280,0,0,1,12,12,32,39904,1920,4,4456,18660,1,4,0,2048
response_class,train3,1,1,1,0,4,71175,71178,71011,52,44598,26525,5963,3298,15976,9056,144896,12,960,4096,0,3712,1588,2400,20480,204800,11080,3176,1920,1280,2895,524,1,16,36,32,42646,1920,4,7243,19278,2,4,0,2048
response_class,train3,1,2,0,0,4,61104,61106,61032,24,37960,23120,3176,3204,15452,12415,198640,12,672,3542,4201,3842,1588,2400,17710,177100,11080,3176,1920,1280,0,0,1,12,12,32,36008,1920,4,4456,18660,1,4,0,1771
response_class,train3,1,2,1,0,4,72518,72520,72378,52,45959,26507,5945,3298,15976,12414,198624,12,672,3542,4200,3842,1588,2400,17710,177100,11080,3176,1920,1280,3925,524,1,16,36,32,44007,1920,4,7225,19278,1,4,0,1771
response_class,train3,1,2,0,0,4,57719,57721,57647,24,34575,23120,3176,3204,15452,12781,204496,12,672,3612,4497,3979,1588,2400,13551,135510,11080,3176,1920,1280,0,0,1,12,12,32,32623,1920,4,4456,18660,1,4,1,2150
response_class,train3,1,2,1,0,4,68865,68867,68725,52,42287,26526,5964,3297,15977,12777,204432,12,672,3612,4493,3979,1588,2400,13551,135510,11080,3176,1920,1280,4147,525,1,16,36,32,40335,1920,4,7244,19278,1,4,1,2150
response_class,train3,1,3,0,0,4,60894,60896,60822,24,37750,23120,3176,3204,15452,12309,196944,12,672,3520,4117,3752,1588,2400,17600,176000,11080,3176,1920,1280,0,0,1,12,12,32,35798,1920,4,4456,18660,1,4,0,1760
response_class,train3,1,3,1,0,4,72374,72376,72236,52,45802,26520,5954,3299,15979,12308,196928,12,672,3520,4116,3752,1588,2400,17600,176000,11080,3176,1920,1280,4009,527,1,16,36,32,43850,1920,4,7234,19282,1,4,0,1760
response_class,train3,1,3,0,0,4,57558,57560,57486,24,34414,23120,3176,3204,15452,12656,202496,12,672,3590,4394,3877,1588,2400,13519,135190,11080,3176,1920,1280,0,0,1,12,12,32,32462,1920,4,4456,18660,1,4,1,2132
response_class,train3,1,3,1,0,4,68767,68769,68629,52,42205,26510,5949,3298,15975,12649,202384,12,672,3590,4387,3874,1588,2400,13519,135190,11080,3176,1920,1280,4084,523,1,16,36,32,40253,1920,4,7229,19277,1,4,1,2132
response_class,train4,1,1,0,0,4,62964,62966,62876,24,41856,21084,3176,3080,13540,9088,145408,12,960,4096,0,3712,1588,2432,20480,204800,9280,3052,1920,1280,0,0,1,12,12,32,39904,1920,4,4456,16624,1,4,0,2048
response_class,train4,1,1,1,0,4,69119,69121,68955,52,44598,24469,5965,3153,14063,9088,145408,12,960,4096,0,3712,1588,2432,20480,204800,9280,3052,1920,1280,2934,523,1,16,36,32,42646,1920,4,7245,17220,1,4,0,2048
response_class,train4,1,2,0,0,4,58481,58483,58409,24,37373,21084,3176,3080,13540,12322,197152,12,672,3484,4134,3786,1588,2432,17420,174200,9280,3052,1920,1280,0,0,1,12,12,32,35421,1920,4,4456,16624,1,4,0,1742
response_class,train4,1,2,1,0,4,69658,69660,69518,52,45146,24460,5960,3153,14059,12322,197152,12,672,3484,4134,3786,1588,2432,17420,174200,9280,3052,1920,1280,4000,519,1,16,36,32,43194,1920,4,7240,17216,1,4,0,1742
response_class,train4,1,2,0,0,4,54889,54891,54817,24,33781,21084,3176,3080,13540,12689,203024,12,672,3528,4457,3938,1588,2432,13521,135210,9280,3052,1920,1280,0,0,1,12,12,32,31829,1920,4,4456,16624,1,4,1,2173
response_class,train4,1,2,1,0,4,65731,65733,65591,52,41237,24442,5937,3155,14062,12681,202896,12,672,3528,4449,3937,1588,2432,13521,135210,9280,3052,1920,1280,4143,522,1,16,36,32,39285,1920,4,7217,17221,1,4,1,2173
response_class,train4,1,3,0,0,4,58287,58289,58215,24,37179,21084,3176,3080,13540,12262,196192,12,672,3464,4094,3734,1588,2432,17320,173200,9280,3052,1920,1280,0,0,1,12,12,32,35227,1920,4,4456,16624,1,4,0,1732
response_class,train4,1,3,1,0,4,69691,69693,69553,52,45187,24452,5947,3155,14062,12262,196192,12,672,3464,4094,3734,1588,2432,17320,173200,9280,3052,1920,1280,3973,522,1,16,36,32,43235,1920,4,7227,17221,1,4,0,1732
response_class,train4,1,3,0,0,4,54761,54763,54689,24,33653,21084,3176,3080,13540,12592,201472,12,672,3508,4380,3864,1588,2432,13486,134860,9280,3052,1920,1280,0,0,1,12,12,32,31701,1920,4,4456,16624,1,4,1,2151
response_class,train4,1,3,1,0,4,65654,65656,65516,52,41142,24460,5956,3153,14063,12586,201376,12,672,3508,4374,3864,1588,2432,13486,134860,9280,3052,1920,1280,4196,523,1,16,36,32,39190,1920,4,7236,17220,1,4,1,2151
response_class,train5,1,1,0,0,4,65624,65626,65536,24,41856,23744,3176,3980,15300,9120,145920,12,960,4096,0,3712,1588,2464,20480,204800,11000,3952,1920,1280,0,0,1,12,12,32,39904,1920,4,4456,19284,1,4,0,2048
response_class,train5,1,1,1,0,4,71698,71700,71534,52,44598,27048,5952,4046,15762,9120,145920,12,960,4096,0,3712,1588,2464,20480,204800,11000,3952,1920,1280,2954,462,1,16,36,32,42646,1920,4,7232,19812,1,4,0,2048
response_class,train5,1,2,0,0,4,63190,63192,63118,24,39422,23744,3176,3980,15300,13113,209808,12,672,3686,4691,4277,1588,2464,18430,184300,11000,3952,1920,1280,0,0,1,12,12,32,37470,1920,4,4456,19284,1,4,0,1843
response_class,train5,1,2,1,0,4,74817,74819,74677,52,47698,27067,5970,4051,15758,13112,209792,12,672,3686,4690,4277,1588,2464,18430,184300,11000,3952,1920,1280,4157,458,1,16,36,32,45746,1920,4,7250,19813,1,4,0,1843
response_class,train5,1,2,0,0,4,58933,58935,58861,24,35165,23744,3176,3980,15300,13531,216496,12,672,3710,5085,4466,1588,2464,13727,137270,11000,3952,1920,1280,0,0,1,12,12,32,33213,1920,4,4456,19284,1,4,1,2358
response_class,train5,1,2,1,0,4,70140,70142,70000,52,43020,27068,5968,4051,15761,13521,216336,12,672,3710,5075,4464,1588,2464,13727,137270,11000,3952,1920,1280,4391,461,1,16,36,32,41068,1920,4,7248,19816,1,4,1,2358
response_class,train5,1,3,0,0,4,63184,63186,63112,24,39416,23744,3176,3980,15300,13032,208512,12,672,3684,4612,4186,1588,2464,18420,184200,11000,3952,1920,1280,0,0,1,12,12,32,37464,1920,4,4456,19284,1,4,0,1842
response_class,train5,1,3,1,0,4,74849,74851,74711,52,47759,27038,5938,4046,15766,13028,208448,12,672,3684,4608,4186,1588,2464,18420,184200,11000,3952,1920,1280,4233,466,1,16,36,32,45807,1920,4,7218,19816,1,4,0,1842
response_class,train5,1,3,0,0,4,58860,58862,58788,24,35092,23744,3176,3980,15300,13411,214576,12,672,3708,4967,4362,1588,2464,13710,137100,11000,3952,1920,1280,0,0,1,12,12,32,33140,1920,4,4456,19284,1,4,1,2354
response_class,train5,1,3,1,0,4,70026,70028,69888,52,42917,27057,5955,4051,15763,13405,214480,12,672,3708,4961,4361,1588,2464,13710,137100,11000,3952,1920,1280,4353,463,1,16,36,32,40965,1920,4,7235,19818,1,4,1,2354
response_class,train6,1,1,0,0,4,65088,65090,65000,24,41856,23208,3176,3712,15032,9216,147456,12,960,4096,0,3712,1588,2560,20480,204800,10640,3684,1920,1280,0,0,1,12,12,32,39904,1920,4,4456,18748,1,4,0,2048
