function,case,real,mode,bp,pass,hblocks,cycles_to_last_gate,cycles_to_done,first_X_request_to_last_gate,dictionary_load_cycles,source_phase_cycles,backend_phase_cycles,backend_boot_cycles,backend_fc_cycles,backend_psn_cycles,words,bytes,dictionary_words,source_config_words,source_X_words,source_graph_words,source_prefetch_words,backend_config_words,backend_coeff_words,source_produced_pairs,source_scalar_mac,backend_vector_mac,backend_vector_updates,bridge_writes,bridge_reads,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,backend_mode,frontier,source_channel_refs
adapt_response_class,train0,1,1,0,0,4,59812,59814,59724,24,39996,19792,3176,2880,12448,7998,127968,12,30,4096,0,3712,1588,2272,20480,204800,8240,2852,1920,1280,0,0,1,12,12,32,38044,1920,4,4456,15332,1,4,0,2048
adapt_response_class,train0,1,1,1,0,4,63927,63929,63763,52,40716,23159,5941,2920,13010,7998,127968,12,30,4096,0,3712,1588,2272,20480,204800,8240,2852,1920,1280,2984,562,1,16,36,32,38764,1920,4,7221,15934,1,4,0,2048
adapt_response_class,train0,1,2,0,0,4,54823,54825,54751,24,35007,19792,3176,2880,12448,11066,177056,12,21,3380,3793,3481,1588,2272,16900,169000,8240,2852,1920,1280,0,0,1,12,12,32,33055,1920,4,4456,15332,1,4,0,1690
adapt_response_class,train0,1,2,1,0,4,64609,64613,64469,52,41392,23165,5952,2920,13005,11065,177040,12,21,3380,3792,3481,1588,2272,16900,169000,8240,2852,1920,1280,3669,557,1,16,36,32,39440,1920,4,7232,15929,3,4,0,1690
adapt_response_class,train0,1,2,0,0,4,51645,51647,51573,24,31829,19792,3176,2880,12448,11347,181552,12,21,3404,4050,3593,1588,2272,13384,133840,8240,2852,1920,1280,0,0,1,12,12,32,29877,1920,4,4456,15332,1,4,1,2079
adapt_response_class,train0,1,2,1,0,4,61144,61146,61004,52,37910,23182,5958,2922,13014,11344,181504,12,21,3404,4047,3591,1588,2272,13384,133840,8240,2852,1920,1280,3688,566,1,16,36,32,35958,1920,4,7238,15940,1,4,1,2079
adapt_response_class,train0,1,3,0,0,4,53892,53894,53820,24,34076,19792,3176,2880,12448,11073,177168,12,21,3284,3896,3587,1588,2272,16420,164200,8240,2852,1920,1280,0,0,1,12,12,32,32124,1920,4,4456,15332,1,4,0,1642
adapt_response_class,train0,1,3,1,0,4,63476,63478,63335,52,40234,23190,5974,2920,13008,11073,177168,12,21,3284,3896,3587,1588,2272,16420,164200,8240,2852,1920,1280,3434,560,1,16,36,32,38282,1920,4,7254,15932,1,4,0,1642
adapt_response_class,train0,1,3,0,0,4,51448,51450,51376,24,31632,19792,3176,2880,12448,11336,181376,12,21,3308,4135,3682,1588,2272,13227,132270,8240,2852,1920,1280,0,0,1,12,12,32,29680,1920,4,4456,15332,1,4,1,2014
adapt_response_class,train0,1,3,1,0,4,60869,60871,60728,52,37645,23172,5957,2922,13005,11334,181344,12,21,3308,4133,3683,1588,2272,13227,132270,8240,2852,1920,1280,3773,557,1,16,36,32,35693,1920,4,7237,15931,1,4,1,2014
adapt_response_class,train1,1,1,0,0,4,60404,60406,60316,24,39996,20384,3176,2800,13120,7870,125920,12,30,4096,0,3712,1588,2144,20480,204800,8920,2772,1920,1280,0,0,1,12,12,32,38044,1920,4,4456,15924,1,4,0,2048
adapt_response_class,train1,1,1,1,0,4,64576,64578,64412,52,40716,23808,5960,2886,13674,7870,125920,12,30,4096,0,3712,1588,2144,20480,204800,8920,2772,1920,1280,2814,554,1,16,36,32,38764,1920,4,7240,16564,1,4,0,2048
adapt_response_class,train1,1,2,0,0,4,55010,55012,54938,24,34602,20384,3176,2800,13120,10884,174144,12,21,3338,3781,3453,1588,2144,16690,166900,8920,2772,1920,1280,0,0,1,12,12,32,32650,1920,4,4456,15924,1,4,0,1669
adapt_response_class,train1,1,2,1,0,4,64686,64688,64546,52,40842,23792,5946,2888,13670,10881,174096,12,21,3338,3778,3453,1588,2144,16690,166900,8920,2772,1920,1280,3428,550,1,16,36,32,38890,1920,4,7226,16562,1,4,0,1669
adapt_response_class,train1,1,2,0,0,4,52011,52013,51939,24,31603,20384,3176,2800,13120,11170,178720,12,21,3366,4039,3569,1588,2144,13408,134080,8920,2772,1920,1280,0,0,1,12,12,32,29651,1920,4,4456,15924,1,4,1,2062
adapt_response_class,train1,1,2,1,0,4,61562,61564,61422,52,37705,23805,5953,2886,13678,11158,178528,12,21,3366,4027,3566,1588,2144,13408,134080,8920,2772,1920,1280,3448,558,1,16,36,32,35753,1920,4,7233,16568,1,4,1,2062
adapt_response_class,train1,1,3,0,0,4,54130,54132,54058,24,33722,20384,3176,2800,13120,10852,173632,12,21,3248,3839,3529,1588,2144,16240,162400,8920,2772,1920,1280,0,0,1,12,12,32,31770,1920,4,4456,15924,1,4,0,1624
adapt_response_class,train1,1,3,1,0,4,63828,63830,63687,52,40003,23773,5943,2888,13654,10852,173632,12,21,3248,3839,3530,1588,2144,16240,162400,8920,2772,1920,1280,3395,534,1,16,36,32,38051,1920,4,7223,16546,1,4,0,1624
adapt_response_class,train1,1,3,0,0,4,51886,51888,51814,24,31478,20384,3176,2800,13120,11100,177600,12,21,3276,4059,3617,1588,2144,13257,132570,8920,2772,1920,1280,0,0,1,12,12,32,29526,1920,4,4456,15924,1,4,1,1990
adapt_response_class,train1,1,3,1,0,4,61342,61344,61201,52,37502,23788,5942,2887,13671,11096,177536,12,21,3276,4055,3617,1588,2144,13257,132570,8920,2772,1920,1280,3539,551,1,16,36,32,35550,1920,4,7222,16562,1,4,1,1990
adapt_response_class,train2,1,1,0,0,4,63516,63518,63428,24,39996,23496,3176,3604,15428,8126,130016,12,30,4096,0,3712,1588,2400,20480,204800,11080,3576,1920,1280,0,0,1,12,12,32,38044,1920,4,4456,19036,1,4,0,2048
adapt_response_class,train2,1,1,1,0,4,67577,67579,67413,52,40716,26809,5959,3624,15938,8126,130016,12,30,4096,0,3712,1588,2400,20480,204800,11080,3576,1920,1280,3025,510,1,16,36,32,38764,1920,4,7239,19566,1,4,0,2048
adapt_response_class,train2,1,2,0,0,4,60388,60390,60316,24,36868,23496,3176,3604,15428,12011,192176,12,21,3560,4430,4018,1588,2400,17800,178000,11080,3576,1920,1280,0,0,1,12,12,32,34916,1920,4,4456,19036,1,4,0,1780
adapt_response_class,train2,1,2,1,0,4,70646,70648,70506,52,43788,26806,5960,3622,15936,12007,192112,12,21,3560,4426,4018,1588,2400,17800,178000,11080,3576,1920,1280,3903,508,1,16,36,32,41836,1920,4,7240,19562,1,4,0,1780
adapt_response_class,train2,1,2,0,0,4,56867,56869,56795,24,33347,23496,3176,3604,15428,12448,199168,12,21,3608,4819,4206,1588,2400,13677,136770,11080,3576,1920,1280,0,0,1,12,12,32,31395,1920,4,4456,19036,1,4,1,2260
adapt_response_class,train2,1,2,1,0,4,66786,66788,66646,52,39929,26805,5965,3622,15930,12438,199008,12,21,3608,4809,4206,1588,2400,13677,136770,11080,3576,1920,1280,3981,502,1,16,36,32,37977,1920,4,7245,19556,1,4,1,2260
adapt_response_class,train2,1,3,0,0,4,59886,59888,59814,24,36366,23496,3176,3604,15428,12016,192256,12,21,3508,4487,4059,1588,2400,17540,175400,11080,3576,1920,1280,0,0,1,12,12,32,34414,1920,4,4456,19036,1,4,0,1754
adapt_response_class,train2,1,3,1,0,4,70052,70054,69911,52,43188,26812,5962,3624,15938,12016,192256,12,21,3508,4487,4062,1588,2400,17540,175400,11080,3576,1920,1280,3908,510,1,16,36,32,41236,1920,4,7242,19566,1,4,0,1754
adapt_response_class,train2,1,3,0,0,4,56778,56780,56706,24,33258,23496,3176,3604,15428,12406,198496,12,21,3552,4833,4223,1588,2400,13574,135740,11080,3576,1920,1280,0,0,1,12,12,32,31306,1920,4,4456,19036,1,4,1,2226
adapt_response_class,train2,1,3,1,0,4,66593,66595,66452,52,39749,26792,5949,3622,15933,12400,198400,12,21,3552,4827,4224,1588,2400,13574,135740,11080,3576,1920,1280,4110,505,1,16,36,32,37797,1920,4,7229,19559,1,4,1,2226
adapt_response_class,train3,1,1,0,0,4,63140,63142,63052,24,39996,23120,3176,3204,15452,8126,130016,12,30,4096,0,3712,1588,2400,20480,204800,11080,3176,1920,1280,0,0,1,12,12,32,38044,1920,4,4456,18660,1,4,0,2048
adapt_response_class,train3,1,1,1,0,4,67281,67283,67117,52,40716,26513,5965,3285,15975,8126,130016,12,30,4096,0,3712,1588,2400,20480,204800,11080,3176,1920,1280,2999,523,1,16,36,32,38764,1920,4,7245,19264,1,4,0,2048
adapt_response_class,train3,1,2,0,0,4,59802,59804,59730,24,36658,23120,3176,3204,15452,11764,188224,12,21,3542,4201,3842,1588,2400,17710,177100,11080,3176,1920,1280,0,0,1,12,12,32,34706,1920,4,4456,18660,1,4,0,1771
adapt_response_class,train3,1,2,1,0,4,70075,70077,69935,52,43529,26494,5954,3279,15973,11763,188208,12,21,3542,4200,3842,1588,2400,17710,177100,11080,3176,1920,1280,3769,521,1,16,36,32,41577,1920,4,7234,19256,1,4,0,1771
adapt_response_class,train3,1,2,0,0,4,56417,56419,56345,24,33273,23120,3176,3204,15452,12130,194080,12,21,3612,4497,3979,1588,2400,13551,135510,11080,3176,1920,1280,0,0,1,12,12,32,31321,1920,4,4456,18660,1,4,1,2150
adapt_response_class,train3,1,2,1,0,4,66347,66349,66207,52,39812,26483,5941,3281,15973,12125,194000,12,21,3612,4492,3977,1588,2400,13551,135510,11080,3176,1920,1280,3991,521,1,16,36,32,37860,1920,4,7221,19258,1,4,1,2150
adapt_response_class,train3,1,3,0,0,4,59356,59358,59284,24,36212,23120,3176,3204,15452,11805,188880,12,21,3496,4288,3929,1588,2400,17480,174800,11080,3176,1920,1280,0,0,1,12,12,32,34260,1920,4,4456,18660,1,4,0,1748
