function,case,real,mode,bp,pass,hblocks,cycles_to_last_gate,cycles_to_done,first_X_request_to_last_gate,dictionary_load_cycles,source_phase_cycles,backend_phase_cycles,backend_boot_cycles,backend_fc_cycles,backend_psn_cycles,words,bytes,dictionary_words,source_config_words,source_X_words,source_graph_words,source_prefetch_words,backend_config_words,backend_coeff_words,source_produced_pairs,source_scalar_mac,backend_vector_mac,backend_vector_updates,bridge_writes,bridge_reads,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,backend_mode,frontier,source_channel_refs
response_class,train0,1,1,0,0,4,59812,59814,59724,24,39996,19792,3176,2880,12448,7998,127968,12,30,4096,0,3712,1588,2272,20480,204800,8240,2852,1920,1280,0,0,1,12,12,32,38044,1920,4,4456,15332,1,4,0,2048
response_class,train0,1,1,1,0,4,63927,63929,63763,52,40716,23159,5941,2917,13013,7998,127968,12,30,4096,0,3712,1588,2272,20480,204800,8240,2852,1920,1280,2919,565,1,16,36,32,38764,1920,4,7221,15934,1,4,0,2048
response_class,train0,1,2,0,0,4,54823,54825,54751,24,35007,19792,3176,2880,12448,11066,177056,12,21,3380,3793,3481,1588,2272,16900,169000,8240,2852,1920,1280,0,0,1,12,12,32,33055,1920,4,4456,15332,1,4,0,1690
response_class,train0,1,2,1,0,4,64609,64613,64469,52,41392,23165,5952,2917,13008,11065,177040,12,21,3380,3792,3481,1588,2272,16900,169000,8240,2852,1920,1280,3604,560,1,16,36,32,39440,1920,4,7232,15929,3,4,0,1690
response_class,train0,1,2,0,0,4,51645,51647,51573,24,31829,19792,3176,2880,12448,11347,181552,12,21,3404,4050,3593,1588,2272,13384,133840,8240,2852,1920,1280,0,0,1,12,12,32,29877,1920,4,4456,15332,1,4,1,2079
response_class,train0,1,2,1,0,4,61144,61146,61004,52,37910,23182,5958,2919,13017,11344,181504,12,21,3404,4047,3591,1588,2272,13384,133840,8240,2852,1920,1280,3642,569,1,16,36,32,35958,1920,4,7238,15940,1,4,1,2079
response_class,train0,1,3,0,0,4,54785,54787,54713,24,34969,19792,3176,2880,12448,11019,176304,12,21,3376,3750,3436,1588,2272,16880,168800,8240,2852,1920,1280,0,0,1,12,12,32,33017,1920,4,4456,15332,1,4,0,1688
response_class,train0,1,3,1,0,4,64653,64655,64515,52,41408,23193,5969,2921,13015,11019,176304,12,21,3376,3750,3436,1588,2272,16880,168800,8240,2852,1920,1280,3502,567,1,16,36,32,39456,1920,4,7249,15940,1,4,0,1688
response_class,train0,1,3,0,0,4,51559,51561,51487,24,31743,19792,3176,2880,12448,11312,180992,12,21,3400,4019,3558,1588,2272,13357,133570,8240,2852,1920,1280,0,0,1,12,12,32,29791,1920,4,4456,15332,1,4,1,2067
response_class,train0,1,3,1,0,4,61001,61003,60863,52,37761,23188,5961,2922,13017,11304,180864,12,21,3400,4011,3555,1588,2272,13357,133570,8240,2852,1920,1280,3644,569,1,16,36,32,35809,1920,4,7241,15943,1,4,1,2067
