function,case,real,mode,bp,pass,hblocks,cycles_to_last_gate,cycles_to_done,first_X_request_to_last_gate,dictionary_load_cycles,source_phase_cycles,backend_phase_cycles,backend_boot_cycles,backend_fc_cycles,backend_psn_cycles,words,bytes,dictionary_words,source_config_words,source_X_words,source_graph_words,source_prefetch_words,backend_config_words,backend_coeff_words,source_produced_pairs,source_scalar_mac,backend_vector_mac,backend_vector_updates,bridge_writes,bridge_reads,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,backend_mode,frontier,source_channel_refs
adapt_response_class,train0,1,1,0,0,4,61672,61674,61584,24,41856,19792,3176,2880,12448,8928,142848,12,960,4096,0,3712,1588,2272,20480,204800,8240,2852,1920,1280,0,0,1,12,12,32,39904,1920,4,4456,15332,1,4,0,2048
adapt_response_class,train0,1,1,1,0,4,67843,67845,67679,52,44598,23193,5969,2920,13016,8928,142848,12,960,4096,0,3712,1588,2272,20480,204800,8240,2852,1920,1280,2877,568,1,16,36,32,42646,1920,4,7249,15940,1,4,0,2048
adapt_response_class,train0,1,2,0,0,4,56125,56127,56053,24,36309,19792,3176,2880,12448,11717,187472,12,672,3380,3793,3481,1588,2272,16900,169000,8240,2852,1920,1280,0,0,1,12,12,32,34357,1920,4,4456,15332,1,4,0,1690
adapt_response_class,train0,1,2,1,0,4,67029,67031,66889,52,43788,23189,5970,2920,13011,11717,187472,12,672,3380,3793,3481,1588,2272,16900,169000,8240,2852,1920,1280,3650,563,1,16,36,32,41836,1920,4,7250,15935,1,4,0,1690
adapt_response_class,train0,1,2,0,0,4,53079,53081,53007,24,33263,19792,3176,2880,12448,11611,185776,12,672,3404,3663,2936,1588,2272,13384,133840,8240,2852,1920,1280,0,0,1,12,12,32,31311,1920,4,4456,15332,1,4,1,2079
adapt_response_class,train0,1,2,1,0,4,64114,64116,63974,52,40890,23172,5959,2920,13005,11611,185776,12,672,3404,3663,2936,1588,2272,13384,133840,8240,2852,1920,1280,3673,557,1,16,36,32,38938,1920,4,7239,15929,1,4,1,2079
adapt_response_class,train0,1,3,0,0,4,55194,55196,55122,24,35378,19792,3176,2880,12448,11724,187584,12,672,3284,3896,3587,1588,2272,16420,164200,8240,2852,1920,1280,0,0,1,12,12,32,33426,1920,4,4456,15332,1,4,0,1642
adapt_response_class,train0,1,3,1,0,4,66061,66063,65920,52,42844,23165,5949,2919,13009,11724,187584,12,672,3284,3896,3587,1588,2272,16420,164200,8240,2852,1920,1280,3807,561,1,16,36,32,40892,1920,4,7229,15932,1,4,0,1642
adapt_response_class,train0,1,3,0,0,4,52848,52850,52776,24,33032,19792,3176,2880,12448,11597,185552,12,672,3308,3745,3054,1588,2272,13227,132270,8240,2852,1920,1280,0,0,1,12,12,32,31080,1920,4,4456,15332,1,4,1,2014
adapt_response_class,train0,1,3,1,0,4,63861,63863,63720,52,40620,23189,5971,2918,13012,11597,185552,12,672,3308,3745,3055,1588,2272,13227,132270,8240,2852,1920,1280,3925,564,1,16,36,32,38668,1920,4,7251,15934,1,4,1,2014
adapt_response_class,train1,1,1,0,0,4,62264,62266,62176,24,41856,20384,3176,2800,13120,8800,140800,12,960,4096,0,3712,1588,2144,20480,204800,8920,2772,1920,1280,0,0,1,12,12,32,39904,1920,4,4456,15924,1,4,0,2048
adapt_response_class,train1,1,1,1,0,4,68448,68450,68284,52,44598,23798,5968,2887,13655,8800,140800,12,960,4096,0,3712,1588,2144,20480,204800,8920,2772,1920,1280,2750,535,1,16,36,32,42646,1920,4,7248,16546,1,4,0,2048
adapt_response_class,train1,1,2,0,0,4,56312,56314,56240,24,35904,20384,3176,2800,13120,11535,184560,12,672,3338,3781,3453,1588,2144,16690,166900,8920,2772,1920,1280,0,0,1,12,12,32,33952,1920,4,4456,15924,1,4,0,1669
adapt_response_class,train1,1,2,1,0,4,67161,67163,67021,52,43317,23792,5946,2888,13670,11531,184496,12,672,3338,3777,3452,1588,2144,16690,166900,8920,2772,1920,1280,3576,550,1,16,36,32,41365,1920,4,7226,16562,1,4,0,1669
adapt_response_class,train1,1,2,0,0,4,53433,53435,53361,24,33025,20384,3176,2800,13120,11473,183568,12,672,3366,3691,3001,1588,2144,13408,134080,8920,2772,1920,1280,0,0,1,12,12,32,31073,1920,4,4456,15924,1,4,1,2062
adapt_response_class,train1,1,2,1,0,4,64532,64535,64392,52,40680,23800,5948,2886,13678,11471,183536,12,672,3366,3689,3000,1588,2144,13408,134080,8920,2772,1920,1280,3651,558,1,16,36,32,38728,1920,4,7228,16568,2,4,1,2062
adapt_response_class,train1,1,3,0,0,4,55432,55434,55360,24,35024,20384,3176,2800,13120,11503,184048,12,672,3248,3839,3529,1588,2144,16240,162400,8920,2772,1920,1280,0,0,1,12,12,32,33072,1920,4,4456,15924,1,4,0,1624
adapt_response_class,train1,1,3,1,0,4,66215,66217,66074,52,42388,23775,5937,2888,13662,11502,184032,12,672,3248,3838,3529,1588,2144,16240,162400,8920,2772,1920,1280,3488,542,1,16,36,32,40436,1920,4,7217,16554,1,4,0,1624
adapt_response_class,train1,1,3,0,0,4,53283,53285,53211,24,32875,20384,3176,2800,13120,11453,183248,12,672,3276,3761,3113,1588,2144,13257,132570,8920,2772,1920,1280,0,0,1,12,12,32,30923,1920,4,4456,15924,1,4,1,1990
adapt_response_class,train1,1,3,1,0,4,64235,64237,64094,52,40406,23777,5939,2888,13662,11452,183232,12,672,3276,3760,3114,1588,2144,13257,132570,8920,2772,1920,1280,3617,542,1,16,36,32,38454,1920,4,7219,16554,1,4,1,1990
adapt_response_class,diagnostic_zero,0,1,0,0,4,50316,50318,50228,24,41856,8436,3176,4,3968,6656,106496,12,960,4096,0,3712,1588,0,20480,204800,0,0,1920,1280,0,0,1,12,12,32,39904,1920,4,4456,3976,1,4,0,2048
adapt_response_class,diagnostic_zero,0,1,1,0,4,56315,56319,56151,52,44598,11665,5973,4,4400,6656,106496,12,960,4096,0,3712,1588,0,20480,204800,0,0,1920,1280,2107,432,1,16,36,32,42646,1920,4,7253,4408,3,4,0,2048
adapt_response_class,diagnostic_zero,0,2,0,0,4,35916,35918,35844,24,27456,8436,3176,4,3968,6784,108544,12,672,2496,2016,1824,1588,0,12480,124800,0,0,1920,1280,0,0,1,12,12,32,25504,1920,4,4456,3976,1,4,0,1248
adapt_response_class,diagnostic_zero,0,2,1,0,4,44840,44842,44700,52,33131,11657,5961,4,4404,6784,108544,12,672,2496,2016,1824,1588,0,12480,124800,0,0,1920,1280,2532,436,1,16,36,32,31179,1920,4,7241,4412,1,4,0,1248
adapt_response_class,diagnostic_zero,0,2,0,0,4,35916,35918,35844,24,27456,8436,3176,4,3968,6784,108544,12,672,2496,2016,1824,1588,0,12480,124800,0,0,1920,1280,0,0,1,12,12,32,25504,1920,4,4456,3976,1,4,1,1248
adapt_response_class,diagnostic_zero,0,2,1,0,4,44840,44842,44700,52,33131,11657,5961,4,4404,6784,108544,12,672,2496,2016,1824,1588,0,12480,124800,0,0,1920,1280,2532,436,1,16,36,32,31179,1920,4,7241,4412,1,4,1,1248
adapt_response_class,diagnostic_zero,0,3,0,0,4,35916,35918,35844,24,27456,8436,3176,4,3968,6784,108544,12,672,2496,2016,1824,1588,0,12480,124800,0,0,1920,1280,0,0,1,12,12,32,25504,1920,4,4456,3976,1,4,0,1248
adapt_response_class,diagnostic_zero,0,3,1,0,4,44840,44842,44699,52,33134,11654,5958,4,4404,6784,108544,12,672,2496,2016,1824,1588,0,12480,124800,0,0,1920,1280,2507,436,1,16,36,32,31182,1920,4,7238,4412,1,4,0,1248
adapt_response_class,diagnostic_zero,0,3,0,0,4,35916,35918,35844,24,27456,8436,3176,4,3968,6784,108544,12,672,2496,2016,1824,1588,0,12480,124800,0,0,1920,1280,0,0,1,12,12,32,25504,1920,4,4456,3976,1,4,1,1248
adapt_response_class,diagnostic_zero,0,3,1,0,4,44840,44842,44699,52,33134,11654,5958,4,4404,6784,108544,12,672,2496,2016,1824,1588,0,12480,124800,0,0,1920,1280,2507,436,1,16,36,32,31182,1920,4,7238,4412,1,4,1,1248
