case,real,order,mode,bp,packed32,prefetch,frontier,cycles,channels,batches,pairs,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p0,1,1,1,0,1,1,0,1297,64,64,640,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p0,1,1,1,1,1,1,0,1379,64,64,640,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p0,1,1,2,0,1,1,0,1047,49,49,490,4900,224,98,105,96,335,0,0,1,21,21,6,110,0,147,49,490,147,49,0,6,1
train0_p0,1,1,2,0,1,1,1,959,55,44,398,3980,230,110,99,80,304,0,0,1,21,21,6,110,0,134,44,440,132,44,0,6,1
train0_p0,1,1,2,1,1,1,0,1291,49,49,490,4900,224,98,105,96,335,68,5,1,30,57,6,130,0,321,49,490,147,49,0,11,1
train0_p0,1,1,2,1,1,1,1,1203,55,44,398,3980,230,110,99,80,304,76,2,1,30,57,6,153,0,288,44,440,132,44,0,8,1
train0_p0,1,1,3,0,1,1,0,1047,49,49,490,4900,219,98,100,91,334,0,0,1,21,21,6,110,0,147,49,490,147,49,0,6,1
train0_p0,1,1,3,0,1,1,1,959,55,44,398,3980,226,110,95,76,303,0,0,1,21,21,6,110,0,134,44,440,132,44,0,6,1
train0_p0,1,1,3,1,1,1,0,1276,49,49,490,4900,219,98,100,91,334,77,0,1,27,54,6,130,0,317,49,490,147,49,0,6,1
train0_p0,1,1,3,1,1,1,1,1203,55,44,398,3980,226,110,95,76,303,86,2,1,27,54,6,147,0,300,44,440,132,44,0,8,1
train0_p1,1,1,1,0,1,1,0,1297,64,64,640,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p1,1,1,1,1,1,1,0,1379,64,64,640,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p1,1,1,2,0,1,1,0,1046,49,49,490,4900,216,98,97,90,341,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p1,1,1,2,0,1,1,1,1000,58,46,403,4030,230,116,93,74,309,0,0,1,21,21,6,113,0,142,46,460,138,46,0,6,1
train0_p1,1,1,2,1,1,1,0,1271,49,49,490,4900,216,98,97,90,341,75,4,1,30,57,6,124,0,308,49,490,147,49,0,10,1
train0_p1,1,1,2,1,1,1,1,1276,58,46,403,4030,230,116,93,74,309,98,1,1,30,57,6,160,0,325,46,460,138,46,0,7,1
train0_p1,1,1,3,0,1,1,0,1045,49,49,490,4900,213,98,94,88,343,0,0,1,21,21,6,108,0,147,49,490,147,49,0,6,1
train0_p1,1,1,3,0,1,1,1,999,58,46,403,4030,227,116,90,73,311,0,0,1,21,21,6,112,0,142,46,460,138,46,0,6,1
train0_p1,1,1,3,1,1,1,0,1269,49,49,490,4900,213,98,94,88,343,75,5,1,27,54,6,122,0,313,49,490,147,49,0,11,1
train0_p1,1,1,3,1,1,1,1,1243,58,46,403,4030,227,116,90,73,311,66,3,1,27,54,6,139,0,317,46,460,138,46,0,9,1
train0_p2,1,1,1,0,1,1,0,1297,64,64,640,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p2,1,1,1,1,1,1,0,1379,64,64,640,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p2,1,1,2,0,1,1,0,1025,48,48,480,4800,212,96,95,88,338,0,0,1,21,21,6,106,0,144,48,480,144,48,0,6,1
train0_p2,1,1,2,0,1,1,1,980,56,45,399,3990,226,112,93,79,320,0,0,1,21,21,6,109,0,141,45,450,135,45,0,6,1
train0_p2,1,1,2,1,1,1,0,1247,48,48,480,4800,212,96,95,88,338,59,6,1,30,57,6,121,0,300,48,480,144,48,0,12,1
train0_p2,1,1,2,1,1,1,1,1243,56,45,399,3990,226,112,93,79,320,80,4,1,30,57,6,148,0,316,45,450,135,45,0,10,1
train0_p2,1,1,3,0,1,1,0,1024,48,48,480,4800,211,96,94,88,339,0,0,1,21,21,6,105,0,144,48,480,144,48,0,6,1
train0_p2,1,1,3,0,1,1,1,979,56,45,399,3990,224,112,91,78,321,0,0,1,21,21,6,108,0,141,45,450,135,45,0,6,1
train0_p2,1,1,3,1,1,1,0,1239,48,48,480,4800,211,96,94,88,339,65,2,1,27,54,6,113,0,310,48,480,144,48,0,8,1
train0_p2,1,1,3,1,1,1,1,1214,56,45,399,3990,224,112,91,78,321,86,3,1,27,54,6,130,0,312,45,450,135,45,0,9,1
train0_p3,1,1,1,0,1,1,0,1297,64,64,640,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
