function,case,real,mode,bp,pass,hblocks,cycles_to_last_gate,cycles_to_done,first_X_request_to_last_gate,dictionary_load_cycles,source_phase_cycles,backend_phase_cycles,backend_boot_cycles,backend_fc_cycles,backend_psn_cycles,words,bytes,dictionary_words,source_config_words,source_X_words,source_graph_words,source_prefetch_words,backend_config_words,backend_coeff_words,source_channels,source_scalar_mac,backend_vector_mac,backend_vector_updates,bridge_writes,bridge_reads,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,backend_mode
adapt_response_class,train0,1,2,0,0,4,56125,56127,56053,24,36309,19792,3176,2880,12448,11717,187472,12,672,3380,3793,3481,1588,2272,1690,169000,8240,2852,1920,1280,0,0,1,12,12,32,34357,1920,4,4456,15332,1,4
adapt_response_class,train0,1,2,1,0,4,67029,67031,66889,52,43788,23189,5970,2920,13011,11717,187472,12,672,3380,3793,3481,1588,2272,1690,169000,8240,2852,1920,1280,3650,563,1,16,36,32,41836,1920,4,7250,15935,1,4
adapt_response_class,train0,1,3,0,0,4,55194,55196,55122,24,35378,19792,3176,2880,12448,11724,187584,12,672,3284,3896,3587,1588,2272,1642,164200,8240,2852,1920,1280,0,0,1,12,12,32,33426,1920,4,4456,15332,1,4
adapt_response_class,train0,1,3,1,0,4,66061,66063,65927,52,42844,23165,5949,2919,13009,11724,187584,12,672,3284,3896,3587,1588,2272,1642,164200,8240,2852,1920,1280,3803,561,1,16,36,32,40892,1920,4,7229,15932,1,4
adapt_response_class,train1,1,2,0,0,4,56312,56314,56240,24,35904,20384,3176,2800,13120,11535,184560,12,672,3338,3781,3453,1588,2144,1669,166900,8920,2772,1920,1280,0,0,1,12,12,32,33952,1920,4,4456,15924,1,4
adapt_response_class,train1,1,2,1,0,4,67161,67163,67021,52,43317,23792,5946,2888,13670,11531,184496,12,672,3338,3777,3452,1588,2144,1669,166900,8920,2772,1920,1280,3576,550,1,16,36,32,41365,1920,4,7226,16562,1,4
adapt_response_class,train1,1,3,0,0,4,55432,55434,55360,24,35024,20384,3176,2800,13120,11503,184048,12,672,3248,3839,3529,1588,2144,1624,162400,8920,2772,1920,1280,0,0,1,12,12,32,33072,1920,4,4456,15924,1,4
adapt_response_class,train1,1,3,1,0,4,66259,66261,66125,52,42417,23790,5952,2888,13662,11502,184032,12,672,3248,3838,3530,1588,2144,1624,162400,8920,2772,1920,1280,3548,542,1,16,36,32,40465,1920,4,7232,16554,1,4
adapt_response_class,diagnostic_zero,0,2,0,0,4,35916,35918,35844,24,27456,8436,3176,4,3968,6784,108544,12,672,2496,2016,1824,1588,0,1248,124800,0,0,1920,1280,0,0,1,12,12,32,25504,1920,4,4456,3976,1,4
adapt_response_class,diagnostic_zero,0,2,1,0,4,44840,44842,44700,52,33131,11657,5961,4,4404,6784,108544,12,672,2496,2016,1824,1588,0,1248,124800,0,0,1920,1280,2532,436,1,16,36,32,31179,1920,4,7241,4412,1,4
adapt_response_class,diagnostic_zero,0,3,0,0,4,35916,35918,35844,24,27456,8436,3176,4,3968,6784,108544,12,672,2496,2016,1824,1588,0,1248,124800,0,0,1920,1280,0,0,1,12,12,32,25504,1920,4,4456,3976,1,4
adapt_response_class,diagnostic_zero,0,3,1,0,4,44807,44809,44673,52,33118,11637,5944,4,4401,6784,108544,12,672,2496,2016,1824,1588,0,1248,124800,0,0,1920,1280,1834,433,1,16,36,32,31166,1920,4,7224,4409,1,4
adapt_response_class,diagnostic_signed_extreme,0,2,0,0,4,67172,67174,67100,24,38336,28812,3176,7068,17280,9536,152576,12,672,3584,3328,3072,1588,352,1792,179200,12800,7040,1920,1280,0,0,1,12,12,32,36384,1920,4,4456,24352,1,4
adapt_response_class,diagnostic_signed_extreme,0,2,1,0,4,78209,78211,78069,52,46078,32079,5958,7088,17745,9536,152576,12,672,3584,3328,3072,1588,352,1792,179200,12800,7040,1920,1280,3115,465,1,16,36,32,44126,1920,4,7238,24837,1,4
adapt_response_class,diagnostic_signed_extreme,0,3,0,0,4,65892,65894,65820,24,37056,28812,3176,7068,17280,9248,147968,12,672,3456,3168,2944,1588,352,1728,172800,12800,7040,1920,1280,0,0,1,12,12,32,35104,1920,4,4456,24352,1,4
adapt_response_class,diagnostic_signed_extreme,0,3,1,0,4,76769,76771,76635,52,44629,32088,5967,7088,17745,9248,147968,12,672,3456,3168,2944,1588,352,1728,172800,12800,7040,1920,1280,2987,465,1,16,36,32,42677,1920,4,7247,24837,1,4
adapt_response_class,train0,1,2,0,1,4,56125,56127,56053,24,36309,19792,3176,2880,12448,11717,187472,12,672,3380,3793,3481,1588,2272,1690,169000,8240,2852,1920,1280,0,0,1,12,12,32,34357,1920,4,4456,15332,1,4
adapt_response_class,train0,1,2,1,1,4,67029,67031,66889,52,43788,23189,5970,2920,13011,11717,187472,12,672,3380,3793,3481,1588,2272,1690,169000,8240,2852,1920,1280,3650,563,1,16,36,32,41836,1920,4,7250,15935,1,4
adapt_response_class,train0,1,3,0,1,4,55194,55196,55122,24,35378,19792,3176,2880,12448,11724,187584,12,672,3284,3896,3587,1588,2272,1642,164200,8240,2852,1920,1280,0,0,1,12,12,32,33426,1920,4,4456,15332,1,4
adapt_response_class,train0,1,3,1,1,4,66061,66063,65927,52,42844,23165,5949,2919,13009,11724,187584,12,672,3284,3896,3587,1588,2272,1642,164200,8240,2852,1920,1280,3803,561,1,16,36,32,40892,1920,4,7229,15932,1,4
adapt_response_class,train1,1,2,0,1,4,56312,56314,56240,24,35904,20384,3176,2800,13120,11535,184560,12,672,3338,3781,3453,1588,2144,1669,166900,8920,2772,1920,1280,0,0,1,12,12,32,33952,1920,4,4456,15924,1,4
