function,case,real,mode,bp,pass,hblocks,cycles_to_last_gate,cycles_to_done,first_X_request_to_last_gate,dictionary_load_cycles,source_phase_cycles,backend_phase_cycles,backend_boot_cycles,backend_fc_cycles,backend_psn_cycles,words,bytes,dictionary_words,source_config_words,source_X_words,source_graph_words,source_prefetch_words,backend_config_words,backend_coeff_words,source_channels,source_scalar_mac,backend_vector_mac,backend_vector_updates,bridge_writes,bridge_reads,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,backend_mode
response_class,train0,1,2,0,0,4,56125,56127,56053,24,36309,19792,3176,2880,12448,11717,187472,12,672,3380,3793,3481,1588,2272,1690,169000,8240,2852,1920,1280,0,0,1,12,12,32,34357,1920,4,4456,15332,1,4
response_class,train0,1,2,1,0,4,67029,67031,66889,52,43788,23189,5970,2922,13009,11717,187472,12,672,3380,3793,3481,1588,2272,1690,169000,8240,2852,1920,1280,3624,561,1,16,36,32,41836,1920,4,7250,15935,1,4
response_class,train0,1,3,0,0,4,56087,56089,56015,24,36271,19792,3176,2880,12448,11670,186720,12,672,3376,3750,3436,1588,2272,1688,168800,8240,2852,1920,1280,0,0,1,12,12,32,34319,1920,4,4456,15332,1,4
response_class,train0,1,3,1,0,4,67084,67086,66953,52,43852,23180,5956,2919,13017,11670,186720,12,672,3376,3750,3436,1588,2272,1688,168800,8240,2852,1920,1280,3639,569,1,16,36,32,41900,1920,4,7236,15940,1,4
response_class,train1,1,2,0,0,4,56312,56314,56240,24,35904,20384,3176,2800,13120,11567,185072,12,672,3338,3781,3453,1588,2176,1669,166900,8920,2772,1920,1280,0,0,1,12,12,32,33952,1920,4,4456,15924,1,4
response_class,train1,1,2,1,0,4,67172,67174,67032,52,43317,23803,5946,2890,13679,11563,185008,12,672,3338,3777,3452,1588,2176,1669,166900,8920,2772,1920,1280,3541,559,1,16,36,32,41365,1920,4,7226,16573,1,4
response_class,train1,1,3,0,0,4,56226,56228,56154,24,35818,20384,3176,2800,13120,11469,183504,12,672,3330,3691,3360,1588,2176,1665,166500,8920,2772,1920,1280,0,0,1,12,12,32,33866,1920,4,4456,15924,1,4
response_class,train1,1,3,1,0,4,67260,67262,67129,52,43407,23801,5952,2890,13671,11469,183504,12,672,3330,3691,3360,1588,2176,1665,166500,8920,2772,1920,1280,3434,551,1,16,36,32,41455,1920,4,7232,16565,1,4
response_class,diagnostic_zero,0,2,0,0,4,35916,35918,35844,24,27456,8436,3176,4,3968,6784,108544,12,672,2496,2016,1824,1588,0,1248,124800,0,0,1920,1280,0,0,1,12,12,32,25504,1920,4,4456,3976,1,4
response_class,diagnostic_zero,0,2,1,0,4,44840,44842,44700,52,33131,11657,5961,4,4404,6784,108544,12,672,2496,2016,1824,1588,0,1248,124800,0,0,1920,1280,2532,436,1,16,36,32,31179,1920,4,7241,4412,1,4
