function,case,real,group,tc,av,bp,pass,cycles_last_gate,cycles_done,first_source_to_last_gate,words,bytes,source_words,U_words,V_words,A_words,tau_words,config_words,U_updates,V_updates,A_updates,A_scalar_mac,U_cache_reads,zero_source_words,Z_writes,scratch_writes,req_stall,out_stall,phase0,phase1,phase2,phase3,phase4,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,state27,state28,state29,state30,state31,state32,state33,state34,state35,state36,state37,state38,state39,state40,state41,state42,state43,state44,state45,state46,state47,state48,state49,state50,state51,state52,state53,state54,state55,state56,state57,state58,state59,state60,state61,state62,state63
ordinary_r32,capture0_group0,1,0,0,0,0,0,72308,72309,72078,1479,23664,288,432,384,13,360,2,3612,10728,1488,11904,864,648,3772,480,0,0,69,19062,44449,8688,41,1,1479,1479,1,1,1,1,13,13,8,160,1153,288,1728,2160,432,4476,3612,3612,1,12,396,384,480,15840,15360,10728,480,1,0,480,4800,1488,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group0,1,0,0,0,1,0,75842,75845,75576,1479,23664,288,432,384,13,360,2,3612,10728,1488,11904,864,648,3772,480,457,15,104,20768,45361,9553,59,1,1936,4541,1,1,1,1,13,13,8,160,1153,288,1728,2160,432,4476,3612,3612,1,12,396,384,480,15840,15360,10728,480,1,0,480,4800,1488,480,360,360,0,55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group0,1,0,0,1,0,0,72108,72109,71878,1479,23664,288,432,384,13,360,2,3612,15360,496,3966,864,648,3772,160,0,0,68,19062,50520,2417,42,1,1479,1479,1,1,1,1,13,13,8,160,1153,288,1728,2160,432,4476,3612,3612,1,12,396,384,480,15840,15360,15360,0,0,1,160,1600,496,160,360,360,480,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group0,1,0,0,1,1,0,75597,75598,75331,1479,23664,288,432,384,13,360,2,3612,15360,496,3966,864,648,3772,160,480,15,104,20768,52252,2417,57,1,1959,4473,1,1,1,1,13,13,8,160,1153,288,1728,2160,432,4476,3612,3612,1,12,396,384,480,15840,15360,15360,0,0,1,160,1600,496,160,360,360,480,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group0,1,0,1,0,0,0,72308,72309,72078,1479,23664,288,432,384,13,360,2,3612,10728,1488,11904,864,648,3772,480,0,0,68,19062,44449,8688,42,1,1479,1479,1,1,1,1,13,13,8,160,1153,288,1728,2160,432,4476,3612,3612,1,12,396,384,480,15840,15360,10728,480,1,0,480,4800,1488,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group0,1,0,1,0,1,0,75842,75845,75576,1479,23664,288,432,384,13,360,2,3612,10728,1488,11904,864,648,3772,480,457,15,104,20768,45361,9553,59,1,1936,4541,1,1,1,1,13,13,8,160,1153,288,1728,2160,432,4476,3612,3612,1,12,396,384,480,15840,15360,10728,480,1,0,480,4800,1488,480,360,360,0,55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group0,1,0,1,1,0,0,72108,72109,71878,1479,23664,288,432,384,13,360,2,3612,15360,496,3966,864,648,3772,160,0,0,68,19062,50520,2417,42,1,1479,1479,1,1,1,1,13,13,8,160,1153,288,1728,2160,432,4476,3612,3612,1,12,396,384,480,15840,15360,15360,0,0,1,160,1600,496,160,360,360,480,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group0,1,0,1,1,1,0,75597,75598,75331,1479,23664,288,432,384,13,360,2,3612,15360,496,3966,864,648,3772,160,480,15,104,20768,52252,2417,57,1,1959,4473,1,1,1,1,13,13,8,160,1153,288,1728,2160,432,4476,3612,3612,1,12,396,384,480,15840,15360,15360,0,0,1,160,1600,496,160,360,360,480,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group305,1,305,0,0,0,0,82832,82833,82602,1977,31632,288,930,384,13,360,2,5524,9576,1452,11616,1860,399,5684,480,0,0,68,30774,43297,8652,42,1,1977,1977,1,1,1,1,13,13,8,160,1153,288,2724,4650,930,7384,5524,5524,1,12,396,384,480,15840,15360,9576,480,1,0,480,4800,1452,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group305,1,305,0,0,1,0,87578,87579,87312,1977,31632,288,930,384,13,360,2,5524,9576,1452,11616,1860,399,5684,480,695,15,104,33689,44205,9524,57,1,2672,6013,1,1,1,1,13,13,8,160,1153,288,2724,4650,930,7384,5524,5524,1,12,396,384,480,15840,15360,9576,480,1,0,480,4800,1452,480,360,360,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
