function,case,real,group,tc,av,bp,pass,cycles_last_gate,cycles_done,first_source_to_last_gate,words,bytes,source_words,U_words,V_words,A_words,tau_words,config_words,U_updates,V_updates,A_updates,A_scalar_mac,U_cache_reads,zero_source_words,Z_writes,scratch_writes,req_stall,out_stall,phase0,phase1,phase2,phase3,phase4,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,state27,state28,state29,state30,state31,state32,state33,state34,state35,state36,state37,state38,state39,state40,state41,state42,state43,state44,state45,state46,state47,state48,state49,state50,state51,state52,state53,state54,state55,state56,state57,state58,state59,state60,state61,state62,state63
ordinary_r32,capture0_group0,1,0,0,0,0,0,72300,72301,72078,1479,23664,288,432,384,13,360,2,3612,10728,1488,11904,864,648,3772,480,0,0,61,19062,44449,8688,41,1,1479,1479,1,1,1,1,13,13,0,160,1153,288,1728,2160,432,4476,3612,3612,1,12,396,384,480,15840,15360,10728,480,1,0,480,4800,1488,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group0,1,0,0,0,1,0,75887,75888,75629,1479,23664,288,432,384,13,360,2,3612,10728,1488,11904,864,648,3772,480,465,15,96,20821,45361,9553,57,1,1944,4586,1,1,1,1,13,13,0,160,1153,288,1728,2160,432,4476,3612,3612,1,12,396,384,480,15840,15360,10728,480,1,0,480,4800,1488,480,360,360,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group0,1,0,0,1,0,0,72100,72101,71878,1479,23664,288,432,384,13,360,2,3612,15360,496,3966,864,648,3772,160,0,0,60,19062,50520,2417,42,1,1479,1479,1,1,1,1,13,13,0,160,1153,288,1728,2160,432,4476,3612,3612,1,12,396,384,480,15840,15360,15360,0,0,1,160,1600,496,160,360,360,480,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group0,1,0,0,1,1,0,75642,75643,75384,1479,23664,288,432,384,13,360,2,3612,15360,496,3966,864,648,3772,160,488,15,96,20821,52252,2417,57,1,1967,4518,1,1,1,1,13,13,0,160,1153,288,1728,2160,432,4476,3612,3612,1,12,396,384,480,15840,15360,15360,0,0,1,160,1600,496,160,360,360,480,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group2438,1,2438,0,0,0,0,93228,93229,93006,2141,34256,288,1094,384,13,360,2,6516,14868,1620,12960,2188,317,6676,480,0,0,60,35718,48589,8820,42,1,2141,2141,1,1,1,1,13,13,0,160,1153,288,3052,5470,1094,8704,6516,6516,1,12,396,384,480,15840,15360,14868,480,1,0,480,4800,1620,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group2438,1,2438,0,0,1,0,98246,98247,97988,2141,34256,288,1094,384,13,360,2,6516,14868,1620,12960,2188,317,6676,480,722,15,96,38886,49500,9708,57,1,2863,6422,1,1,1,1,13,13,0,160,1153,288,3052,5470,1094,8704,6516,6516,1,12,396,384,480,15840,15360,14868,480,1,0,480,4800,1620,480,360,360,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group2438,1,2438,0,1,0,0,88800,88801,88578,2141,34256,288,1094,384,13,360,2,6516,15360,540,4294,2188,317,6676,160,0,0,60,35718,50520,2461,42,1,2141,2141,1,1,1,1,13,13,0,160,1153,288,3052,5470,1094,8704,6516,6516,1,12,396,384,480,15840,15360,15360,0,0,1,160,1600,540,160,360,360,480,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group2438,1,2438,0,1,1,0,93742,93743,93484,2141,34256,288,1094,384,13,360,2,6516,15360,540,4294,2188,317,6676,160,704,15,96,38886,52243,2461,57,1,2845,6364,1,1,1,1,13,13,0,160,1153,288,3052,5470,1094,8704,6516,6516,1,12,396,384,480,15840,15360,15360,0,0,1,160,1600,540,160,360,360,480,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group4876,1,4876,0,0,0,0,78960,78961,78738,1751,28016,288,704,384,13,360,2,4872,10356,1476,11808,1408,512,5032,480,0,0,60,26106,44077,8676,42,1,1751,1751,1,1,1,1,13,13,0,160,1153,288,2272,3520,704,6280,4872,4872,1,12,396,384,480,15840,15360,10356,480,1,0,480,4800,1476,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary_r32,capture0_group4876,1,4876,0,0,1,0,83056,83057,82798,1751,28016,288,704,384,13,360,2,4872,10356,1476,11808,1408,512,5032,480,630,15,96,28365,44999,9540,57,1,2381,5202,1,1,1,1,13,13,0,160,1153,288,2272,3520,704,6280,4872,4872,1,12,396,384,480,15840,15360,10356,480,1,0,480,4800,1476,480,360,360,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
