function,case,real,group,tc,av,bp,pass,cycles_last_gate,cycles_done,first_source_to_last_gate,words,bytes,source_words,U_words,V_words,A_words,tau_words,config_words,U_updates,V_updates,A_updates,A_scalar_mac,U_cache_reads,zero_source_words,Z_writes,scratch_writes,req_stall,out_stall,phase0,phase1,phase2,phase3,phase4,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,state27,state28,state29,state30,state31,state32,state33,state34,state35,state36,state37,state38,state39,state40,state41,state42,state43,state44,state45,state46,state47,state48,state49,state50,state51,state52,state53,state54,state55,state56,state57,state58,state59,state60,state61,state62,state63
regional_r96_a48,capture0_group0,1,0,0,0,0,0,111800,111801,111258,2319,37104,288,1080,576,13,360,2,7224,16032,1488,11904,1728,648,7704,480,0,0,61,37130,65881,8688,41,1,2319,2319,1,1,1,1,13,13,0,480,1153,288,3456,4536,1080,8952,7224,7224,1,12,588,576,480,23520,23040,16032,480,1,0,480,4800,1488,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group0,1,0,0,0,1,0,117287,117289,116709,2319,37104,288,1080,576,13,360,2,7224,16032,1488,11904,1728,648,7704,480,819,15,96,40319,67271,9545,58,1,3138,6972,1,1,1,1,13,13,0,480,1153,288,3456,4536,1080,8952,7224,7224,1,12,588,576,480,23520,23040,16032,480,1,0,480,4800,1488,480,360,360,0,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group0,1,0,0,1,0,0,116712,116713,116170,2319,37104,288,1080,576,13,360,2,7224,23040,992,5909,1728,648,7704,480,0,0,60,37130,74328,5153,42,1,2319,2319,1,1,1,1,13,13,0,480,1153,288,3456,4536,1080,8952,7224,7224,1,12,588,576,480,23520,23040,23040,0,0,1,480,3200,992,480,360,360,480,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group0,1,0,0,1,1,0,122285,122286,121707,2319,37104,288,1080,576,13,360,2,7224,23040,992,5909,1728,648,7704,480,907,15,96,40319,76661,5153,57,1,3226,6970,1,1,1,1,13,13,0,480,1153,288,3456,4536,1080,8952,7224,7224,1,12,588,576,480,23520,23040,23040,0,0,1,480,3200,992,480,360,360,480,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group0,1,0,1,0,0,0,104006,104007,103680,2319,37104,288,1080,576,13,360,2,5418,16032,1488,11904,1728,648,5658,480,0,0,84,29312,65881,8688,42,1,2319,2319,1,1,1,1,13,13,24,240,1153,288,2160,4104,1080,6714,5418,5418,1,12,588,576,480,23520,23040,16032,480,1,0,480,4800,1488,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group0,1,0,1,0,1,0,109652,109653,109290,2319,37104,288,1080,576,13,360,2,5418,16032,1488,11904,1728,648,5658,480,872,15,120,32662,67271,9543,57,1,3191,7078,1,1,1,1,13,13,24,240,1153,288,2160,4104,1080,6714,5418,5418,1,12,588,576,480,23520,23040,16032,480,1,0,480,4800,1488,480,360,360,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group0,1,0,1,1,0,0,107390,107391,107064,2319,37104,288,1080,576,13,360,2,5418,23040,744,5909,1728,648,5658,240,0,0,84,29312,74328,3625,42,1,2319,2319,1,1,1,1,13,13,24,240,1153,288,2160,4104,1080,6714,5418,5418,1,12,588,576,480,23520,23040,23040,0,0,1,240,2400,744,240,360,360,480,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group0,1,0,1,1,1,0,113102,113103,112740,2319,37104,288,1080,576,13,360,2,5418,23040,744,5909,1728,648,5658,240,958,12,120,32662,76642,3625,54,1,3277,7061,1,1,1,1,13,13,24,240,1153,288,2160,4104,1080,6714,5418,5418,1,12,588,576,480,23520,23040,23040,0,0,1,240,2400,744,240,360,360,480,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group305,1,305,0,0,0,0,135524,135525,134982,3564,57024,288,2325,576,13,360,2,11048,14376,1452,11616,3720,399,11528,480,0,0,60,62546,64225,8652,42,1,3564,3564,1,1,1,1,13,13,0,480,1153,288,6444,9765,2325,14768,11048,11048,1,12,588,576,480,23520,23040,14376,480,1,0,480,4800,1452,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group305,1,305,0,0,1,0,143963,143965,143385,3564,57024,288,2325,576,13,360,2,11048,14376,1452,11616,3720,399,11528,480,1291,15,96,68667,65605,9539,58,1,4855,10697,1,1,1,1,13,13,0,480,1153,288,6444,9765,2325,14768,11048,11048,1,12,588,576,480,23520,23040,14376,480,1,0,480,4800,1452,480,360,360,0,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
