function,case,real,group,tc,av,bp,pass,cycles_last_gate,cycles_done,first_source_to_last_gate,words,bytes,source_words,U_words,V_words,A_words,tau_words,config_words,U_updates,V_updates,A_updates,A_scalar_mac,U_cache_reads,zero_source_words,Z_writes,scratch_writes,req_stall,out_stall,phase0,phase1,phase2,phase3,phase4,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,state27,state28,state29,state30,state31,state32,state33,state34,state35,state36,state37,state38,state39,state40,state41,state42,state43,state44,state45,state46,state47,state48,state49,state50,state51,state52,state53,state54,state55,state56,state57,state58,state59,state60,state61,state62,state63
regional_r96_a48,capture0_group0,1,0,0,0,0,0,111824,111825,111258,2319,37104,288,1080,576,13,360,2,7224,16032,1488,11904,1728,648,7704,480,0,0,85,37130,65881,8688,41,1,2319,2319,1,1,1,1,13,13,24,480,1153,288,3456,4536,1080,8952,7224,7224,1,12,588,576,480,23520,23040,16032,480,1,0,480,4800,1488,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group0,1,0,0,0,1,0,117332,117333,116730,2319,37104,288,1080,576,13,360,2,7224,16032,1488,11904,1728,648,7704,480,833,15,120,40340,67271,9545,57,1,3152,6979,1,1,1,1,13,13,24,480,1153,288,3456,4536,1080,8952,7224,7224,1,12,588,576,480,23520,23040,16032,480,1,0,480,4800,1488,480,360,360,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group0,1,0,0,1,0,0,116736,116737,116170,2319,37104,288,1080,576,13,360,2,7224,23040,992,5909,1728,648,7704,480,0,0,84,37130,74328,5153,42,1,2319,2319,1,1,1,1,13,13,24,480,1153,288,3456,4536,1080,8952,7224,7224,1,12,588,576,480,23520,23040,23040,0,0,1,480,3200,992,480,360,360,480,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group0,1,0,0,1,1,0,122330,122333,121728,2319,37104,288,1080,576,13,360,2,7224,23040,992,5909,1728,648,7704,480,921,15,120,40340,76661,5153,59,1,3240,6977,1,1,1,1,13,13,24,480,1153,288,3456,4536,1080,8952,7224,7224,1,12,588,576,480,23520,23040,23040,0,0,1,480,3200,992,480,360,360,480,55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group0,1,0,1,0,0,0,104006,104007,103680,2319,37104,288,1080,576,13,360,2,5418,16032,1488,11904,1728,648,5658,480,0,0,84,29312,65881,8688,42,1,2319,2319,1,1,1,1,13,13,24,240,1153,288,2160,4104,1080,6714,5418,5418,1,12,588,576,480,23520,23040,16032,480,1,0,480,4800,1488,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group0,1,0,1,0,1,0,109652,109653,109290,2319,37104,288,1080,576,13,360,2,5418,16032,1488,11904,1728,648,5658,480,872,15,120,32662,67271,9543,57,1,3191,7078,1,1,1,1,13,13,24,240,1153,288,2160,4104,1080,6714,5418,5418,1,12,588,576,480,23520,23040,16032,480,1,0,480,4800,1488,480,360,360,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group0,1,0,1,1,0,0,107390,107391,107064,2319,37104,288,1080,576,13,360,2,5418,23040,744,5909,1728,648,5658,240,0,0,84,29312,74328,3625,42,1,2319,2319,1,1,1,1,13,13,24,240,1153,288,2160,4104,1080,6714,5418,5418,1,12,588,576,480,23520,23040,23040,0,0,1,240,2400,744,240,360,360,480,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group0,1,0,1,1,1,0,113102,113103,112740,2319,37104,288,1080,576,13,360,2,5418,23040,744,5909,1728,648,5658,240,958,12,120,32662,76642,3625,54,1,3277,7061,1,1,1,1,13,13,24,240,1153,288,2160,4104,1080,6714,5418,5418,1,12,588,576,480,23520,23040,23040,0,0,1,240,2400,744,240,360,360,480,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group2438,1,2438,0,0,0,0,152088,152089,151522,3427,54832,288,2188,576,13,360,2,13032,22392,1620,12960,4376,317,13512,480,0,0,84,70902,72241,8820,42,1,3427,3427,1,1,1,1,13,13,24,480,1153,288,7428,10940,2188,17408,13032,13032,1,12,588,576,480,23520,23040,22392,480,1,0,480,4800,1620,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group2438,1,2438,0,0,1,0,160256,160257,159654,3427,54832,288,2188,576,13,360,2,13032,22392,1620,12960,4376,317,13512,480,1262,15,120,76719,73625,9736,57,1,4689,10318,1,1,1,1,13,13,24,480,1153,288,7428,10940,2188,17408,13032,13032,1,12,588,576,480,23520,23040,22392,480,1,0,480,4800,1620,480,360,360,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
