function,case,real,group,tc,av,bp,pass,cycles_last_gate,cycles_done,first_source_to_last_gate,words,bytes,source_words,U_words,V_words,A_words,tau_words,config_words,U_updates,V_updates,A_updates,A_scalar_mac,U_cache_reads,zero_source_words,Z_writes,scratch_writes,req_stall,out_stall,phase0,phase1,phase2,phase3,phase4,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,state27,state28,state29,state30,state31,state32,state33,state34,state35,state36,state37,state38,state39,state40,state41,state42,state43,state44,state45,state46,state47,state48,state49,state50,state51,state52,state53,state54,state55,state56,state57,state58,state59,state60,state61,state62,state63
regional_r96_a48,capture0_group0,1,0,0,0,0,0,111800,111801,111258,2319,37104,288,1080,576,13,360,2,7224,16032,1488,11904,1728,648,7704,480,0,0,61,37130,65881,8688,41,1,2319,2319,1,1,1,1,13,13,0,480,1153,288,3456,4536,1080,8952,7224,7224,1,12,588,576,480,23520,23040,16032,480,1,0,480,4800,1488,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group0,1,0,0,0,1,0,117287,117289,116709,2319,37104,288,1080,576,13,360,2,7224,16032,1488,11904,1728,648,7704,480,819,15,96,40319,67271,9545,58,1,3138,6972,1,1,1,1,13,13,0,480,1153,288,3456,4536,1080,8952,7224,7224,1,12,588,576,480,23520,23040,16032,480,1,0,480,4800,1488,480,360,360,0,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group0,1,0,0,1,0,0,116712,116713,116170,2319,37104,288,1080,576,13,360,2,7224,23040,992,5909,1728,648,7704,480,0,0,60,37130,74328,5153,42,1,2319,2319,1,1,1,1,13,13,0,480,1153,288,3456,4536,1080,8952,7224,7224,1,12,588,576,480,23520,23040,23040,0,0,1,480,3200,992,480,360,360,480,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group0,1,0,0,1,1,0,122285,122286,121707,2319,37104,288,1080,576,13,360,2,7224,23040,992,5909,1728,648,7704,480,907,15,96,40319,76661,5153,57,1,3226,6970,1,1,1,1,13,13,0,480,1153,288,3456,4536,1080,8952,7224,7224,1,12,588,576,480,23520,23040,23040,0,0,1,480,3200,992,480,360,360,480,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group2438,1,2438,0,0,0,0,152064,152065,151522,3427,54832,288,2188,576,13,360,2,13032,22392,1620,12960,4376,317,13512,480,0,0,60,70902,72241,8820,42,1,3427,3427,1,1,1,1,13,13,0,480,1153,288,7428,10940,2188,17408,13032,13032,1,12,588,576,480,23520,23040,22392,480,1,0,480,4800,1620,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group2438,1,2438,0,0,1,0,160256,160257,159678,3427,54832,288,2188,576,13,360,2,13032,22392,1620,12960,4376,317,13512,480,1270,15,96,76743,73625,9736,57,1,4697,10334,1,1,1,1,13,13,0,480,1153,288,7428,10940,2188,17408,13032,13032,1,12,588,576,480,23520,23040,22392,480,1,0,480,4800,1620,480,360,360,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group2438,1,2438,0,1,0,0,150572,150573,150030,3427,54832,288,2188,576,13,360,2,13032,23040,1080,6474,4376,317,13512,480,0,0,60,70902,74328,5241,42,1,3427,3427,1,1,1,1,13,13,0,480,1153,288,7428,10940,2188,17408,13032,13032,1,12,588,576,480,23520,23040,23040,0,0,1,480,3200,1080,480,360,360,480,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group2438,1,2438,0,1,1,0,158780,158781,158202,3427,54832,288,2188,576,13,360,2,13032,23040,1080,6474,4376,317,13512,480,1315,15,96,76743,76644,5241,57,1,4742,10305,1,1,1,1,13,13,0,480,1153,288,7428,10940,2188,17408,13032,13032,1,12,588,576,480,23520,23040,23040,0,0,1,480,3200,1080,480,360,360,480,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group4876,1,4876,0,0,0,0,126412,126413,125870,2999,47984,288,1760,576,13,360,2,9744,15480,1476,11808,2816,512,10224,480,0,0,60,52306,65329,8676,42,1,2999,2999,1,1,1,1,13,13,0,480,1153,288,5088,7392,1760,12560,9744,9744,1,12,588,576,480,23520,23040,15480,480,1,0,480,4800,1476,480,360,360,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regional_r96_a48,capture0_group4876,1,4876,0,0,1,0,133485,133487,132907,2999,47984,288,1760,576,13,360,2,9744,15480,1476,11808,2816,512,10224,480,1035,14,96,57089,66704,9541,57,1,4034,9023,1,1,1,1,13,13,0,480,1153,288,5088,7392,1760,12560,9744,9744,1,12,588,576,480,23520,23040,15480,480,1,0,480,4800,1476,480,360,360,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
