case,real,order,mode,bp,packed32,prefetch,cycles,channels,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p0,1,1,3,0,1,1,1047,49,4900,219,98,100,91,334,0,0,1,21,21,6,110,0,147,49,490,147,49,0,6,1
train0_p0,1,1,3,1,1,1,1276,49,4900,219,98,100,91,334,77,0,1,27,54,6,130,0,317,49,490,147,49,0,6,1
train0_p1,1,1,3,0,1,1,1045,49,4900,213,98,94,88,343,0,0,1,21,21,6,108,0,147,49,490,147,49,0,6,1
train0_p1,1,1,3,1,1,1,1269,49,4900,213,98,94,88,343,75,5,1,27,54,6,122,0,313,49,490,147,49,0,11,1
train0_p2,1,1,3,0,1,1,1024,48,4800,211,96,94,88,339,0,0,1,21,21,6,105,0,144,48,480,144,48,0,6,1
train0_p2,1,1,3,1,1,1,1239,48,4800,211,96,94,88,339,65,2,1,27,54,6,113,0,310,48,480,144,48,0,8,1
train0_p3,1,1,3,0,1,1,1048,49,4900,222,98,103,95,346,0,0,1,21,21,6,111,0,147,49,490,147,49,0,6,1
train0_p3,1,1,3,1,1,1,1276,49,4900,222,98,103,95,346,78,3,1,27,54,6,130,0,314,49,490,147,49,0,9,1
train0_p4,1,1,3,0,1,1,1065,50,5000,218,100,97,91,341,0,0,1,21,21,6,110,0,150,50,500,150,50,0,6,1
train0_p4,1,1,3,1,1,1,1291,50,5000,218,100,97,91,341,75,5,1,27,54,6,124,0,318,50,500,150,50,0,11,1
train0_p5,1,1,3,0,1,1,1027,48,4800,216,96,99,91,341,0,0,1,21,21,6,108,0,144,48,480,144,48,0,6,1
train0_p5,1,1,3,1,1,1,1239,48,4800,216,96,99,91,341,63,0,1,27,54,6,123,0,302,48,480,144,48,0,6,1
train0_p6,1,1,3,0,1,1,1026,48,4800,211,96,94,86,345,0,0,1,21,21,6,107,0,144,48,480,144,48,0,6,1
train0_p6,1,1,3,1,1,1,1239,48,4800,211,96,94,86,345,60,3,1,27,54,6,121,0,301,48,480,144,48,0,9,1
train0_p7,1,1,3,0,1,1,1107,52,5200,240,104,115,106,347,0,0,1,21,21,6,116,0,156,52,520,156,52,0,6,1
train0_p7,1,1,3,1,1,1,1346,52,5200,240,104,115,106,347,81,8,1,27,54,6,134,0,330,52,520,156,52,0,14,1
train0_p8,1,1,3,0,1,1,1046,49,4900,214,98,95,87,343,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p8,1,1,3,1,1,1,1243,49,4900,214,98,95,87,343,63,0,1,27,54,6,121,0,293,49,490,147,49,0,6,1
train0_p9,1,1,3,0,1,1,1329,63,6300,312,126,165,151,392,0,0,1,21,21,6,140,0,189,63,630,189,63,0,6,1
train0_p9,1,1,3,1,1,1,1617,63,6300,312,126,165,151,392,96,0,1,27,54,6,168,0,410,63,630,189,63,0,6,1
train0_p10,1,1,3,0,1,1,1046,49,4900,215,98,96,88,340,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p10,1,1,3,1,1,1,1269,49,4900,215,98,96,88,340,60,5,1,27,54,6,122,0,313,49,490,147,49,0,11,1
train0_p11,1,1,3,0,1,1,1146,54,5400,252,108,123,114,354,0,0,1,21,21,6,119,0,162,54,540,162,54,0,6,1
train0_p11,1,1,3,1,1,1,1374,54,5400,252,108,123,114,354,81,1,1,27,54,6,137,0,332,54,540,162,54,0,7,1
train0_p12,1,1,3,0,1,1,1046,49,4900,219,98,100,92,340,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p12,1,1,3,1,1,1,1269,49,4900,219,98,100,92,340,62,5,1,27,54,6,122,0,313,49,490,147,49,0,11,1
train0_p13,1,1,3,0,1,1,1314,62,6200,332,124,187,167,382,0,0,1,21,21,6,143,0,186,62,620,186,62,0,6,1
train0_p13,1,1,3,1,1,1,1621,62,6200,332,124,187,167,382,107,7,1,27,54,6,186,0,404,62,620,186,62,0,13,1
train0_p14,1,1,3,0,1,1,1148,54,5400,249,108,120,110,348,0,0,1,21,21,6,121,0,162,54,540,162,54,0,6,1
train0_p14,1,1,3,1,1,1,1392,54,5400,249,108,120,110,348,82,4,1,27,54,6,144,0,340,54,540,162,54,0,10,1
train0_p15,1,1,3,0,1,1,1045,49,4900,220,98,101,93,345,0,0,1,21,21,6,108,0,147,49,490,147,49,0,6,1
train0_p15,1,1,3,1,1,1,1271,49,4900,220,98,101,93,345,66,3,1,27,54,6,126,0,313,49,490,147,49,0,9,1
train0_p16,1,1,3,0,1,1,1027,48,4800,213,96,96,88,342,0,0,1,21,21,6,108,0,144,48,480,144,48,0,6,1
train0_p16,1,1,3,1,1,1,1243,48,4800,213,96,96,88,342,60,0,1,27,54,6,124,0,305,48,480,144,48,0,6,1
train0_p17,1,1,3,0,1,1,1107,52,5200,235,104,110,101,347,0,0,1,21,21,6,116,0,156,52,520,156,52,0,6,1
train0_p17,1,1,3,1,1,1,1346,52,5200,235,104,110,101,347,76,8,1,27,54,6,134,0,330,52,520,156,52,0,14,1
train0_p18,1,1,3,0,1,1,1107,52,5200,228,104,103,93,337,0,0,1,21,21,6,116,0,156,52,520,156,52,0,6,1
train0_p18,1,1,3,1,1,1,1324,52,5200,228,104,103,93,337,69,3,1,27,54,6,128,0,319,52,520,156,52,0,9,1
train0_p19,1,1,3,0,1,1,1230,58,5800,271,116,134,122,352,0,0,1,21,21,6,131,0,174,58,580,174,58,0,6,1
train0_p19,1,1,3,1,1,1,1485,58,5800,271,116,134,122,352,94,3,1,27,54,6,151,0,367,58,580,174,58,0,9,1
train0_p20,1,1,3,0,1,1,1165,55,5500,251,110,120,110,341,0,0,1,21,21,6,120,0,165,55,550,165,55,0,6,1
train0_p20,1,1,3,1,1,1,1412,55,5500,251,110,120,110,341,91,6,1,27,54,6,141,0,346,55,550,165,55,0,12,1
train0_p21,1,1,3,0,1,1,1065,50,5000,221,100,100,92,342,0,0,1,21,21,6,110,0,150,50,500,150,50,0,6,1
train0_p21,1,1,3,1,1,1,1284,50,5000,221,100,100,92,342,59,4,1,27,54,6,120,0,316,50,500,150,50,0,10,1
train0_p22,1,1,3,0,1,1,1231,58,5800,282,116,145,131,343,0,0,1,21,21,6,132,0,174,58,580,174,58,0,6,1
train0_p22,1,1,3,1,1,1,1504,58,5800,282,116,145,131,343,96,2,1,27,54,6,162,0,376,58,580,174,58,0,8,1
train0_p23,1,1,3,0,1,1,1330,63,6300,313,126,166,152,392,0,0,1,21,21,6,141,0,189,63,630,189,63,0,6,1
train0_p23,1,1,3,1,1,1,1616,63,6300,313,126,166,152,392,104,2,1,27,54,6,176,0,399,63,630,189,63,0,8,1
train0_p24,1,1,3,0,1,1,1127,53,5300,245,106,118,108,343,0,0,1,21,21,6,118,0,159,53,530,159,53,0,6,1
train0_p24,1,1,3,1,1,1,1346,53,5300,245,106,118,108,343,70,4,1,27,54,6,131,0,322,53,530,159,53,0,10,1
train0_p25,1,1,3,0,1,1,1065,50,5000,220,100,99,92,346,0,0,1,21,21,6,110,0,150,50,500,150,50,0,6,1
train0_p25,1,1,3,1,1,1,1291,50,5000,220,100,99,92,346,78,3,1,27,54,6,127,0,317,50,500,150,50,0,9,1
train0_p26,1,1,3,0,1,1,1250,59,5900,297,118,158,146,375,0,0,1,21,21,6,133,0,177,59,590,177,59,0,6,1
train0_p26,1,1,3,1,1,1,1516,59,5900,297,118,158,146,375,114,3,1,27,54,6,162,0,372,59,590,177,59,0,9,1
train0_p27,1,1,3,0,1,1,1046,49,4900,219,98,100,92,340,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p27,1,1,3,1,1,1,1269,49,4900,219,98,100,92,340,62,5,1,27,54,6,122,0,313,49,490,147,49,0,11,1
train0_p28,1,1,3,0,1,1,1068,50,5000,222,100,101,92,345,0,0,1,21,21,6,113,0,150,50,500,150,50,0,6,1
train0_p28,1,1,3,1,1,1,1296,50,5000,222,100,101,92,345,78,0,1,27,54,6,128,0,324,50,500,150,50,0,6,1
train0_p29,1,1,3,0,1,1,1028,48,4800,212,96,95,86,337,0,0,1,21,21,6,109,0,144,48,480,144,48,0,6,1
train0_p29,1,1,3,1,1,1,1247,48,4800,212,96,95,86,337,74,1,1,27,54,6,125,0,307,48,480,144,48,0,7,1
train0_p30,1,1,3,0,1,1,1273,60,6000,306,120,165,149,379,0,0,1,21,21,6,138,0,180,60,600,180,60,0,6,1
train0_p30,1,1,3,1,1,1,1549,60,6000,306,120,165,149,379,109,3,1,27,54,6,171,0,381,60,600,180,60,0,9,1
