g,a,b,cal_jobs_saved,probe_jobs_saved,weight_squared_change,score,nodes
0,1,2,0,0,586953,,93
0,1,3,0,0,602555,,92
0,1,4,10,4,529449,52944.9,91
0,1,5,0,0,505976,,93
0,1,6,0,0,475229,,92
0,1,7,0,0,532972,,92
0,1,8,0,0,565816,,92
0,1,9,0,0,627808,,93
0,1,10,0,0,548138,,93
0,1,11,0,0,593900,,92
0,1,12,0,0,562362,,93
0,1,13,0,0,570118,,93
0,1,14,0,0,607157,,90
0,1,15,0,0,571874,,92
0,2,3,0,0,621016,,92
0,2,4,0,0,583630,,93
0,2,5,0,0,475229,,92
0,2,6,0,0,556392,,93
0,2,7,0,1,529449,,92
0,2,8,0,0,658203,,93
0,2,9,0,0,730603,,93
0,2,10,0,0,559031,,93
0,2,11,0,0,620151,,93
0,2,12,0,0,482795,,93
0,2,13,0,0,537573,,93
0,2,14,0,0,728202,,93
0,2,15,0,0,513061,,92
0,3,4,0,0,574916,,91
0,3,5,0,0,586005,,92
0,3,6,0,0,593556,,93
0,3,7,0,0,561055,,92
0,3,8,0,0,666905,,91
0,3,9,0,0,735977,,93
0,3,10,0,0,475229,,93
0,3,11,0,0,529449,,91
0,3,12,0,0,566503,,93
0,3,13,0,0,482795,,93
0,3,14,0,0,728508,,92
0,3,15,0,0,527625,,92
0,4,5,0,0,503493,,93
0,4,6,1,3,461488,461488.0,89
0,4,7,0,0,586953,,92
0,4,8,2,2,530015,265007.5,88
0,4,9,0,0,545101,,92
0,4,10,0,0,520511,,92
0,4,11,0,0,602555,,92
0,4,12,0,0,554407,,93
0,4,13,0,0,548779,,93
0,4,14,0,0,529374,,92
0,4,15,0,0,579155,,92
0,5,6,0,0,586953,,93
0,5,7,0,0,461488,,93
0,5,8,0,0,639920,,93
0,5,9,0,0,728202,,93
0,5,10,0,0,621016,,93
0,5,11,0,0,573662,,93
0,5,12,0,0,512312,,92
0,5,13,0,0,579074,,93
0,5,14,0,0,624833,,93
0,5,15,0,0,514662,,93
0,6,7,0,0,503339,,93
0,6,8,0,0,517469,,91
0,6,9,0,0,607157,,92
0,6,10,0,0,602555,,92
0,6,11,0,0,572065,,93
0,6,12,0,0,642063,,93
0,6,13,0,0,621931,,93
0,6,14,0,0,520780,,93
0,6,15,0,0,570185,,93
0,7,8,0,0,600986,,92
0,7,9,0,0,636150,,93
0,7,10,0,0,509122,,93
0,7,11,0,0,621016,,92
0,7,12,0,0,481760,,93
0,7,13,0,0,508330,,93
0,7,14,0,0,631653,,92
0,7,15,0,0,527980,,89
0,8,9,0,0,663676,,92
0,8,10,0,0,649520,,92
0,8,11,0,0,637472,,92
0,8,12,0,0,703412,,93
0,8,13,0,0,687402,,93
0,8,14,0,0,556027,,92
0,8,15,0,0,642034,,92
0,9,10,0,0,728508,,90
0,9,11,0,0,675572,,93
0,9,12,0,0,793124,,93
0,9,13,0,0,772396,,93
0,9,14,0,0,475229,,87
0,9,15,0,0,728180,,93
0,10,11,0,0,461488,,93
0,10,12,0,0,590676,,93
0,10,13,0,0,512312,,92
0,10,14,0,0,648869,,93
0,10,15,0,0,501718,,93
0,11,12,0,0,566918,,93
0,11,13,0,0,481760,,93
0,11,14,0,0,672207,,92
0,11,15,0,0,579580,,92
0,12,13,0,0,621016,,93
0,12,14,0,0,692513,,93
0,12,15,0,0,515568,,93
0,13,14,0,0,694487,,93
