function,case,real,mode,bp,pass,p,cycles_to_last_code,cycles_to_done,first_X_request_to_last_code,words,bytes,config_words,X_words,prefetch_words,produced_pairs,channel_refs,batches,scalar_mac,bound_cycles,popcount16_ops,dominance_tests,reduce_cycles,cache_hits,refetches,peak_slots,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16
adapt_class,train0,1,2,0,0,0,9211,9212,8963,130,2080,32,98,0,398,55,44,3980,8294,124576,117248,458,6,0,4,0,0,1,32,32,6,50,0,130,44,440,132,44,0,6,1,508,7328,458
adapt_class,train0,1,2,0,0,1,9273,9274,9089,98,1568,0,98,0,403,58,46,4030,8386,125936,118528,463,9,0,4,0,0,1,0,0,6,52,0,132,46,460,138,46,0,6,1,515,7408,463
adapt_class,train0,1,2,0,0,2,9183,9184,8999,96,1536,0,96,0,399,56,45,3990,8313,124848,117504,459,8,0,4,0,0,1,0,0,6,51,0,131,45,450,135,45,0,6,1,510,7344,459
adapt_class,train0,1,2,0,0,3,9453,9454,9269,98,1568,0,98,0,412,62,47,4120,8549,128384,120832,472,13,0,4,0,0,1,0,0,6,53,0,133,47,470,141,47,0,6,1,525,7552,472
adapt_class,train0,1,2,0,0,4,9239,9240,9055,100,1600,0,100,0,401,62,46,4010,8350,125392,118016,461,12,0,4,0,0,1,0,0,6,52,0,134,46,460,138,46,0,6,1,513,7376,461
adapt_class,train0,1,2,0,0,5,9273,9274,9089,96,1536,0,96,0,403,58,46,4030,8386,125936,118528,463,10,0,4,0,0,1,0,0,6,52,0,132,46,460,138,46,0,6,1,515,7408,463
adapt_class,train0,1,2,0,0,6,9401,9402,9217,96,1536,0,96,0,411,53,45,4110,8529,128112,120576,471,5,0,4,0,0,1,0,0,6,51,0,133,45,450,135,45,0,6,1,522,7536,471
adapt_class,train0,1,2,0,0,7,9399,9400,9215,104,1664,0,104,0,410,65,46,4100,8512,127840,120320,470,13,0,4,0,0,1,0,0,6,52,0,132,46,460,138,46,0,6,1,522,7520,470
adapt_class,train0,1,2,0,0,8,9383,9384,9199,98,1568,0,98,0,408,55,47,4080,8477,127296,119808,468,6,0,4,0,0,1,0,0,6,53,0,135,47,470,141,47,0,6,1,521,7488,468
adapt_class,train0,1,2,0,0,9,10583,10584,10399,128,2048,0,128,0,466,84,55,4660,9529,143072,134656,526,20,1,4,0,0,1,0,0,6,61,0,155,55,550,165,55,0,6,1,587,8416,526
adapt_class,train0,1,2,0,0,10,9325,9326,9141,98,1568,0,98,0,407,58,45,4070,8457,127024,119552,467,9,0,4,0,0,1,0,0,6,51,0,129,45,450,135,45,0,6,1,518,7472,467
adapt_class,train0,1,2,0,0,11,9563,9564,9379,108,1728,0,108,0,418,65,47,4180,8657,130016,122368,478,11,0,4,0,0,1,0,0,6,53,0,135,47,470,141,47,0,6,1,531,7648,478
adapt_class,train0,1,2,0,0,12,9307,9308,9123,98,1568,0,98,0,406,58,45,4060,8439,126752,119296,466,9,0,4,0,0,1,0,0,6,51,0,129,45,450,135,45,0,6,1,517,7456,466
adapt_class,train0,1,2,0,0,13,10623,10624,10439,126,2016,0,126,0,467,85,56,4670,9548,143344,134912,527,22,1,4,0,0,1,0,0,6,62,0,160,56,560,168,56,0,6,1,589,8432,527
adapt_class,train0,1,2,0,0,14,9713,9714,9529,112,1792,0,112,0,423,69,50,4230,8750,131376,123648,483,13,2,4,0,0,1,0,0,6,56,0,144,50,500,150,50,0,6,1,539,7728,483
adapt_class,train0,1,2,0,0,15,9365,9366,9181,98,1568,0,98,0,409,54,45,4090,8493,127568,120064,469,5,0,4,0,0,1,0,0,6,51,0,133,45,450,135,45,0,6,1,520,7504,469
