function,case,real,mode,bp,pass,hblocks,cycles_to_last_gate,cycles_to_done,first_X_request_to_last_gate,dictionary_load_cycles,source_phase_cycles,backend_phase_cycles,backend_boot_cycles,backend_fc_cycles,backend_psn_cycles,words,bytes,dictionary_words,source_config_words,source_X_words,source_graph_words,source_prefetch_words,backend_config_words,backend_coeff_words,source_produced_pairs,source_scalar_mac,backend_vector_mac,backend_vector_updates,bridge_writes,bridge_reads,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,backend_mode,frontier,source_channel_refs
zero_response,train0,1,2,0,0,4,51333,51335,51261,24,31829,19480,3176,2608,12408,11347,181552,12,21,3404,4050,3593,1588,2272,13384,133840,8200,2580,1920,1280,0,0,1,12,12,32,29877,1920,4,4456,15020,1,4,1,2079
zero_response,train0,1,2,1,0,4,60890,60892,60750,52,37910,22928,5970,2664,13006,11344,181504,12,21,3404,4047,3591,1588,2272,13384,133840,8200,2580,1920,1280,3647,598,1,16,36,32,35958,1920,4,7250,15674,1,4,1,2079
zero_response,train0,1,3,0,0,4,49620,49622,49548,24,30116,19480,3176,2608,12408,11014,176224,12,21,3214,3907,3487,1588,2272,12564,125640,8200,2580,1920,1280,0,0,1,12,12,32,28164,1920,4,4456,15020,1,4,1,1884
zero_response,train0,1,3,1,0,4,58932,58934,58791,52,35965,22915,5956,2664,13007,11008,176128,12,21,3214,3901,3485,1588,2272,12564,125640,8200,2580,1920,1280,3596,599,1,16,36,32,34013,1920,4,7236,15675,1,4,1,1884
zero_response,train1,1,2,0,0,4,51803,51805,51731,24,31603,20176,3176,2592,13120,11170,178720,12,21,3366,4039,3569,1588,2144,13408,134080,8920,2564,1920,1280,0,0,1,12,12,32,29651,1920,4,4456,15716,1,4,1,2062
zero_response,train1,1,2,1,0,4,61353,61355,61213,52,37705,23596,5952,2700,13656,11158,178528,12,21,3366,4027,3566,1588,2144,13408,134080,8920,2564,1920,1280,3521,536,1,16,36,32,35753,1920,4,7232,16360,1,4,1,2062
zero_response,train1,1,3,0,0,4,50341,50343,50269,24,30141,20176,3176,2592,13120,10813,173008,12,21,3196,3852,3431,1588,2144,12640,126400,8920,2564,1920,1280,0,0,1,12,12,32,28189,1920,4,4456,15716,1,4,1,1870
zero_response,train1,1,3,1,0,4,59483,59485,59342,52,35827,23604,5967,2695,13654,10808,172928,12,21,3196,3847,3431,1588,2144,12640,126400,8920,2564,1920,1280,3515,534,1,16,36,32,33875,1920,4,7247,16353,1,4,1,1870
zero_response,train2,1,2,0,0,4,56335,56337,56263,24,33347,22964,3176,3352,15148,12448,199168,12,21,3608,4819,4206,1588,2400,13677,136770,10800,3324,1920,1280,0,0,1,12,12,32,31395,1920,4,4456,18504,1,4,1,2260
zero_response,train2,1,2,1,0,4,66250,66252,66110,52,39929,26269,5946,3373,15662,12438,199008,12,21,3608,4809,4206,1588,2400,13677,136770,10800,3324,1920,1280,3882,514,1,16,36,32,37977,1920,4,7226,19039,1,4,1,2260
zero_response,train2,1,3,0,0,4,55377,55379,55305,24,32389,22964,3176,3352,15148,12167,194672,12,21,3492,4654,4053,1588,2400,13003,130030,10800,3324,1920,1280,0,0,1,12,12,32,30437,1920,4,4456,18504,1,4,1,2133
zero_response,train2,1,3,1,0,4,65106,65108,64965,52,38775,26279,5956,3373,15662,12151,194416,12,21,3492,4638,4053,1588,2400,13003,130030,10800,3324,1920,1280,4013,514,1,16,36,32,36823,1920,4,7236,19039,1,4,1,2133
zero_response,train3,1,2,0,0,4,56229,56231,56157,24,33273,22932,3176,3056,15412,12098,193568,12,21,3612,4497,3979,1588,2368,13551,135510,11040,3028,1920,1280,0,0,1,12,12,32,31321,1920,4,4456,18472,1,4,1,2150
zero_response,train3,1,2,1,0,4,66193,66195,66053,52,39812,26329,5957,3146,15938,12093,193488,12,21,3612,4492,3977,1588,2368,13551,135510,11040,3028,1920,1280,3974,526,1,16,36,32,37860,1920,4,7237,19088,1,4,1,2150
zero_response,train3,1,3,0,0,4,55044,55046,54972,24,32088,22932,3176,3056,15412,11730,187680,12,21,3428,4313,3825,1588,2368,12780,127800,11040,3028,1920,1280,0,0,1,12,12,32,30136,1920,4,4456,18472,1,4,1,1990
zero_response,train3,1,3,1,0,4,64631,64633,64490,52,38250,26329,5969,3138,15934,11724,187584,12,21,3428,4307,3823,1588,2368,12780,127800,11040,3028,1920,1280,3804,522,1,16,36,32,36298,1920,4,7249,19076,1,4,1,1990
zero_response,train4,1,2,0,0,4,53435,53437,53363,24,32479,20932,3176,2928,13540,12038,192608,12,21,3528,4457,3938,1588,2432,13521,135210,9280,2900,1920,1280,0,0,1,12,12,32,30527,1920,4,4456,16472,1,4,1,2173
zero_response,train4,1,2,1,0,4,63179,63183,63039,52,38819,24308,5936,3009,14075,12029,192464,12,21,3528,4448,3934,1588,2432,13521,135210,9280,2900,1920,1280,3929,535,1,16,36,32,36867,1920,4,7216,17088,3,4,1,2173
zero_response,train4,1,3,0,0,4,52281,52283,52209,24,31325,20932,3176,2928,13540,11710,187360,12,21,3380,4277,3785,1588,2432,12806,128060,9280,2900,1920,1280,0,0,1,12,12,32,29373,1920,4,4456,16472,1,4,1,2031
zero_response,train4,1,3,1,0,4,61716,61718,61575,52,37346,24318,5951,3009,14070,11704,187264,12,21,3380,4271,3784,1588,2432,12806,128060,9280,2900,1920,1280,3860,530,1,16,36,32,35394,1920,4,7231,17083,1,4,1,2031
zero_response,train5,1,2,0,0,4,57379,57381,57307,24,33863,23492,3176,3772,15256,12880,206080,12,21,3710,5085,4466,1588,2464,13727,137270,10960,3744,1920,1280,0,0,1,12,12,32,31911,1920,4,4456,19032,1,4,1,2358
zero_response,train5,1,2,1,0,4,67419,67421,67279,52,40577,26790,5947,3837,15718,12866,205856,12,21,3710,5071,4464,1588,2464,13727,137270,10960,3744,1920,1280,4153,462,1,16,36,32,38625,1920,4,7227,19559,1,4,1,2358
zero_response,train5,1,3,0,0,4,56810,56812,56738,24,33294,23492,3176,3772,15256,12530,200480,12,21,3632,4813,4251,1588,2464,13176,131760,10960,3744,1920,1280,0,0,1,12,12,32,31342,1920,4,4456,19032,1,4,1,2271
zero_response,train5,1,3,1,0,4,66682,66684,66541,52,39842,26788,5949,3836,15715,12514,200224,12,21,3632,4797,4252,1588,2464,13176,131760,10960,3744,1920,1280,4016,459,1,16,36,32,37890,1920,4,7229,19555,1,4,1,2271
zero_response,train6,1,2,0,0,4,56872,56874,56800,24,34168,22680,3176,3428,14788,12914,206624,12,21,3782,4951,4351,1588,2560,13787,137870,10400,3400,1920,1280,0,0,1,12,12,32,32216,1920,4,4456,18220,1,4,1,2372
zero_response,train6,1,2,1,0,4,67071,67073,66931,52,40972,26047,5972,3454,15333,12903,206448,12,21,3782,4940,4347,1588,2560,13787,137870,10400,3400,1920,1280,4278,545,1,16,36,32,39020,1920,4,7252,18791,1,4,1,2372
zero_response,train6,1,3,0,0,4,56215,56217,56143,24,33511,22680,3176,3428,14788,12603,201648,12,21,3682,4740,4171,1588,2560,13172,131720,10400,3400,1920,1280,0,0,1,12,12,32,31559,1920,4,4456,18220,1,4,1,2266
zero_response,train6,1,3,1,0,4,66224,66226,66083,52,40132,26040,5970,3451,15331,12581,201296,12,21,3682,4718,4167,1588,2560,13172,131720,10400,3400,1920,1280,3986,543,1,16,36,32,38180,1920,4,7250,18786,1,4,1,2266
zero_response,train7,1,2,0,0,4,58731,58733,58659,24,34983,23724,3176,3624,15636,12929,206864,12,21,3816,5156,4514,1588,2336,14051,140510,11240,3596,1920,1280,0,0,1,12,12,32,33031,1920,4,4456,19264,1,4,1,2439
zero_response,train7,1,2,1,0,4,68811,68813,68671,52,41737,27022,5952,3659,16123,12912,206592,12,21,3816,5139,4511,1588,2336,14051,140510,11240,3596,1920,1280,4156,487,1,16,36,32,39785,1920,4,7232,19786,1,4,1,2439
zero_response,train7,1,3,0,0,4,57681,57683,57609,24,33933,23724,3176,3624,15636,12526,200416,12,21,3660,4909,4296,1588,2336,13307,133070,11240,3596,1920,1280,0,0,1,12,12,32,31981,1920,4,4456,19264,1,4,1,2285
zero_response,train7,1,3,1,0,4,67595,67597,67454,52,40506,27037,5961,3659,16129,12511,200176,12,21,3660,4894,4298,1588,2336,13307,133070,11240,3596,1920,1280,4087,493,1,16,36,32,38554,1920,4,7241,19792,1,4,1,2285
zero_response,train8,1,2,0,0,4,56434,56436,56362,24,33958,22452,3176,3360,14628,12950,207200,12,21,3750,5051,4429,1588,2528,13850,138500,10240,3332,1920,1280,0,0,1,12,12,32,32006,1920,4,4456,17992,1,4,1,2356
zero_response,train8,1,2,1,0,4,66434,66436,66294,52,40598,25784,5952,3415,15129,12941,207056,12,21,3750,5042,4429,1588,2528,13850,138500,10240,3332,1920,1280,4217,501,1,16,36,32,38646,1920,4,7232,18548,1,4,1,2356
zero_response,train8,1,3,0,0,4,55546,55548,55474,24,33070,22452,3176,3360,14628,12629,202064,12,21,3644,4836,4231,1588,2528,13177,131770,10240,3332,1920,1280,0,0,1,12,12,32,31118,1920,4,4456,17992,1,4,1,2226
zero_response,train8,1,3,1,0,4,65543,65545,65402,52,39708,25783,5956,3409,15130,12621,201936,12,21,3644,4828,4230,1588,2528,13177,131770,10240,3332,1920,1280,4161,502,1,16,36,32,37756,1920,4,7236,18543,1,4,1,2226
zero_response,train9,1,2,0,0,4,55817,55819,55745,24,33685,22108,3176,3088,14556,12743,203888,12,21,3692,4966,4348,1588,2464,13727,137270,10200,3060,1920,1280,0,0,1,12,12,32,31733,1920,4,4456,17648,1,4,1,2335
zero_response,train9,1,2,1,0,4,65984,65986,65844,52,40430,25502,5973,3134,15107,12726,203616,12,21,3692,4949,4343,1588,2464,13727,137270,10200,3060,1920,1280,4247,551,1,16,36,32,38478,1920,4,7253,18245,1,4,1,2335
zero_response,train9,1,3,0,0,4,55054,55056,54982,24,32922,22108,3176,3088,14556,12438,199008,12,21,3592,4761,4175,1588,2464,13099,130990,10200,3060,1920,1280,0,0,1,12,12,32,30970,1920,4,4456,17648,1,4,1,2207
zero_response,train9,1,3,1,0,4,64994,64996,64853,52,39460,25482,5953,3132,15109,12429,198864,12,21,3592,4752,4179,1588,2464,13099,130990,10200,3060,1920,1280,4186,553,1,16,36,32,37508,1920,4,7233,18245,1,4,1,2207
zero_response,train10,1,2,0,0,4,54473,54475,54401,24,32977,21472,3176,3156,13852,12421,198736,12,21,3596,4676,4121,1588,2528,13546,135460,9520,3128,1920,1280,0,0,1,12,12,32,31025,1920,4,4456,17012,1,4,1,2245
zero_response,train10,1,2,1,0,4,64289,64291,64149,52,39460,24777,5943,3190,14356,12413,198608,12,21,3596,4668,4119,1588,2528,13546,135460,9520,3128,1920,1280,4029,504,1,16,36,32,37508,1920,4,7223,17550,1,4,1,2245
zero_response,train10,1,3,0,0,4,53496,53498,53424,24,32000,21472,3176,3156,13852,12135,194160,12,21,3474,4512,3985,1588,2528,12893,128930,9520,3128,1920,1280,0,0,1,12,12,32,30048,1920,4,4456,17012,1,4,1,2113
zero_response,train10,1,3,1,0,4,63112,63114,62971,52,38245,24815,5970,3198,14359,12123,193968,12,21,3474,4500,3983,1588,2528,12893,128930,9520,3128,1920,1280,3910,507,1,16,36,32,36293,1920,4,7250,17561,1,4,1,2113
zero_response,train11,1,2,0,0,4,55224,55226,55152,24,33348,21852,3176,3072,14316,12273,196368,12,21,3648,4572,4029,1588,2432,13667,136670,10000,3044,1920,1280,0,0,1,12,12,32,31396,1920,4,4456,17392,1,4,1,2265
zero_response,train11,1,2,1,0,4,65125,65127,64985,52,39843,25230,5950,3115,14877,12257,196112,12,21,3648,4556,4026,1588,2432,13667,136670,10000,3044,1920,1280,4135,561,1,16,36,32,37891,1920,4,7230,17996,1,4,1,2265
zero_response,train11,1,3,0,0,4,53824,53826,53752,24,31948,21852,3176,3072,14316,11939,191024,12,21,3480,4406,3891,1588,2432,12931,129310,10000,3044,1920,1280,0,0,1,12,12,32,29996,1920,4,4456,17392,1,4,1,2083
