function,case,real,mode,bp,pass,hblocks,cycles_to_last_gate,cycles_to_done,first_X_request_to_last_gate,dictionary_load_cycles,source_phase_cycles,backend_phase_cycles,backend_boot_cycles,backend_fc_cycles,backend_psn_cycles,words,bytes,dictionary_words,source_config_words,source_X_words,source_graph_words,source_prefetch_words,backend_config_words,backend_coeff_words,source_produced_pairs,source_scalar_mac,backend_vector_mac,backend_vector_updates,bridge_writes,bridge_reads,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,backend_mode,frontier,source_channel_refs
zero_response,train0,1,2,0,0,4,51333,51335,51261,24,31829,19480,3176,2608,12408,11347,181552,12,21,3404,4050,3593,1588,2272,13384,133840,8200,2580,1920,1280,0,0,1,12,12,32,29877,1920,4,4456,15020,1,4,1,2079
zero_response,train0,1,2,1,0,4,60890,60892,60750,52,37910,22928,5970,2664,13006,11344,181504,12,21,3404,4047,3591,1588,2272,13384,133840,8200,2580,1920,1280,3647,598,1,16,36,32,35958,1920,4,7250,15674,1,4,1,2079
zero_response,train0,1,3,0,0,4,49620,49622,49548,24,30116,19480,3176,2608,12408,11014,176224,12,21,3214,3907,3487,1588,2272,12564,125640,8200,2580,1920,1280,0,0,1,12,12,32,28164,1920,4,4456,15020,1,4,1,1884
zero_response,train0,1,3,1,0,4,58932,58934,58791,52,35965,22915,5956,2664,13007,11008,176128,12,21,3214,3901,3485,1588,2272,12564,125640,8200,2580,1920,1280,3596,599,1,16,36,32,34013,1920,4,7236,15675,1,4,1,1884
zero_response,train1,1,2,0,0,4,51803,51805,51731,24,31603,20176,3176,2592,13120,11170,178720,12,21,3366,4039,3569,1588,2144,13408,134080,8920,2564,1920,1280,0,0,1,12,12,32,29651,1920,4,4456,15716,1,4,1,2062
zero_response,train1,1,2,1,0,4,61353,61355,61213,52,37705,23596,5952,2700,13656,11158,178528,12,21,3366,4027,3566,1588,2144,13408,134080,8920,2564,1920,1280,3521,536,1,16,36,32,35753,1920,4,7232,16360,1,4,1,2062
zero_response,train1,1,3,0,0,4,50341,50343,50269,24,30141,20176,3176,2592,13120,10813,173008,12,21,3196,3852,3431,1588,2144,12640,126400,8920,2564,1920,1280,0,0,1,12,12,32,28189,1920,4,4456,15716,1,4,1,1870
zero_response,train1,1,3,1,0,4,59483,59485,59342,52,35827,23604,5967,2695,13654,10808,172928,12,21,3196,3847,3431,1588,2144,12640,126400,8920,2564,1920,1280,3515,534,1,16,36,32,33875,1920,4,7247,16353,1,4,1,1870
zero_response,diagnostic_zero,0,2,0,0,4,34614,34616,34542,24,26154,8436,3176,4,3968,6133,98128,12,21,2496,2016,1824,1588,0,12480,124800,0,0,1920,1280,0,0,1,12,12,32,24202,1920,4,4456,3976,1,4,1,1248
zero_response,diagnostic_zero,0,2,1,0,4,42061,42063,41921,52,30361,11648,5955,4,4401,6133,98128,12,21,2496,2016,1824,1588,0,12480,124800,0,0,1920,1280,1979,433,1,16,36,32,28409,1920,4,7235,4409,1,4,1,1248
zero_response,diagnostic_zero,0,3,0,0,4,32694,32696,32622,24,24234,8436,3176,4,3968,5717,91472,12,21,2304,1792,1600,1588,0,11520,115200,0,0,1920,1280,0,0,1,12,12,32,22282,1920,4,4456,3976,1,4,1,1152
zero_response,diagnostic_zero,0,3,1,0,4,40216,40218,40075,52,28530,11634,5938,4,4404,5717,91472,12,21,2304,1792,1600,1588,0,11520,115200,0,0,1920,1280,1591,436,1,16,36,32,26578,1920,4,7218,4412,1,4,1,1152
zero_response,diagnostic_signed_extreme,0,2,0,0,4,62702,62704,62630,24,33866,28812,3176,7068,17280,8917,142672,12,21,3584,3360,3072,1588,352,14400,144000,12800,7040,1920,1280,0,0,1,12,12,32,31914,1920,4,4456,24352,1,4,1,1856
zero_response,diagnostic_signed_extreme,0,2,1,0,4,72155,72157,72015,52,40034,32069,5955,7085,17741,8917,142672,12,21,3584,3360,3072,1588,352,14400,144000,12800,7040,1920,1280,3027,461,1,16,36,32,38082,1920,4,7235,24830,1,4,1,1856
zero_response,diagnostic_signed_extreme,0,3,0,0,4,62670,62672,62598,24,33834,28812,3176,7068,17280,8693,139088,12,21,3520,3200,2944,1588,352,14080,140800,12800,7040,1920,1280,0,0,1,12,12,32,31882,1920,4,4456,24352,1,4,1,1824
zero_response,diagnostic_signed_extreme,0,3,1,0,4,72155,72157,72014,52,40048,32055,5939,7086,17742,8693,139088,12,21,3520,3200,2944,1588,352,14080,140800,12800,7040,1920,1280,2500,462,1,16,36,32,38096,1920,4,7219,24832,1,4,1,1824
zero_response,train0,1,2,0,1,4,51333,51335,51261,24,31829,19480,3176,2608,12408,11347,181552,12,21,3404,4050,3593,1588,2272,13384,133840,8200,2580,1920,1280,0,0,1,12,12,32,29877,1920,4,4456,15020,1,4,1,2079
zero_response,train0,1,2,1,1,4,60890,60892,60750,52,37910,22928,5970,2664,13006,11344,181504,12,21,3404,4047,3591,1588,2272,13384,133840,8200,2580,1920,1280,3647,598,1,16,36,32,35958,1920,4,7250,15674,1,4,1,2079
zero_response,train0,1,3,0,1,4,49620,49622,49548,24,30116,19480,3176,2608,12408,11014,176224,12,21,3214,3907,3487,1588,2272,12564,125640,8200,2580,1920,1280,0,0,1,12,12,32,28164,1920,4,4456,15020,1,4,1,1884
zero_response,train0,1,3,1,1,4,58932,58934,58791,52,35965,22915,5956,2664,13007,11008,176128,12,21,3214,3901,3485,1588,2272,12564,125640,8200,2580,1920,1280,3596,599,1,16,36,32,34013,1920,4,7236,15675,1,4,1,1884
zero_response,train1,1,2,0,1,4,51803,51805,51731,24,31603,20176,3176,2592,13120,11170,178720,12,21,3366,4039,3569,1588,2144,13408,134080,8920,2564,1920,1280,0,0,1,12,12,32,29651,1920,4,4456,15716,1,4,1,2062
zero_response,train1,1,2,1,1,4,61353,61355,61213,52,37705,23596,5952,2700,13656,11158,178528,12,21,3366,4027,3566,1588,2144,13408,134080,8920,2564,1920,1280,3521,536,1,16,36,32,35753,1920,4,7232,16360,1,4,1,2062
zero_response,train1,1,3,0,1,4,50341,50343,50269,24,30141,20176,3176,2592,13120,10813,173008,12,21,3196,3852,3431,1588,2144,12640,126400,8920,2564,1920,1280,0,0,1,12,12,32,28189,1920,4,4456,15716,1,4,1,1870
zero_response,train1,1,3,1,1,4,59483,59485,59342,52,35827,23604,5967,2695,13654,10808,172928,12,21,3196,3847,3431,1588,2144,12640,126400,8920,2564,1920,1280,3515,534,1,16,36,32,33875,1920,4,7247,16353,1,4,1,1870
zero_response,diagnostic_zero,0,2,0,1,4,34614,34616,34542,24,26154,8436,3176,4,3968,6133,98128,12,21,2496,2016,1824,1588,0,12480,124800,0,0,1920,1280,0,0,1,12,12,32,24202,1920,4,4456,3976,1,4,1,1248
zero_response,diagnostic_zero,0,2,1,1,4,42061,42063,41921,52,30361,11648,5955,4,4401,6133,98128,12,21,2496,2016,1824,1588,0,12480,124800,0,0,1920,1280,1979,433,1,16,36,32,28409,1920,4,7235,4409,1,4,1,1248
zero_response,diagnostic_zero,0,3,0,1,4,32694,32696,32622,24,24234,8436,3176,4,3968,5717,91472,12,21,2304,1792,1600,1588,0,11520,115200,0,0,1920,1280,0,0,1,12,12,32,22282,1920,4,4456,3976,1,4,1,1152
zero_response,diagnostic_zero,0,3,1,1,4,40216,40218,40075,52,28530,11634,5938,4,4404,5717,91472,12,21,2304,1792,1600,1588,0,11520,115200,0,0,1920,1280,1591,436,1,16,36,32,26578,1920,4,7218,4412,1,4,1,1152
zero_response,diagnostic_signed_extreme,0,2,0,1,4,62702,62704,62630,24,33866,28812,3176,7068,17280,8917,142672,12,21,3584,3360,3072,1588,352,14400,144000,12800,7040,1920,1280,0,0,1,12,12,32,31914,1920,4,4456,24352,1,4,1,1856
zero_response,diagnostic_signed_extreme,0,2,1,1,4,72155,72157,72015,52,40034,32069,5955,7085,17741,8917,142672,12,21,3584,3360,3072,1588,352,14400,144000,12800,7040,1920,1280,3027,461,1,16,36,32,38082,1920,4,7235,24830,1,4,1,1856
zero_response,diagnostic_signed_extreme,0,3,0,1,4,62670,62672,62598,24,33834,28812,3176,7068,17280,8693,139088,12,21,3520,3200,2944,1588,352,14080,140800,12800,7040,1920,1280,0,0,1,12,12,32,31882,1920,4,4456,24352,1,4,1,1824
zero_response,diagnostic_signed_extreme,0,3,1,1,4,72155,72157,72014,52,40048,32055,5939,7086,17742,8693,139088,12,21,3520,3200,2944,1588,352,14080,140800,12800,7040,1920,1280,2500,462,1,16,36,32,38096,1920,4,7219,24832,1,4,1,1824
