function,case,real,mode,bp,pass,hblocks,cycles_to_last_gate,cycles_to_done,first_X_request_to_last_gate,dictionary_load_cycles,source_phase_cycles,backend_phase_cycles,backend_boot_cycles,backend_fc_cycles,backend_psn_cycles,words,bytes,dictionary_words,source_config_words,source_X_words,source_graph_words,source_prefetch_words,backend_config_words,backend_coeff_words,source_channels,source_scalar_mac,backend_vector_mac,backend_vector_updates,bridge_writes,bridge_reads,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,backend_mode
integer_L2_zero_allowed,train0,1,2,0,0,4,55781,55783,55709,24,36309,19448,3176,2780,12204,11749,187984,12,672,3380,3793,3481,1588,2304,1690,169000,8000,2752,1920,1280,0,0,1,12,12,32,34357,1920,4,4456,14988,1,4
integer_L2_zero_allowed,train0,1,2,1,0,4,66666,66668,66526,52,43788,22826,5969,2818,12751,11749,187984,12,672,3380,3793,3481,1588,2304,1690,169000,8000,2752,1920,1280,3712,547,1,16,36,32,41836,1920,4,7249,15573,1,4
integer_L2_zero_allowed,train0,1,3,0,0,4,55782,55784,55710,24,36310,19448,3176,2780,12204,11710,187360,12,672,3380,3754,3444,1588,2304,1690,169000,8000,2752,1920,1280,0,0,1,12,12,32,34358,1920,4,4456,14988,1,4
integer_L2_zero_allowed,train0,1,3,1,0,4,66710,66712,66572,52,43833,22825,5972,2818,12747,11709,187344,12,672,3380,3753,3444,1588,2304,1690,169000,8000,2752,1920,1280,3846,543,1,16,36,32,41881,1920,4,7252,15569,1,4
integer_L2_zero_allowed,train1,1,2,0,0,4,55816,55818,55744,24,35904,19888,3176,2664,12760,11599,185584,12,672,3338,3781,3453,1588,2208,1669,166900,8560,2636,1920,1280,0,0,1,12,12,32,33952,1920,4,4456,15428,1,4
integer_L2_zero_allowed,train1,1,2,1,0,4,66675,66677,66535,52,43317,23306,5959,2758,13301,11595,185520,12,672,3338,3777,3452,1588,2208,1669,166900,8560,2636,1920,1280,3556,541,1,16,36,32,41365,1920,4,7239,16063,1,4
integer_L2_zero_allowed,train1,1,3,0,0,4,55808,55810,55736,24,35896,19888,3176,2664,12760,11537,184592,12,672,3338,3719,3396,1588,2208,1669,166900,8560,2636,1920,1280,0,0,1,12,12,32,33944,1920,4,4456,15428,1,4
integer_L2_zero_allowed,train1,1,3,1,0,4,66928,66930,66790,52,43542,23334,5971,2760,13315,11537,184592,12,672,3338,3719,3396,1588,2208,1669,166900,8560,2636,1920,1280,3579,555,1,16,36,32,41590,1920,4,7251,16079,1,4
integer_L2_zero_allowed,diagnostic_zero,0,2,0,0,4,35916,35918,35844,24,27456,8436,3176,4,3968,6784,108544,12,672,2496,2016,1824,1588,0,1248,124800,0,0,1920,1280,0,0,1,12,12,32,25504,1920,4,4456,3976,1,4
integer_L2_zero_allowed,diagnostic_zero,0,2,1,0,4,44840,44842,44700,52,33131,11657,5961,4,4404,6784,108544,12,672,2496,2016,1824,1588,0,1248,124800,0,0,1920,1280,2532,436,1,16,36,32,31179,1920,4,7241,4412,1,4
integer_L2_zero_allowed,diagnostic_zero,0,3,0,0,4,35916,35918,35844,24,27456,8436,3176,4,3968,6688,107008,12,672,2496,1920,1728,1588,0,1248,124800,0,0,1920,1280,0,0,1,12,12,32,25504,1920,4,4456,3976,1,4
integer_L2_zero_allowed,diagnostic_zero,0,3,1,0,4,44840,44842,44702,52,33134,11654,5958,4,4404,6688,107008,12,672,2496,1920,1728,1588,0,1248,124800,0,0,1920,1280,2313,436,1,16,36,32,31182,1920,4,7238,4412,1,4
integer_L2_zero_allowed,diagnostic_signed_extreme,0,2,0,0,4,67172,67174,67100,24,38336,28812,3176,7068,17280,9504,152064,12,672,3584,3328,3072,1588,320,1792,179200,12800,7040,1920,1280,0,0,1,12,12,32,36384,1920,4,4456,24352,1,4
integer_L2_zero_allowed,diagnostic_signed_extreme,0,2,1,0,4,78209,78211,78069,52,46078,32079,5958,7088,17745,9504,152064,12,672,3584,3328,3072,1588,320,1792,179200,12800,7040,1920,1280,3106,465,1,16,36,32,44126,1920,4,7238,24837,1,4
integer_L2_zero_allowed,diagnostic_signed_extreme,0,3,0,0,4,67172,67174,67100,24,38336,28812,3176,7068,17280,9568,153088,12,672,3584,3392,3136,1588,320,1792,179200,12800,7040,1920,1280,0,0,1,12,12,32,36384,1920,4,4456,24352,1,4
integer_L2_zero_allowed,diagnostic_signed_extreme,0,3,1,0,4,78209,78211,78071,52,46069,32088,5967,7088,17745,9568,153088,12,672,3584,3392,3136,1588,320,1792,179200,12800,7040,1920,1280,2978,465,1,16,36,32,44117,1920,4,7247,24837,1,4
integer_L2_zero_allowed,train0,1,2,0,1,4,55781,55783,55709,24,36309,19448,3176,2780,12204,11749,187984,12,672,3380,3793,3481,1588,2304,1690,169000,8000,2752,1920,1280,0,0,1,12,12,32,34357,1920,4,4456,14988,1,4
integer_L2_zero_allowed,train0,1,2,1,1,4,66666,66668,66526,52,43788,22826,5969,2818,12751,11749,187984,12,672,3380,3793,3481,1588,2304,1690,169000,8000,2752,1920,1280,3712,547,1,16,36,32,41836,1920,4,7249,15573,1,4
integer_L2_zero_allowed,train0,1,3,0,1,4,55782,55784,55710,24,36310,19448,3176,2780,12204,11710,187360,12,672,3380,3754,3444,1588,2304,1690,169000,8000,2752,1920,1280,0,0,1,12,12,32,34358,1920,4,4456,14988,1,4
integer_L2_zero_allowed,train0,1,3,1,1,4,66710,66712,66572,52,43833,22825,5972,2818,12747,11709,187344,12,672,3380,3753,3444,1588,2304,1690,169000,8000,2752,1920,1280,3846,543,1,16,36,32,41881,1920,4,7252,15569,1,4
integer_L2_zero_allowed,train1,1,2,0,1,4,55816,55818,55744,24,35904,19888,3176,2664,12760,11599,185584,12,672,3338,3781,3453,1588,2208,1669,166900,8560,2636,1920,1280,0,0,1,12,12,32,33952,1920,4,4456,15428,1,4
integer_L2_zero_allowed,train1,1,2,1,1,4,66675,66677,66535,52,43317,23306,5959,2758,13301,11595,185520,12,672,3338,3777,3452,1588,2208,1669,166900,8560,2636,1920,1280,3556,541,1,16,36,32,41365,1920,4,7239,16063,1,4
integer_L2_zero_allowed,train1,1,3,0,1,4,55808,55810,55736,24,35896,19888,3176,2664,12760,11537,184592,12,672,3338,3719,3396,1588,2208,1669,166900,8560,2636,1920,1280,0,0,1,12,12,32,33944,1920,4,4456,15428,1,4
integer_L2_zero_allowed,train1,1,3,1,1,4,66928,66930,66790,52,43542,23334,5971,2760,13315,11537,184592,12,672,3338,3719,3396,1588,2208,1669,166900,8560,2636,1920,1280,3579,555,1,16,36,32,41590,1920,4,7251,16079,1,4
