function,case,real,mode,bp,pass,hblocks,cycles_to_last_gate,cycles_to_done,first_X_request_to_last_gate,dictionary_load_cycles,source_phase_cycles,backend_phase_cycles,backend_boot_cycles,backend_fc_cycles,backend_psn_cycles,words,bytes,dictionary_words,source_config_words,source_X_words,source_graph_words,source_prefetch_words,backend_config_words,backend_coeff_words,source_channels,source_scalar_mac,backend_vector_mac,backend_vector_updates,bridge_writes,bridge_reads,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,backend_mode
zero_response,train0,1,2,0,0,4,55813,55815,55741,24,36309,19480,3176,2608,12408,11717,187472,12,672,3380,3793,3481,1588,2272,1690,169000,8200,2580,1920,1280,0,0,1,12,12,32,34357,1920,4,4456,15020,1,4
zero_response,train0,1,2,1,0,4,66764,66766,66624,52,43788,22924,5968,2664,13004,11717,187472,12,672,3380,3793,3481,1588,2272,1690,169000,8200,2580,1920,1280,3666,596,1,16,36,32,41836,1920,4,7248,15672,1,4
zero_response,train0,1,3,0,0,4,53954,53956,53882,24,34450,19480,3176,2608,12408,11399,182384,12,672,3190,3665,3345,1588,2272,1595,159500,8200,2580,1920,1280,0,0,1,12,12,32,32498,1920,4,4456,15020,1,4
zero_response,train0,1,3,1,0,4,64905,64907,64764,52,41925,22928,5965,2666,13009,11399,182384,12,672,3190,3665,3345,1588,2272,1595,159500,8200,2580,1920,1280,3710,601,1,16,36,32,39973,1920,4,7245,15679,1,4
zero_response,train1,1,2,0,0,4,56104,56106,56032,24,35904,20176,3176,2592,13120,11535,184560,12,672,3338,3781,3453,1588,2144,1669,166900,8920,2564,1920,1280,0,0,1,12,12,32,33952,1920,4,4456,15716,1,4
zero_response,train1,1,2,1,0,4,66952,66954,66812,52,43317,23583,5950,2700,13645,11531,184496,12,672,3338,3777,3452,1588,2144,1669,166900,8920,2564,1920,1280,3609,525,1,16,36,32,41365,1920,4,7230,16349,1,4
zero_response,train1,1,3,0,0,4,54452,54454,54380,24,34252,20176,3176,2592,13120,11196,179136,12,672,3168,3612,3288,1588,2144,1584,158400,8920,2564,1920,1280,0,0,1,12,12,32,32300,1920,4,4456,15716,1,4
zero_response,train1,1,3,1,0,4,65247,65250,65106,52,41579,23616,5974,2695,13659,11194,179104,12,672,3168,3610,3288,1588,2144,1584,158400,8920,2564,1920,1280,3727,539,1,16,36,32,39627,1920,4,7254,16358,2,4
zero_response,diagnostic_zero,0,2,0,0,4,35916,35918,35844,24,27456,8436,3176,4,3968,6784,108544,12,672,2496,2016,1824,1588,0,1248,124800,0,0,1920,1280,0,0,1,12,12,32,25504,1920,4,4456,3976,1,4
zero_response,diagnostic_zero,0,2,1,0,4,44840,44842,44700,52,33131,11657,5961,4,4404,6784,108544,12,672,2496,2016,1824,1588,0,1248,124800,0,0,1920,1280,2532,436,1,16,36,32,31179,1920,4,7241,4412,1,4
zero_response,diagnostic_zero,0,3,0,0,4,33996,33998,33924,24,25536,8436,3176,4,3968,6368,101888,12,672,2304,1792,1600,1588,0,1152,115200,0,0,1920,1280,0,0,1,12,12,32,23584,1920,4,4456,3976,1,4
zero_response,diagnostic_zero,0,3,1,0,4,42680,42682,42539,52,30967,11661,5966,4,4403,6368,101888,12,672,2304,1792,1600,1588,0,1152,115200,0,0,1920,1280,1963,435,1,16,36,32,29015,1920,4,7246,4411,1,4
zero_response,diagnostic_signed_extreme,0,2,0,0,4,67172,67174,67100,24,38336,28812,3176,7068,17280,9536,152576,12,672,3584,3328,3072,1588,352,1792,179200,12800,7040,1920,1280,0,0,1,12,12,32,36384,1920,4,4456,24352,1,4
zero_response,diagnostic_signed_extreme,0,2,1,0,4,78209,78211,78069,52,46078,32079,5958,7088,17745,9536,152576,12,672,3584,3328,3072,1588,352,1792,179200,12800,7040,1920,1280,3115,465,1,16,36,32,44126,1920,4,7238,24837,1,4
zero_response,diagnostic_signed_extreme,0,3,0,0,4,66532,66534,66460,24,37696,28812,3176,7068,17280,9312,148992,12,672,3520,3168,2944,1588,352,1760,176000,12800,7040,1920,1280,0,0,1,12,12,32,35744,1920,4,4456,24352,1,4
zero_response,diagnostic_signed_extreme,0,3,1,0,4,77467,77470,77326,52,45346,32069,5953,7085,17743,9312,148992,12,672,3520,3168,2944,1588,352,1760,176000,12800,7040,1920,1280,2861,463,1,16,36,32,43394,1920,4,7233,24832,2,4
zero_response,train0,1,2,0,1,4,55813,55815,55741,24,36309,19480,3176,2608,12408,11717,187472,12,672,3380,3793,3481,1588,2272,1690,169000,8200,2580,1920,1280,0,0,1,12,12,32,34357,1920,4,4456,15020,1,4
zero_response,train0,1,2,1,1,4,66764,66766,66624,52,43788,22924,5968,2664,13004,11717,187472,12,672,3380,3793,3481,1588,2272,1690,169000,8200,2580,1920,1280,3666,596,1,16,36,32,41836,1920,4,7248,15672,1,4
zero_response,train0,1,3,0,1,4,53954,53956,53882,24,34450,19480,3176,2608,12408,11399,182384,12,672,3190,3665,3345,1588,2272,1595,159500,8200,2580,1920,1280,0,0,1,12,12,32,32498,1920,4,4456,15020,1,4
zero_response,train0,1,3,1,1,4,64905,64907,64764,52,41925,22928,5965,2666,13009,11399,182384,12,672,3190,3665,3345,1588,2272,1595,159500,8200,2580,1920,1280,3710,601,1,16,36,32,39973,1920,4,7245,15679,1,4
zero_response,train1,1,2,0,1,4,56104,56106,56032,24,35904,20176,3176,2592,13120,11535,184560,12,672,3338,3781,3453,1588,2144,1669,166900,8920,2564,1920,1280,0,0,1,12,12,32,33952,1920,4,4456,15716,1,4
zero_response,train1,1,2,1,1,4,66952,66954,66812,52,43317,23583,5950,2700,13645,11531,184496,12,672,3338,3777,3452,1588,2144,1669,166900,8920,2564,1920,1280,3609,525,1,16,36,32,41365,1920,4,7230,16349,1,4
zero_response,train1,1,3,0,1,4,54452,54454,54380,24,34252,20176,3176,2592,13120,11196,179136,12,672,3168,3612,3288,1588,2144,1584,158400,8920,2564,1920,1280,0,0,1,12,12,32,32300,1920,4,4456,15716,1,4
zero_response,train1,1,3,1,1,4,65247,65250,65106,52,41579,23616,5974,2695,13659,11194,179104,12,672,3168,3610,3288,1588,2144,1584,158400,8920,2564,1920,1280,3727,539,1,16,36,32,39627,1920,4,7254,16358,2,4
zero_response,diagnostic_zero,0,2,0,1,4,35916,35918,35844,24,27456,8436,3176,4,3968,6784,108544,12,672,2496,2016,1824,1588,0,1248,124800,0,0,1920,1280,0,0,1,12,12,32,25504,1920,4,4456,3976,1,4
zero_response,diagnostic_zero,0,2,1,1,4,44840,44842,44700,52,33131,11657,5961,4,4404,6784,108544,12,672,2496,2016,1824,1588,0,1248,124800,0,0,1920,1280,2532,436,1,16,36,32,31179,1920,4,7241,4412,1,4
zero_response,diagnostic_zero,0,3,0,1,4,33996,33998,33924,24,25536,8436,3176,4,3968,6368,101888,12,672,2304,1792,1600,1588,0,1152,115200,0,0,1920,1280,0,0,1,12,12,32,23584,1920,4,4456,3976,1,4
zero_response,diagnostic_zero,0,3,1,1,4,42680,42682,42539,52,30967,11661,5966,4,4403,6368,101888,12,672,2304,1792,1600,1588,0,1152,115200,0,0,1920,1280,1963,435,1,16,36,32,29015,1920,4,7246,4411,1,4
zero_response,diagnostic_signed_extreme,0,2,0,1,4,67172,67174,67100,24,38336,28812,3176,7068,17280,9536,152576,12,672,3584,3328,3072,1588,352,1792,179200,12800,7040,1920,1280,0,0,1,12,12,32,36384,1920,4,4456,24352,1,4
zero_response,diagnostic_signed_extreme,0,2,1,1,4,78209,78211,78069,52,46078,32079,5958,7088,17745,9536,152576,12,672,3584,3328,3072,1588,352,1792,179200,12800,7040,1920,1280,3115,465,1,16,36,32,44126,1920,4,7238,24837,1,4
zero_response,diagnostic_signed_extreme,0,3,0,1,4,66532,66534,66460,24,37696,28812,3176,7068,17280,9312,148992,12,672,3520,3168,2944,1588,352,1760,176000,12800,7040,1920,1280,0,0,1,12,12,32,35744,1920,4,4456,24352,1,4
zero_response,diagnostic_signed_extreme,0,3,1,1,4,77467,77470,77326,52,45346,32069,5953,7085,17743,9312,148992,12,672,3520,3168,2944,1588,352,1760,176000,12800,7040,1920,1280,2861,463,1,16,36,32,43394,1920,4,7233,24832,2,4
