g,a,b,cal_jobs_saved,probe_jobs_saved,weight_squared_change,score,nodes
0,0,1,0,0,483159,,92
0,0,2,0,0,497896,,90
0,0,3,0,0,566520,,87
0,0,4,0,0,486854,,89
0,0,5,0,0,450357,,92
0,0,6,0,0,456396,,91
0,0,7,0,0,489217,,90
0,0,8,0,0,642063,,89
0,0,9,8,5,771087,96385.875,91
0,0,10,0,0,543577,,91
0,0,11,0,0,563205,,92
0,0,12,0,0,517469,,91
0,0,13,0,0,596029,,91
0,0,14,1,0,672322,672322.0,91
0,0,15,0,0,510443,,90
1,0,1,0,0,520454,,298
1,0,2,0,0,479018,,307
1,0,3,0,0,490309,,299
1,0,4,0,0,442198,,302
1,0,5,0,0,421565,,302
1,0,6,0,0,426819,,303
1,0,7,0,0,465590,,302
1,0,8,0,0,511097,,307
1,0,9,0,0,431583,,303
1,0,10,0,0,385523,,303
1,0,11,0,0,459048,,307
1,0,12,0,0,498068,,303
1,0,13,1,0,435235,435235.0,303
1,0,14,2,6,636339,318169.5,296
1,0,15,9,3,611498,67944.22222222222,302
2,0,1,0,0,556163,,326
2,0,2,0,0,691358,,358
2,0,3,0,0,619126,,358
2,0,4,8,2,576666,72083.25,358
2,0,5,0,0,537561,,359
2,0,6,0,0,614158,,356
2,0,7,0,0,703087,,355
2,0,8,0,0,577854,,359
2,0,9,0,0,633139,,352
2,0,10,8,6,623651,77956.375,348
2,0,11,0,0,700852,,359
2,0,12,0,0,588603,,357
2,0,13,0,0,686980,,355
2,0,14,0,0,694568,,341
2,0,15,0,0,658805,,358
3,0,1,0,0,475248,,75
3,0,2,0,0,470166,,74
3,0,3,0,0,757460,,72
3,0,4,0,0,503509,,75
3,0,5,0,0,782625,,72
3,0,6,0,0,451279,,74
3,0,7,0,0,471432,,73
3,0,8,21,18,821822,39134.380952380954,73
3,0,9,0,0,447951,,75
3,0,10,0,0,550623,,72
3,0,11,0,0,426810,,73
3,0,12,0,0,518621,,75
3,0,13,0,0,491170,,75
3,0,14,0,0,786399,,74
3,0,15,0,0,534923,,71
4,0,1,0,0,548033,,116
4,0,2,0,0,531244,,115
4,0,3,0,0,520005,,115
4,0,4,14,20,552134,39438.142857142855,114
4,0,5,0,0,457006,,113
4,0,6,0,0,515250,,114
4,0,7,0,0,519441,,115
4,0,8,26,27,600623,23100.884615384617,111
4,0,9,1,1,644600,644600.0,107
4,0,10,0,0,654051,,114
4,0,11,0,0,582046,,114
4,0,12,0,0,594698,,113
4,0,13,0,0,509647,,114
4,0,14,0,0,612536,,116
4,0,15,0,0,599526,,114
5,0,1,0,0,660445,,96
5,0,2,0,0,641563,,96
5,0,3,0,0,635458,,94
5,0,4,0,0,534881,,95
5,0,5,0,0,605722,,95
5,0,6,0,0,559713,,95
5,0,7,0,0,526182,,95
5,0,8,0,0,586276,,91
5,0,9,0,0,612690,,96
5,0,10,4,16,626316,156579.0,94
5,0,11,0,0,617757,,91
5,0,12,4,1,600788,150197.0,94
5,0,13,0,0,533388,,96
5,0,14,19,20,559692,29457.473684210527,91
5,0,15,0,0,551841,,95
