tiles,mechanism,z_port_bits,z_bytes,core_cycles,configuration_cycles,start_cycles,service_cycles,source,fraction_fewer_cycles_vs_dual208
128–191,native_dual_208,208,520,883426,100192,64,983682,pair_psum_overlay/temporal_pairing/results_held.json,0.0
128–191,count8_psum,208,520,809293,101089,64,910446,pair_psum_overlay/temporal_pairing/results_held.json,0.07445088961676638
128–191,count8_psum_fixed_time_pairs,208,520,787581,101090,64,888735,pair_psum_overlay/temporal_pairing/results_held.json,0.09652204675901355
128–191,fixed_order_mixed_endpoint,208,1040,844199,100193,64,944456,temporal_endpoints/SUMMARY_stream.json,0.03987670812315358
128–191,fixed_order_all_endpoint,208,1040,866495,100193,64,966752,temporal_endpoints/SUMMARY_stream.json,0.01721084659473282
128–191,native_dual_416,416,520,882786,100192,64,983042,strong_raw_control/SUMMARY_64.json,0.0006506167643608451
128–191,native_triple_proven,416,520,880962,100192,64,981218,strong_raw_control/SUMMARY_64.json,0.0025048745427892483
128–191,native_four_repaired,416,520,833309,100192,64,933565,strong_raw_control/SUMMARY_64.json,0.05094837559292531
4000–4063,native_dual_208,208,520,977376,100192,64,1077632,pair_psum_overlay/temporal_pairing/results_disjoint.json,0.0
4000–4063,count8_psum,208,520,859283,101089,64,960436,pair_psum_overlay/temporal_pairing/results_disjoint.json,0.10875326642119021
4000–4063,count8_psum_fixed_time_pairs,208,520,834785,101090,64,935939,pair_psum_overlay/temporal_pairing/results_disjoint.json,0.13148551639149542
4000–4063,fixed_order_mixed_endpoint,208,1040,929811,100193,64,1030068,temporal_endpoints/SUMMARY_disjoint.json,0.04413751633210594
4000–4063,fixed_order_all_endpoint,208,1040,970279,100193,64,1070536,temporal_endpoints/SUMMARY_disjoint.json,0.006584808171991918
4000–4063,native_dual_416,416,520,976736,100192,64,1076992,strong_raw_control/SUMMARY_disjoint.json,0.0005938947618482349
4000–4063,native_triple_proven,416,520,959255,100192,64,1059511,strong_raw_control/SUMMARY_disjoint.json,0.016815573405392525
4000–4063,native_four_repaired,416,520,896201,100192,64,996457,strong_raw_control/SUMMARY_disjoint.json,0.07532719889535577
