mode,value_memory_ports,coefficient_cache_vectors,total_cycles,common_phase_cycles,residual_execution_cycles,frontend_wait_cycles,cache_payload_bytes,cycles_over_same_resource_bit,cycles_over_same_resource_prosperity,coefficient_reads,coefficient_fills,parent_inherited_sources,apec_reused_sources,source_plus_destination_vector_adds
bit,1R1W,16,56387344,376,53920768,2295200,9216,1.0,1.152059388343086,19645336,2074512,0,0,19621336
bit,1RW,16,56387344,376,53920768,2295200,9216,1.0,1.152059388343086,19645336,2074512,0,0,19621336
bit,1R1W,256,56387344,376,53920768,2295200,147456,1.0,1.152059388343086,19645336,2074512,0,0,19621336
bit,1RW,256,56387344,376,53920768,2295200,147456,1.0,1.152059388343086,19645336,2074512,0,0,19621336
bit,1R1W,1024,56387344,376,53920768,2295200,589824,1.0,1.152059388343086,19645336,2074512,0,0,19621336
bit,1RW,1024,56387344,376,53920768,2295200,589824,1.0,1.152059388343086,19645336,2074512,0,0,19621336
bit,1R1W,6912,56387344,376,53920768,2295200,3981312,1.0,1.152059388343086,19645336,2074512,0,0,19621336
bit,1RW,6912,56387344,376,53920768,2295200,3981312,1.0,1.152059388343086,19645336,2074512,0,0,19621336
prosperity,1R1W,16,48944824,376,44124776,4648672,9216,0.8680108075315625,1.0,9849344,2074512,9795992,0,13927880
prosperity,1RW,16,48944824,376,44124776,4648672,9216,0.8680108075315625,1.0,9849344,2074512,9795992,0,13927880
prosperity,1R1W,256,48944824,376,44124776,4648672,147456,0.8680108075315625,1.0,9849344,2074512,9795992,0,13927880
prosperity,1RW,256,48944824,376,44124776,4648672,147456,0.8680108075315625,1.0,9849344,2074512,9795992,0,13927880
prosperity,1R1W,1024,48944824,376,44124776,4648672,589824,0.8680108075315625,1.0,9849344,2074512,9795992,0,13927880
prosperity,1RW,1024,48944824,376,44124776,4648672,589824,0.8680108075315625,1.0,9849344,2074512,9795992,0,13927880
prosperity,1R1W,6912,48944824,376,44124776,4648672,3981312,0.8680108075315625,1.0,9849344,2074512,9795992,0,13927880
prosperity,1RW,6912,48944824,376,44124776,4648672,3981312,0.8680108075315625,1.0,9849344,2074512,9795992,0,13927880
apec_g2_bit_residual,1R1W,16,89547008,45809960,40611288,2909760,9216,1.5880692660395568,1.8295501072799853,15079416,7064040,0,4565920,15149920
apec_g2_bit_residual,1RW,16,89631016,45893968,40611288,2909760,9216,1.5895591039010455,1.8312664889754227,15079416,7064040,0,4565920,15149920
apec_g2_bit_residual,1R1W,256,85585456,41859720,40598520,2911216,147456,1.517813217093538,1.748610966503833,15079416,6497896,0,4565920,15149920
apec_g2_bit_residual,1RW,256,85669464,41943728,40598520,2911216,147456,1.5193030549550268,1.7503273481992703,15079416,6497896,0,4565920,15149920
apec_g2_bit_residual,1R1W,1024,71328560,27820576,40344952,2947032,589824,1.2649746368617751,1.4573259064124942,15079416,4456080,0,4565920,15149920
apec_g2_bit_residual,1RW,1024,71412568,27904584,40344952,2947032,589824,1.266464474723264,1.4590422881079315,15079416,4456080,0,4565920,15149920
apec_g2_bit_residual,1R1W,6912,56082184,19584768,31909784,4371632,3981312,0.994588147297734,1.1458246126291107,15079416,2074512,0,4565920,15149920
apec_g2_bit_residual,1RW,6912,56166192,19668776,31909784,4371632,3981312,0.996077985159223,1.147540994324548,15079416,2074512,0,4565920,15149920
apec_g2_prosperity_residual,1R1W,16,88844720,45809960,37127192,5691568,9216,1.5756145563444166,1.8152015420466114,11595320,7064040,3484096,4565920,14278888
